Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
IIGD,,94988J5R4,Wells Fargo Bank NA,3.55,08/14/2023,08/14/2018,07/14/2023,A+/Aa2,"800,000",867327.91,1.07,10/09/2020
IIGD,,808513AT2,Charles Schwab Corp/The,2.65,01/25/2023,12/07/2017,12/25/2022,A/A2,"819,000",858413.59,1.05,10/09/2020
IIGD,,149123CC3,Caterpillar Inc,3.40,05/15/2024,05/08/2014,02/15/2024,A/A3,"779,000",851583.75,1.05,10/09/2020
IIGD,,59156RBB3,MetLife Inc,4.37,09/15/2023,09/10/2013,N/A,A-/A3,"737,000",821679.26,1.01,10/09/2020
IIGD,,89788JAB5,Truist Bank,1.25,03/09/2023,03/09/2020,02/09/2023,A/A2,"800,000",814237.07,1.00,10/09/2020
IIGD,,33829TAA4,Five Corners Funding Trust,4.42,11/15/2023,11/25/2013,N/A,A/A3,"728,000",809377.12,0.99,10/09/2020
IIGD,,882508BH6,Texas Instruments Inc,1.38,03/12/2025,03/12/2020,02/12/2025,A+/A1,"761,000",788531.44,0.97,10/09/2020
IIGD,,46625HJE1,JPMorgan Chase & Co,3.25,09/23/2022,09/24/2012,N/A,A-/A2,"743,000",785803.29,0.97,10/09/2020
IIGD,,637639AA3,National Securities Clearing Corp,1.20,04/23/2023,04/23/2020,N/A,AA+/Aaa,"760,000",773349.96,0.95,10/09/2020
IIGD,,478160BY9,Johnson & Johnson,2.45,03/01/2026,03/01/2016,12/01/2025,AAA/Aaa,"708,000",773093.33,0.95,10/09/2020
IIGD,,17325FAS7,Citibank NA,3.65,01/23/2024,01/23/2019,12/23/2023,A+/Aa3,"700,000",768042.37,0.94,10/09/2020
IIGD,,200340AS6,Comerica Inc,3.70,07/31/2023,07/31/2018,06/30/2023,BBB+/A3,"710,000",767604.27,0.94,10/09/2020
IIGD,,74256LAU3,Principal Life Global Funding II,3.00,04/18/2026,04/18/2016,N/A,A+/A1,"682,000",760071.76,0.93,10/09/2020
IIGD,,918204BA5,VF Corp,2.40,04/23/2025,04/23/2020,03/23/2025,A/A3,"714,000",760044.95,0.93,10/09/2020
IIGD,,806854AH8,Schlumberger Investment SA,3.65,12/01/2023,12/03/2013,09/01/2023,A/A2,"702,000",758799.34,0.93,10/09/2020
IIGD,,29379VAZ6,Enterprise Products Operating LLC,3.35,03/15/2023,03/18/2013,12/15/2022,BBB+/Baa1,"714,000",756275.48,0.93,10/09/2020
IIGD,,00440EAV9,Chubb INA Holdings Inc,3.35,05/03/2026,11/03/2015,02/03/2026,A/A3,"667,000",755059.77,0.93,10/09/2020
IIGD,,90331HNV1,US Bank NA/Cincinnati OH,3.40,07/24/2023,07/24/2018,06/23/2023,AA-/A1,"700,000",754987.1,0.93,10/09/2020
IIGD,,313747AU1,Federal Realty Investment Trust,3.95,01/15/2024,12/09/2013,10/15/2023,A-/A3,"694,000",753280.68,0.93,10/09/2020
IIGD,,166764BW9,Chevron Corp,1.55,05/11/2025,05/11/2020,04/11/2025,AA/Aa2,"724,000",752304.54,0.92,10/09/2020
IIGD,,26442CAX2,Duke Energy Carolinas LLC,3.95,11/15/2028,11/08/2018,08/15/2028,A/Aa2,"627,000",752124.09,0.92,10/09/2020
IIGD,,67080LAA3,Nuveen LLC,4.00,11/01/2028,10/22/2018,08/01/2028,AA/Aa2,"634,000",751537.5,0.92,10/09/2020
IIGD,,04352EAA3,Ascension Health,2.53,11/15/2029,10/23/2019,08/15/2029,AA+/Aa2,"704,000",751458.03,0.92,10/09/2020
IIGD,,09247XAL5,BlackRock Inc,3.50,03/18/2024,03/18/2014,N/A,AA-/Aa3,"678,000",746795.49,0.92,10/09/2020
IIGD,,717081EA7,Pfizer Inc,3.00,12/15/2026,11/21/2016,N/A,AA-/A1,"660,000",746140.2,0.92,10/09/2020
IIGD,,872540AR0,TJX Cos Inc/The,3.50,04/15/2025,04/01/2020,03/15/2025,A/A2,"667,000",745360.12,0.92,10/09/2020
IIGD,,37331NAD3,Georgia-Pacific LLC,3.73,07/15/2023,06/21/2013,04/15/2023,A+/A3,"690,000",745131.48,0.92,10/09/2020
IIGD,,68389XBT1,Oracle Corp,2.50,04/01/2025,04/01/2020,03/01/2025,A/A3,"694,000",744944.32,0.91,10/09/2020
IIGD,,44932HAH6,IBM Credit LLC,3.00,02/06/2023,02/06/2018,N/A,A/A2,"702,000",744543.88,0.91,10/09/2020
IIGD,,67021CAM9,NSTAR Electric Co,3.20,05/15/2027,05/15/2017,02/15/2027,A/A1,"667,000",743018.54,0.91,10/09/2020
IIGD,,191216BS8,Coca-Cola Co/The,2.88,10/27/2025,10/27/2015,N/A,A+/A1,"668,000",742421.45,0.91,10/09/2020
IIGD,,07330NAT2,Truist Bank,2.15,12/06/2024,12/06/2019,11/05/2024,A/A2,"700,000",741328.9,0.91,10/09/2020
IIGD,,140420NB2,Capital One Bank USA NA,3.38,02/15/2023,02/11/2013,N/A,BBB/Baa1,"700,000",740752.75,0.91,10/09/2020
IIGD,,03076CAF3,Ameriprise Financial Inc,4.00,10/15/2023,09/06/2013,N/A,A/A3,"670,000",739842.15,0.91,10/09/2020
IIGD,,74432QBZ7,Prudential Financial Inc,3.50,05/15/2024,05/15/2014,N/A,A/A3,"668,000",739292.22,0.91,10/09/2020
IIGD,,90331HPL1,US Bank NA/Cincinnati OH,2.05,01/21/2025,01/21/2020,12/20/2024,AA-/A1,"700,000",738919.29,0.91,10/09/2020
IIGD,,61746BDQ6,Morgan Stanley,3.88,04/29/2024,04/28/2014,N/A,BBB+/A2,"667,000",738723.7,0.91,10/09/2020
IIGD,,10112RAU8,Boston Properties LP,3.85,02/01/2023,06/11/2012,11/01/2022,BBB+/Baa1,"694,000",738515.35,0.91,10/09/2020
IIGD,,857477AT0,State Street Corp,3.55,08/18/2025,08/18/2015,N/A,A/A1,"651,000",738366.78,0.91,10/09/2020
IIGD,,023135BC9,Amazon.com Inc,3.15,08/22/2027,06/06/2018,05/22/2027,AA-/A2,"647,000",737450.97,0.91,10/09/2020
IIGD,,452308AX7,Illinois Tool Works Inc,2.65,11/15/2026,11/07/2016,08/15/2026,A+/A2,"665,000",736928.65,0.90,10/09/2020
IIGD,,084670BS6,Berkshire Hathaway Inc,3.12,03/15/2026,03/15/2016,12/15/2025,AA/Aa2,"658,000",736044.62,0.90,10/09/2020
IIGD,,30231GBL5,Exxon Mobil Corp,1.57,04/15/2023,04/15/2020,N/A,AA/Aa1,"714,000",735608.62,0.90,10/09/2020
IIGD,,373334KM2,Georgia Power Co,2.10,07/30/2023,01/10/2020,N/A,A-/Baa1,"704,000",735196.16,0.90,10/09/2020
IIGD,,375558BF9,Gilead Sciences Inc,3.65,03/01/2026,09/14/2015,12/01/2025,A/A3,"647,000",735112.02,0.90,10/09/2020
IIGD,,983919AJ0,Xilinx Inc,2.95,06/01/2024,05/30/2017,04/01/2024,NA/A3,"694,000",734987.22,0.90,10/09/2020
IIGD,,24422ETG4,John Deere Capital Corp,2.80,03/06/2023,03/04/2016,N/A,A/A2,"693,000",734413.98,0.90,10/09/2020
IIGD,,713448EQ7,PepsiCo Inc,2.25,03/19/2025,03/19/2020,02/19/2025,A+/A1,"684,000",733173.92,0.90,10/09/2020
IIGD,,053015AE3,Automatic Data Processing Inc,3.38,09/15/2025,09/15/2015,06/15/2025,AA/Aa3,"648,000",732895.9,0.90,10/09/2020
IIGD,,87612EBL9,Target Corp,2.25,04/15/2025,03/31/2020,03/15/2025,A/A2,"684,000",732724.86,0.90,10/09/2020
IIGD,,17275RBL5,Cisco Systems Inc,2.50,09/20/2026,09/20/2016,06/20/2026,AA-/A1,"665,000",732722.78,0.90,10/09/2020
IIGD,,26875PAK7,EOG Resources Inc,2.62,03/15/2023,09/10/2012,12/15/2022,A-/A3,"703,000",732676.39,0.90,10/09/2020
