Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
IIGV,,17252MAN0,Cintas Corp No 2,3.70,04/01/2027,03/14/2017,01/01/2027,A-/A3,"350,000",406181.43,0.83,10/09/2020
IIGV,,10922NAC7,Brighthouse Financial Inc,3.70,06/22/2027,04/25/2018,03/22/2027,BBB+/Baa3,"364,000",386328.34,0.79,10/09/2020
IIGV,,125523AH3,Cigna Corp,4.38,10/15/2028,08/27/2019,07/15/2028,A-/Baa2,"300,000",356776.67,0.73,10/09/2020
IIGV,,04010LAU7,Ares Capital Corp,3.50,02/10/2023,08/10/2017,01/10/2023,BBB-/NA,"344,000",355170.13,0.72,10/09/2020
IIGV,,032095AJ0,Amphenol Corp,2.80,02/15/2030,09/10/2019,11/15/2029,BBB+/Baa1,"320,000",353895.02,0.72,10/09/2020
IIGV,,844741BK3,Southwest Airlines Co,5.12,06/15/2027,06/08/2020,04/15/2027,BBB/Baa1,"320,000",353263.64,0.72,10/09/2020
IIGV,,92277GAN7,Ventas Realty LP,4.40,01/15/2029,08/15/2018,10/15/2028,BBB+/Baa1,"310,000",352946.52,0.72,10/09/2020
IIGV,,254687FL5,Walt Disney Co/The,2.00,09/01/2029,09/06/2019,06/01/2029,A-/A2,"340,000",352213.72,0.72,10/09/2020
IIGV,,26884TAT9,ERAC USA Finance LLC,2.70,11/01/2023,10/18/2016,09/01/2023,A-/Baa1,"334,000",351038.85,0.72,10/09/2020
IIGV,,74834LBB5,Quest Diagnostics Inc,2.95,06/30/2030,12/16/2019,03/30/2030,BBB+/Baa2,"320,000",350865.26,0.72,10/09/2020
IIGV,,49338LAE3,Keysight Technologies Inc,4.60,04/06/2027,04/06/2017,01/06/2027,BBB/Baa2,"301,000",350155.55,0.71,10/09/2020
IIGV,,00108WAM2,AEP Texas Inc,2.10,07/01/2030,07/01/2020,04/01/2030,A-/Baa2,"340,000",349852.31,0.71,10/09/2020
IIGV,,24906PAA7,DENTSPLY SIRONA Inc,3.25,06/01/2030,05/26/2020,03/01/2030,BBB/Baa2,"320,000",349736.5,0.71,10/09/2020
IIGV,,871829BL0,Sysco Corp,5.95,04/01/2030,04/02/2020,01/01/2030,BBB-/Baa1,"270,000",349351.54,0.71,10/09/2020
