Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IPKW,97651M109,WIT ,"1,311,821","7,083,833.40",7.176,Wipro Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
IPKW,BDRJLN0,NTR ,"135,580","5,553,469.11",5.626,Nutrien Ltd,Common Stock,Materials,10/09/2020
IPKW,BJ2KSG2,AKZA ,"48,483","5,188,441.34",5.256,Akzo Nobel NV,Common Stock,Materials,10/09/2020
IPKW,4834777,VIV FP,"169,266","4,999,480.16",5.064,Vivendi SA,Common Stock,Communication Services,10/09/2020
IPKW,6596785,8058 JP,"206,316","4,982,398.13",5.047,Mitsubishi Corp,Common Stock,Industrials,10/09/2020
IPKW,6658801,7733 JP,"225,690","4,766,714.64",4.829,Olympus Corp,Common Stock,Health Care,10/09/2020
IPKW,6895675,8035 JP,"17,712","4,766,004.07",4.828,Tokyo Electron Ltd,Common Stock,Information Technology,10/09/2020
IPKW,6641373,9432 JP,"186,256","4,044,904.57",4.097,Nippon Telegraph & Telephone Corp,Common Stock,Communication Services,10/09/2020
IPKW,B44XTX8,PNDORA DC,"39,986","3,624,559.43",3.672,Pandora A/S,Common Stock,Consumer Discretionary,10/09/2020
IPKW,2384951,GWO ,"124,243","2,626,843.89",2.661,Great-West Lifeco Inc,Common Stock,Financials,10/09/2020
IPKW,6710347,QAN ,"834,213","2,604,647.11",2.639,Qantas Airways Ltd,Common Stock,Industrials,10/09/2020
IPKW,2554475,MG ,"48,908","2,590,528.43",2.624,Magna International Inc,Common Stock,Consumer Discretionary,10/09/2020
IPKW,2697701,POW ,"123,827","2,545,455.86",2.579,Power Corp of Canada,Common Stock,Financials,10/09/2020
IPKW,B1KJJ40,WTB LN,"79,077","2,469,906.78",2.502,Whitbread PLC,Common Stock,Consumer Discretionary,10/09/2020
IPKW,7437805,SLHN SW,"5,861","2,291,170.78",2.321,Swiss Life Holding AG,Common Stock,Financials,10/09/2020
IPKW,6533232,BSL ,"216,479","2,229,558.28",2.259,BlueScope Steel Ltd,Common Stock,Materials,10/09/2020
IPKW,BF8Q6K6,SLA LN,"656,612","2,116,591.77",2.144,Standard Life Aberdeen PLC,Common Stock,Financials,10/09/2020
IPKW,BDRXBF4,TFII ,"41,701","1,991,945.44",2.018,TFI International Inc,Common Stock,Industrials,10/09/2020
IPKW,7187627,LUNE SS,"90,058","1,962,660.69",1.988,Lundin Energy AB,Common Stock,Energy,10/09/2020
IPKW,4354134,UTDI ,"48,276","1,906,131.39",1.931,United Internet AG,Common Stock,Communication Services,10/09/2020
IPKW,6286611,ANN ,"61,506","1,724,350.13",1.747,Ansell Ltd,Common Stock,Health Care,10/09/2020
IPKW,5982200,DLG ,"34,597","1,657,873.91",1.679,Dialog Semiconductor PLC,Common Stock,Information Technology,10/09/2020
IPKW,B39Z8L3,034730 KS,"8,974","1,626,330.80",1.647,SK Holdings Co Ltd,Common Stock,Industrials,10/09/2020
IPKW,6132101,5108 JP,"49,236","1,610,987.19",1.632,Bridgestone Corp,Common Stock,Consumer Discretionary,10/09/2020
IPKW,6084848,4689 JP,"209,322","1,519,568.16",1.539,Z Holdings Corp,Common Stock,Communication Services,10/09/2020
IPKW,B3KT0S5,CIX ,"103,935","1,434,650.39",1.453,CI Financial Corp,Common Stock,Financials,10/09/2020
IPKW,6643108,8604 JP,"257,220","1,183,180.35",1.199,Nomura Holdings Inc,Common Stock,Financials,10/09/2020
IPKW,B9B3FG1,DOO ,"19,815","1,152,436.60",1.167,BRP Inc,Common Stock,Consumer Discretionary,10/09/2020
IPKW,6390921,4307 JP,"33,202","1,011,882.45",1.025,Nomura Research Institute Ltd,Common Stock,Information Technology,10/09/2020
IPKW,BKSLS55,FCR-U ,"87,678","885,157.62",0.897,First Capital Real Estate Investment Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
IPKW,B0386J1,JYSK DC,"28,577","852,195.02",0.863,Jyske Bank A/S,Common Stock,Financials,10/09/2020
IPKW,6897217,6502 JP,"29,924","804,355.31",0.815,Toshiba Corp,Common Stock,Industrials,10/09/2020
IPKW,BFZ5BQ7,IIA AV,"47,791","795,558.68",0.806,IMMOFINANZ AG,Common Stock,Real Estate,10/09/2020
IPKW,BJQZC27,DMGT LN,"85,607","790,031.18",0.800,Daily Mail & General Trust PLC,Common Stock,Communication Services,10/09/2020
IPKW,5258246,SUBC ,"94,752","765,752.17",0.776,Subsea 7 SA,Common Stock,Energy,10/09/2020
IPKW,B575D14,PXT ,"68,097","757,987.09",0.768,Parex Resources Inc,Common Stock,Energy,10/09/2020
IPKW,BR17150,RKET ,"31,530","692,870.43",0.702,Rocket Internet SE,Common Stock,Consumer Discretionary,10/09/2020
IPKW,BF5H9P8,GPOR LN,"81,397","680,504.56",0.689,Great Portland Estates PLC,Real Estate Investment Trust			     ,Real Estate,10/09/2020
