Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
ISDX,6771720,005930 KS,"95,464","4,941,860.65",1.990,Samsung Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
ISDX,B03MLX2,RDSA LN,"366,108","4,836,714.82",1.947,Royal Dutch Shell PLC,Common Stock,Energy,10/09/2020
ISDX,6900643,7203 JP,"48,230","3,180,336.09",1.280,Toyota Motor Corp,Common Stock,Consumer Discretionary,10/09/2020
ISDX,B15C557,FP FP,"83,208","2,944,265.84",1.185,TOTAL SE,Common Stock,Energy,10/09/2020
ISDX,5497168,VOW3 ,"17,423","2,833,647.42",1.141,Volkswagen AG,Preference			     ,Consumer Discretionary,10/09/2020
ISDX,5529027,DAI ,"49,690","2,828,465.60",1.139,Daimler AG,Common Stock,Consumer Discretionary,10/09/2020
ISDX,7123870,NESN SW,"22,442","2,674,726.03",1.077,Nestle SA,Common Stock,Consumer Staples,10/09/2020
ISDX,0798059,BP/ LN,"872,640","2,519,186.27",1.014,BP PLC,Common Stock,Energy,10/09/2020
ISDX,BYYHL23,ABI ,"40,366","2,408,364.43",0.970,Anheuser-Busch InBev SA/NV,Common Stock,Consumer Staples,10/09/2020
ISDX,2466149,ENB ,"79,910","2,385,527.50",0.960,Enbridge Inc,Common Stock,Energy,10/09/2020
ISDX,6144690,BHP ,"86,473","2,286,190.51",0.920,BHP Group Ltd,Common Stock,Materials,10/09/2020
ISDX,BH0P3Z9,BHP LN,"101,381","2,196,162.92",0.884,BHP Group PLC,Common Stock,Materials,10/09/2020
ISDX,2092599,BAM/A ,"61,719","2,169,997.66",0.874,Brookfield Asset Management Inc,Common Stock,Financials,10/09/2020
ISDX,7103065,NOVN SW,"22,377","1,979,739.85",0.797,Novartis AG,Common Stock,Health Care,10/09/2020
ISDX,6220103,RIO ,"27,372","1,928,853.92",0.777,Rio Tinto Ltd,Common Stock,Materials,10/09/2020
ISDX,5727973,SIE ,"14,046","1,851,297.77",0.745,Siemens AG,Common Stock,Industrials,10/09/2020
ISDX,2554475,MG ,"34,927","1,849,991.54",0.745,Magna International Inc,Common Stock,Consumer Discretionary,10/09/2020
ISDX,BDRJLN0,NTR ,"44,137","1,807,888.08",0.728,Nutrien Ltd,Common Stock,Materials,10/09/2020
ISDX,B3NB1P2,SU ,"139,008","1,786,482.20",0.719,Suncor Energy Inc,Common Stock,Energy,10/09/2020
ISDX,5086577,BAS ,"26,991","1,755,143.01",0.707,BASF SE,Common Stock,Materials,10/09/2020
ISDX,BH4HKS3,VOD LN,"1,197,837","1,730,704.28",0.697,Vodafone Group PLC,Common Stock,Communication Services,10/09/2020
ISDX,B1527V7,UNA ,"26,925","1,676,414.61",0.675,Unilever NV,Common Stock,Consumer Staples,10/09/2020
ISDX,0718875,RIO LN,"26,448","1,650,273.46",0.664,Rio Tinto PLC,Common Stock,Materials,10/09/2020
ISDX,N6596X109,NXPI ,"11,542","1,633,539.26",0.658,NXP Semiconductors NV,Common Stock,Information Technology,10/09/2020
ISDX,7110388,ROG SW,"4,607","1,621,065.70",0.653,Roche Holding AG,Common Stock,Health Care,10/09/2020
ISDX,B10RZP7,ULVR LN,"25,096","1,581,081.04",0.637,Unilever PLC,Common Stock,Consumer Staples,10/09/2020
ISDX,2171573,CNQ ,"87,738","1,566,451.79",0.631,Canadian Natural Resources Ltd,Common Stock,Energy,10/09/2020
ISDX,2180632,CNR ,"14,187","1,560,035.33",0.628,Canadian National Railway Co,Common Stock,Industrials,10/09/2020
ISDX,B4T3BW6,GLEN LN,"685,067","1,540,478.91",0.620,Glencore PLC,Common Stock,Materials,10/09/2020
ISDX,5983816,ZURN SW,"4,363","1,539,994.95",0.620,Zurich Insurance Group AG,Common Stock,Financials,10/09/2020
ISDX,7144569,ENEL ,"166,947","1,484,029.44",0.597,Enel SpA,Common Stock,Utilities,10/09/2020
ISDX,5671735,SAN FP,"14,115","1,439,319.17",0.579,Sanofi,Common Stock,Health Care,10/09/2020
ISDX,BRJFWP3,FCA ,"115,466","1,436,746.28",0.578,Fiat Chrysler Automobiles NV,Common Stock,Consumer Discretionary,10/09/2020
ISDX,B4TX8S1,1299 HK,"135,841","1,396,085.92",0.562,AIA Group Ltd,Common Stock,Financials,10/09/2020
ISDX,6435145,7267 JP,"56,564","1,382,312.70",0.557,Honda Motor Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
ISDX,6451055,005380 KS,"8,774","1,373,255.58",0.553,Hyundai Motor Co,Common Stock,Consumer Discretionary,10/09/2020
ISDX,2011646,ATD/B ,"39,853","1,372,682.42",0.553,Alimentation Couche-Tard Inc,Common Stock,Consumer Staples,10/09/2020
ISDX,B0C2CQ3,ENGI FP,"95,075","1,363,641.25",0.549,Engie SA,Common Stock,Utilities,10/09/2020
ISDX,5842359,DTE ,"72,712","1,236,610.33",0.498,Deutsche Telekom AG,Common Stock,Communication Services,10/09/2020
ISDX,2879327,TECK/B ,"83,700","1,164,898.55",0.469,Teck Resources Ltd,Common Stock,Materials,10/09/2020
ISDX,6821506,6758 JP,"14,970","1,113,947.66",0.448,Sony Corp,Common Stock,Consumer Discretionary,10/09/2020
ISDX,5294121,MUV2 ,"4,310","1,112,612.21",0.448,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Common Stock,Financials,10/09/2020
ISDX,B288C92,IBE ,"86,122","1,098,886.84",0.442,Iberdrola SA,Common Stock,Utilities,10/09/2020
ISDX,6596785,8058 JP,"44,435","1,073,076.55",0.432,Mitsubishi Corp,Common Stock,Industrials,10/09/2020
ISDX,5756029,BMW ,"14,026","1,072,144.26",0.432,Bayerische Motoren Werke AG,Common Stock,Consumer Discretionary,10/09/2020
