Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
ISEM,01609W102,BABA ,"5,353","1,604,508.22",8.121,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ISEM,6226576,857 HK,"3,326,674","974,387.26",4.932,PetroChina Co Ltd,Common Stock,Energy,10/09/2020
ISEM,6291819,386 HK,"1,960,398","801,860.85",4.058,China Petroleum & Chemical Corp,Common Stock,Energy,10/09/2020
ISEM,6718976,2628 HK,"291,344","675,161.87",3.417,China Life Insurance Co Ltd,Common Stock,Financials,10/09/2020
ISEM,6889106,2330 TT,"37,544","592,820.66",3.000,Taiwan Semiconductor Manufacturing Co Ltd,Common Stock,Information Technology,10/09/2020
ISEM,B01FLR7,2318 HK,"56,034","584,195.87",2.957,Ping An Insurance Group Co of China Ltd,Common Stock,Financials,10/09/2020
ISEM,47215P106,JD ,"6,883","549,194.57",2.780,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ISEM,2684532,PETR4 ,"111,161","398,177.85",2.015,Petroleo Brasileiro SA,Preference			     ,Energy,10/09/2020
ISEM,B59L4L7,GAZP RM,"150,084","326,874.38",1.654,Gazprom PJSC,Common Stock,Energy,10/09/2020
ISEM,B00FM53,BBDC4 ,"86,084","322,991.17",1.635,Banco Bradesco SA,Preference			     ,Financials,10/09/2020
ISEM,456788108,INFY ,"20,907","317,786.40",1.608,Infosys Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
ISEM,B09N7M0,1088 HK,"164,822","291,786.23",1.477,China Shenhua Energy Co Ltd,Common Stock,Energy,10/09/2020
ISEM,6438564,2317 TT,"106,589","289,795.46",1.467,Hon Hai Precision Industry Co Ltd,Common Stock,Information Technology,10/09/2020
ISEM,B2Q5H56,2601 HK,"88,873","259,163.46",1.312,China Pacific Insurance Group Co Ltd,Common Stock,Financials,10/09/2020
ISEM,6073556,941 HK,"33,684","217,097.41",1.099,China Mobile Ltd,Common Stock,Communication Services,10/09/2020
ISEM,B59SNS8,LKOH RM,"3,700","214,808.37",1.087,LUKOIL PJSC,Common Stock,Energy,10/09/2020
ISEM,056752108,BIDU ,"1,694","214,274.06",1.084,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
ISEM,151290889,CX ,"50,598","204,921.90",1.037,Cemex SAB de CV ADR,American Depository Receipt,Materials,10/09/2020
ISEM,2196286,VALE3 ,"18,167","202,452.62",1.025,Vale SA,Common Stock,Materials,10/09/2020
ISEM,BMMV2K8,700 HK,"2,907","202,363.40",1.024,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
ISEM,344419106,FMX ,"3,011","181,834.29",0.920,Fomento Economico Mexicano SAB de CV ADR,American Depository Receipt,Consumer Staples,10/09/2020
ISEM,B5BHQP1,SNGS RM,"374,436","169,084.38",0.856,Surgutneftegas PJSC,Common Stock,Energy,10/09/2020
ISEM,B2PFVH7,1186 HK,"233,474","159,966.32",0.810,China Railway Construction Corp Ltd,Common Stock,Industrials,10/09/2020
ISEM,B297KM7,390 HK,"322,287","151,785.80",0.768,China Railway Group Ltd,Common Stock,Industrials,10/09/2020
ISEM,92242Y100,VEDL ,"24,981","148,886.76",0.754,Vedanta Ltd ADR,American Depository Receipt,Materials,10/09/2020
ISEM,6777450,SOL ,"18,623","140,540.25",0.711,Sasol Ltd,Common Stock,Materials,10/09/2020
ISEM,876568502,TTM ,"14,083","134,915.14",0.683,Tata Motors Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ISEM,B1JKTQ6,1800 HK,"242,678","128,696.79",0.651,China Communications Construction Co Ltd,Common Stock,Industrials,10/09/2020
ISEM,B59SS16,ROSN RM,"24,473","123,210.44",0.624,Rosneft Oil Co PJSC,Common Stock,Energy,10/09/2020
ISEM,89677Q107,TCOM ,"3,603","115,908.51",0.587,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ISEM,6706250,2328 HK,"161,051","109,929.59",0.556,PICC Property & Casualty Co Ltd,Common Stock,Financials,10/09/2020
ISEM,B00G0S5,883 HK,"105,017","103,661.27",0.525,CNOOC Ltd,Common Stock,Energy,10/09/2020
ISEM,6718255,2333 HK,"72,050","102,263.86",0.518,Great Wall Motor Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
ISEM,B42SRM0,1618 HK,"624,335","101,504.13",0.514,Metallurgical Corp of China Ltd,Common Stock,Industrials,10/09/2020
ISEM,BG0ZMJ9,1810 HK,"34,834","94,163.56",0.477,Xiaomi Corp,Common Stock,Information Technology,10/09/2020
ISEM,64110W102,NTES ,"1,010","91,506.00",0.463,NetEase Inc ADR,American Depository Receipt,Communication Services,10/09/2020
ISEM,B5730Z1,1336 HK,"24,039","90,727.25",0.459,New China Life Insurance Co Ltd,Common Stock,Financials,10/09/2020
ISEM,20440T300,CBD ,"7,232","88,230.40",0.447,Cia Brasileira de Distribuicao ADR,American Depository Receipt,Consumer Staples,10/09/2020
ISEM,B2R2ZC9,1766 HK,"208,275","85,728.12",0.434,CRRC Corp Ltd,Common Stock,Industrials,10/09/2020
ISEM,BFZ2PK0,788 HK,"486,536","84,750.89",0.429,China Tower Corp Ltd,Common Stock,Communication Services,10/09/2020
ISEM,6099671,902 HK,"214,952","83,484.04",0.423,Huaneng Power International Inc,Common Stock,Utilities,10/09/2020
ISEM,191241108,KOF ,"1,942","82,962.24",0.420,Coca-Cola Femsa SAB de CV ADR,American Depository Receipt,Consumer Staples,10/09/2020
ISEM,98850P109,YUMC ,"1,519","82,010.81",0.415,Yum China Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
ISEM,6725299,2899 HK,"119,067","80,350.50",0.407,Zijin Mining Group Co Ltd,Common Stock,Materials,10/09/2020
ISEM,6536651,1211 HK,"4,951","78,193.35",0.396,BYD Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
ISEM,6916628,2303 TT,"68,003","76,325.30",0.386,United Microelectronics Corp,Common Stock,Information Technology,10/09/2020
ISEM,47759T100,JKS ,"1,184","74,402.56",0.377,JinkoSolar Holding Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
ISEM,722304102,PDD ,919,"73,097.26",0.370,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ISEM,6080396,914 HK,"10,603","72,920.81",0.369,Anhui Conch Cement Co Ltd,Common Stock,Materials,10/09/2020
ISEM,2645517,GGBR4 ,"17,409","68,657.78",0.347,Gerdau SA,Preference			     ,Materials,10/09/2020
ISEM,G25343107,CZZ ,"4,673","68,552.91",0.347,Cosan Ltd,Common Stock,Energy,10/09/2020
ISEM,B3ZVDV0,1099 HK,"30,424","66,814.60",0.338,Sinopharm Group Co Ltd,Common Stock,Health Care,10/09/2020
ISEM,6420408,PTT-R TB,"61,812","66,143.66",0.335,PTT PCL,Generic Receipt,Energy,10/09/2020
ISEM,B8RZJZ1,1339 HK,"221,705","65,509.83",0.332,People's Insurance Co Group of China Ltd/The,Common Stock,Financials,10/09/2020
ISEM,6372480,2454 TT,"2,766","64,596.88",0.327,MediaTek Inc,Common Stock,Information Technology,10/09/2020
ISEM,6743956,2338 HK,"30,554","64,103.85",0.324,Weichai Power Co Ltd,Common Stock,Industrials,10/09/2020
ISEM,BG7ZWY7,ABEV3 ,"25,700","63,091.73",0.319,Ambev SA,Common Stock,Consumer Staples,10/09/2020
ISEM,BSBMM04,1816 HK,"305,258","63,020.60",0.319,CGN Power Co Ltd,Common Stock,Utilities,10/09/2020
