Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IUS,037833100,AAPL ,"66,755","7,808,332.35",5.483,Apple Inc,Common Stock,Information Technology,10/09/2020
IUS,084670702,BRK/B ,"18,913","4,079,155.84",2.865,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
IUS,594918104,MSFT ,"14,724","3,177,586.44",2.231,Microsoft Corp,Common Stock,Information Technology,10/09/2020
IUS,02079K305,GOOGL ,"2,015","3,043,556.75",2.137,Alphabet Inc,Common Stock,Communication Services,10/09/2020
IUS,00206R102,T ,"93,950","2,660,664.00",1.868,AT&T Inc,Common Stock,Communication Services,10/09/2020
IUS,30231G102,XOM ,"62,130","2,158,396.20",1.516,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
IUS,30303M102,FB ,"7,060","1,867,017.00",1.311,Facebook Inc,Common Stock,Communication Services,10/09/2020
IUS,023135106,AMZN ,564,"1,853,670.60",1.302,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
IUS,92343V104,VZ ,"28,429","1,686,692.57",1.184,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
IUS,166764100,CVX ,"20,906","1,547,044.00",1.086,Chevron Corp,Common Stock,Energy,10/09/2020
IUS,20030N101,CMCSA ,"34,438","1,544,544.30",1.085,Comcast Corp,Common Stock,Communication Services,10/09/2020
IUS,91324P102,UNH ,"4,702","1,541,503.68",1.083,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
IUS,458140100,INTC ,"27,307","1,442,355.74",1.013,Intel Corp,Common Stock,Information Technology,10/09/2020
IUS,345370860,F ,"198,943","1,442,336.75",1.013,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
IUS,931142103,WMT ,"10,011","1,429,370.58",1.004,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
IUS,742718109,PG ,"9,922","1,418,052.24",0.996,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
IUS,478160104,JNJ ,"9,305","1,404,775.85",0.986,Johnson & Johnson,Common Stock,Health Care,10/09/2020
IUS,37045V100,GM ,"40,766","1,311,034.56",0.921,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
IUS,717081103,PFE ,"32,057","1,179,377.03",0.828,Pfizer Inc,Common Stock,Health Care,10/09/2020
IUS,437076102,HD ,"4,054","1,159,119.68",0.814,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
IUS,126650100,CVS ,"18,877","1,121,293.80",0.787,CVS Health Corp,Common Stock,Health Care,10/09/2020
IUS,17275R102,CSCO ,"28,011","1,116,238.35",0.784,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
IUS,68389X105,ORCL ,"17,880","1,093,362.00",0.768,Oracle Corp,Common Stock,Information Technology,10/09/2020
IUS,747525103,QCOM ,"8,047","1,004,828.89",0.706,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
IUS,31428X106,FDX ,"3,660","993,873.00",0.698,FedEx Corp,Common Stock,Industrials,10/09/2020
IUS,911312106,UPS ,"5,660","988,745.40",0.694,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
IUS,24703L202,DELL ,"13,825","945,491.75",0.664,Dell Technologies Inc,Common Stock,Information Technology,10/09/2020
IUS,11135F101,AVGO ,"2,465","928,565.50",0.652,Broadcom Inc,Common Stock,Information Technology,10/09/2020
IUS,459200101,IBM ,"7,097","906,925.63",0.637,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
IUS,58933Y105,MRK ,"10,865","873,111.40",0.613,Merck & Co Inc,Common Stock,Health Care,10/09/2020
IUS,254687106,DIS ,"6,972","871,360.56",0.612,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
IUS,92826C839,V ,"4,112","849,703.68",0.597,Visa Inc,Common Stock,Information Technology,10/09/2020
IUS,58155Q103,MCK ,"5,564","841,777.56",0.591,McKesson Corp,Common Stock,Health Care,10/09/2020
IUS,097023105,BA ,"4,807","804,355.31",0.565,Boeing Co/The,Common Stock,Industrials,10/09/2020
IUS,22160K105,COST ,"2,144","792,122.24",0.556,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
IUS,149123101,CAT ,"4,964","788,978.16",0.554,Caterpillar Inc,Common Stock,Industrials,10/09/2020
IUS,907818108,UNP ,"3,831","788,343.18",0.554,Union Pacific Corp,Common Stock,Industrials,10/09/2020
IUS,26614N102,DD ,"13,140","779,333.40",0.547,DuPont de Nemours Inc,Common Stock,Materials,10/09/2020
IUS,369604103,GE ,"105,610","722,372.40",0.507,General Electric Co,Common Stock,Industrials,10/09/2020
IUS,438516106,HON ,"4,122","718,794.36",0.505,Honeywell International Inc,Common Stock,Industrials,10/09/2020
IUS,548661107,LOW ,"4,125","714,573.75",0.502,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
IUS,56585A102,MPC ,"23,449","706,283.88",0.496,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
IUS,191216100,KO ,"13,573","689,644.13",0.484,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
IUS,75513E101,RTX ,"11,314","677,821.74",0.476,Raytheon Technologies Corp,Common Stock,Industrials,10/09/2020
IUS,713448108,PEP ,"4,877","675,171.88",0.474,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
