Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IUSS,690732102,OMI ,"7,313","192,770.68",0.639,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
IUSS,707569109,PENN ,"2,572","166,408.40",0.552,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,899896104,TUP ,"6,465","143,329.05",0.475,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
IUSS,36467W109,GME ,"10,092","121,305.84",0.402,GameStop Corp,Common Stock,Consumer Discretionary,10/09/2020
IUSS,76117W109,RFP ,"23,244","120,636.36",0.400,Resolute Forest Products Inc,Common Stock,Materials,10/09/2020
IUSS,852234103,SQ ,643,"120,421.04",0.399,Square Inc,Common Stock,Information Technology,10/09/2020
IUSS,203668108,CYH ,"20,214","98,846.46",0.328,Community Health Systems Inc,Common Stock,Health Care,10/09/2020
IUSS,G6359F137,NBR ,"3,444","97,430.76",0.323,Nabors Industries Ltd,Common Stock,Energy,10/09/2020
IUSS,237266101,DAR ,"2,220","94,017.00",0.312,Darling Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
IUSS,278265103,EV ,"1,554","93,721.74",0.311,Eaton Vance Corp,Common Stock,Financials,10/09/2020
IUSS,02553E106,AEO ,"6,008","91,982.48",0.305,American Eagle Outfitters Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,724479100,PBI ,"15,099","91,499.94",0.303,Pitney Bowes Inc,Common Stock,Industrials,10/09/2020
IUSS,904311107,UAA ,"7,265","91,175.75",0.302,Under Armour Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,002535300,AAN ,"1,532","89,882.44",0.298,Aaron's Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,206787103,CNDT ,"24,532","88,315.20",0.293,Conduent Inc,Common Stock,Information Technology,10/09/2020
IUSS,043436104,ABG ,745,"85,451.50",0.283,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,59001A102,MTH ,754,"84,990.88",0.282,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
IUSS,887389104,TKR ,"1,395","84,467.25",0.280,Timken Co/The,Common Stock,Industrials,10/09/2020
IUSS,185899101,CLF ,"11,013","83,148.15",0.276,Cleveland-Cliffs Inc,Common Stock,Materials,10/09/2020
IUSS,74967X103,RH ,218,"80,978.28",0.269,RH,Common Stock,Consumer Discretionary,10/09/2020
IUSS,83545G102,SAH ,"1,945","80,717.50",0.268,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,L9340P101,TSE ,"2,742","80,697.06",0.268,Trinseo SA,Common Stock,Materials,10/09/2020
IUSS,26969P108,EXP ,862,"80,476.32",0.267,Eagle Materials Inc,Common Stock,Materials,10/09/2020
IUSS,089302103,BIG ,"1,590","80,167.80",0.266,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
IUSS,526107107,LII ,282,"79,941.36",0.265,Lennox International Inc,Common Stock,Industrials,10/09/2020
