Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
KBWB,902973304,USB ,"1,582,271","61,977,555.07",8.295,US Bancorp,Common Stock,Financials,10/09/2020
KBWB,949746101,WFC ,"2,386,174","60,370,202.20",8.080,Wells Fargo & Co,Common Stock,Financials,10/09/2020
KBWB,46625H100,JPM ,"574,826","58,172,391.20",7.786,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
KBWB,060505104,BAC ,"2,237,072","56,732,145.92",7.593,Bank of America Corp,Common Stock,Financials,10/09/2020
KBWB,172967424,C ,"1,126,401","50,609,196.93",6.773,Citigroup Inc,Common Stock,Financials,10/09/2020
KBWB,14040H105,COF ,"417,184","33,324,657.92",4.460,Capital One Financial Corp,Common Stock,Financials,10/09/2020
KBWB,316773100,FITB ,"1,393,570","32,581,666.60",4.361,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
KBWB,89832Q109,TFC ,"741,890","32,057,066.90",4.290,Truist Financial Corp,Common Stock,Financials,10/09/2020
KBWB,33616C100,FRC ,"255,014","31,550,332.08",4.223,First Republic Bank/CA,Common Stock,Financials,10/09/2020
KBWB,78486Q101,SIVB ,"112,729","30,959,892.56",4.144,SVB Financial Group,Common Stock,Financials,10/09/2020
KBWB,665859104,NTRS ,"351,629","29,965,823.38",4.011,Northern Trust Corp,Common Stock,Financials,10/09/2020
KBWB,693475105,PNC ,"259,022","29,911,860.56",4.003,PNC Financial Services Group Inc/The,Common Stock,Financials,10/09/2020
KBWB,064058100,BK ,"778,833","29,362,004.10",3.930,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
KBWB,493267108,KEY ,"2,198,129","28,839,452.48",3.860,KeyCorp,Common Stock,Financials,10/09/2020
KBWB,55261F104,MTB ,"278,948","28,276,958.76",3.784,M&T Bank Corp,Common Stock,Financials,10/09/2020
KBWB,857477103,STT ,"422,733","28,082,153.19",3.758,State Street Corp,Common Stock,Financials,10/09/2020
KBWB,7591EP100,RF ,"2,162,480","27,658,119.20",3.702,Regions Financial Corp,Common Stock,Financials,10/09/2020
KBWB,174610105,CFG ,"961,293","26,877,752.28",3.597,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
KBWB,446150104,HBAN ,"2,291,212","22,568,438.20",3.020,Huntington Bancshares Inc/OH,Common Stock,Financials,10/09/2020
KBWB,200340107,CMA ,"313,136","13,258,178.24",1.774,Comerica Inc,Common Stock,Financials,10/09/2020
KBWB,989701107,ZION ,"369,324","11,661,405.30",1.561,Zions Bancorp NA,Common Stock,Financials,10/09/2020
KBWB,712704105,PBCT ,"956,691","10,360,963.53",1.387,People's United Financial Inc,Common Stock,Financials,10/09/2020
KBWB,320517105,FHN ,"703,511","7,541,637.92",1.009,First Horizon National Corp,Common Stock,Financials,10/09/2020
KBWB,125581801,CIT ,"221,721","4,480,981.41",0.600,CIT Group Inc,Common Stock,Financials,10/09/2020
KBWB,825252885,AGPXX ,"78,869","78,868.64",0.011,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
KBWB,CASHUSD00,-CASH-,"-76,964","-76,963.55",-0.010,Cash/Receivables/Payables,Currency,Cash,10/09/2020
