Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
KBWD,ARI ,03762U105,Apollo Commercial Real Estate Finance Inc,,,09/24/2009,N/A,NR/NR,"1,265,781",1.169581644E7,4.88,10/09/2020
KBWD,ORC ,68571X103,Orchid Island Capital Inc,,,02/14/2013,N/A,NR/NR,"2,158,529",1.111642435E7,4.64,10/09/2020
KBWD,FSK ,302635206,FS KKR Capital Corp,,,,N/A,NR/NR,"675,758",1.095403718E7,4.57,10/09/2020
KBWD,CGBD ,872280102,TCG BDC Inc,,,,N/A,NR/NR,"1,191,685",1.07013313E7,4.46,10/09/2020
KBWD,PSEC ,74348T102,Prospect Capital Corp,,,07/27/2004,N/A,NR/NR,"1,922,270",9938135.9,4.14,10/09/2020
KBWD,ARR ,042315507,ARMOUR Residential REIT Inc,,,06/16/2010,N/A,NR/NR,"926,425",9171607.5,3.83,10/09/2020
KBWD,AINV ,03761U502,Apollo Investment Corp,,,,N/A,NR/NR,"1,082,073",9132696.12,3.81,10/09/2020
KBWD,TCPC ,09259E108,BlackRock TCP Capital Corp,,,01/10/2012,N/A,NR/NR,"894,756",8849136.84,3.69,10/09/2020
KBWD,NEWT ,652526203,Newtek Business Services Corp,,,,N/A,NR/NR,"469,314",8799637.5,3.67,10/09/2020
KBWD,NMFC ,647551100,New Mountain Finance Corp,,,07/29/2010,N/A,NR/NR,"871,618",8576721.12,3.58,10/09/2020
KBWD,NLY ,035710409,Annaly Capital Management Inc,,,10/08/1997,N/A,NR/NR,"1,180,823",8537350.29,3.56,10/09/2020
KBWD,TWO ,90187B408,Two Harbors Investment Corp,,,10/29/2009,N/A,NR/NR,"1,366,690",7393792.9,3.08,10/09/2020
KBWD,AGNC ,00123Q104,AGNC Investment Corp,,,,N/A,NR/NR,"524,304",7376957.28,3.08,10/09/2020
KBWD,DX ,26817Q886,Dynex Capital Inc,,,,N/A,NR/NR,"450,704",7251827.36,3.02,10/09/2020
KBWD,JHG ,G4474Y214,Janus Henderson Group PLC,,,,N/A,NR/NR,"243,141",6703397.37,2.80,10/09/2020
KBWD,PNNT ,708062104,PennantPark Investment Corp,,,,N/A,NR/NR,"1,944,243",6454886.76,2.69,10/09/2020
KBWD,UMPQ ,904214103,Umpqua Holdings Corp,,,04/08/1997,N/A,NR/NR,"478,561",6020297.38,2.51,10/09/2020
KBWD,APAM ,04316A108,Artisan Partners Asset Management Inc,,,03/07/2013,N/A,NR/NR,"129,649",5724003.35,2.39,10/09/2020
KBWD,IVZ ,G491BT108,Invesco Ltd,,,08/25/1995,N/A,NR/NR,"431,982",5663284.02,2.36,10/09/2020
KBWD,NAVI ,63938C108,Navient Corp,,,,N/A,NR/NR,"561,472",5328369.28,2.22,10/09/2020
KBWD,NYCB ,649445103,New York Community Bancorp Inc,,,11/23/1993,N/A,NR/NR,"601,849",5091642.54,2.12,10/09/2020
KBWD,NTB ,G0772R208,Bank of NT Butterfield & Son Ltd/The,,,09/16/2016,N/A,NR/NR,"200,904",5052735.6,2.11,10/09/2020
KBWD,PBCT ,712704105,People's United Financial Inc,,,07/06/1988,N/A,NR/NR,"466,271",5049714.93,2.11,10/09/2020
KBWD,WDR ,930059100,Waddell & Reed Financial Inc,,,03/05/1998,N/A,NR/NR,"292,223",4967791.0,2.07,10/09/2020
KBWD,LAZ ,G54050102,Lazard Ltd,,,05/05/2005,N/A,NR/NR,"135,875",4960796.25,2.07,10/09/2020
KBWD,PRU ,744320102,Prudential Financial Inc,,,12/13/2001,N/A,NR/NR,"69,447",4714062.36,1.97,10/09/2020
KBWD,UNM ,91529Y106,Unum Group,,,11/06/1986,N/A,NR/NR,"241,978",4532247.94,1.89,10/09/2020
KBWD,TRTN ,G9078F107,Triton International Ltd/Bermuda,,,10/12/2005,N/A,NR/NR,"115,956",4428359.64,1.85,10/09/2020
KBWD,NRZ ,64828T201,New Residential Investment Corp,,,,N/A,NR/NR,"484,014",4012476.06,1.67,10/09/2020
KBWD,PFG ,74251V102,Principal Financial Group Inc,,,10/23/2001,N/A,NR/NR,"91,571",3889020.37,1.62,10/09/2020
KBWD,PACW ,695263103,PacWest Bancorp,,,06/05/2000,N/A,NR/NR,"199,123",3809222.99,1.59,10/09/2020
KBWD,MCY ,589400100,Mercury General Corp,,,10/09/1996,N/A,NR/NR,"91,302",3725121.6,1.55,10/09/2020
KBWD,OXSQ ,69181V107,Oxford Square Capital Corp,,,,N/A,NR/NR,"1,433,701",3684611.57,1.54,10/09/2020
KBWD,ARES ,03990B101,Ares Management Corp,,,05/02/2014,N/A,NR/NR,"70,886",3058730.9,1.28,10/09/2020
KBWD,APO ,03768E105,Apollo Global Management Inc,,,03/30/2011,N/A,NR/NR,"64,677",3010714.35,1.26,10/09/2020
KBWD,MC ,60786M105,Moelis & Co,,,04/16/2014,N/A,NR/NR,"72,615",2785511.4,1.16,10/09/2020
KBWD,VIRT ,928254101,Virtu Financial Inc,,,04/16/2015,N/A,NR/NR,"104,304",2320764.0,0.97,10/09/2020
KBWD,HAFC ,410495204,Hanmi Financial Corp,,,10/27/1993,N/A,NR/NR,"255,410",2245053.9,0.94,10/09/2020
KBWD,IVR ,46131B100,Invesco Mortgage Capital Inc,,,06/26/2009,N/A,NR/NR,"644,361",1829985.24,0.76,10/09/2020
KBWD,BGCP ,05541T101,BGC Partners Inc,,,12/10/1999,N/A,NR/NR,"456,598",1223682.64,0.51,10/09/2020
KBWD,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"-11,944",-11944.28,-0.00,10/09/2020
