Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
KBWP,PGR ,743315103,Progressive Corp/The,,,11/05/1984,N/A,NR/NR,"151,673",1.514909924E7,8.60,10/09/2020
KBWP,AIG ,026874784,American International Group Inc,,,11/05/1984,N/A,NR/NR,"494,684",1.48157858E7,8.41,10/09/2020
KBWP,ALL ,020002101,Allstate Corp/The,,,06/03/1993,N/A,NR/NR,"154,992",1.439255712E7,8.17,10/09/2020
KBWP,TRV ,89417E109,Travelers Cos Inc/The,,,11/05/1984,N/A,NR/NR,"124,217",1.438805511E7,8.17,10/09/2020
KBWP,CB ,H1467J104,Chubb Ltd,,,03/24/2093,N/A,NR/NR,"115,316",1.38898122E7,7.89,10/09/2020
KBWP,AFG ,025932104,American Financial Group Inc/OH,,,11/05/1984,N/A,NR/NR,"107,837",7915235.8,4.49,10/09/2020
KBWP,AIZ ,04621X108,Assurant Inc,,,02/05/2004,N/A,NR/NR,"59,305",7446928.85,4.23,10/09/2020
KBWP,WRB ,084423102,W R Berkley Corp,,,11/05/1984,N/A,NR/NR,"116,203",7323113.06,4.16,10/09/2020
KBWP,CINF ,172062101,Cincinnati Financial Corp,,,11/05/1984,N/A,NR/NR,"90,796",7235533.24,4.11,10/09/2020
KBWP,ACGL ,G0450A105,Arch Capital Group Ltd,,,09/14/1995,N/A,NR/NR,"228,617",7208294.01,4.09,10/09/2020
KBWP,HIG ,416515104,Hartford Financial Services Group Inc/The,,,12/18/1995,N/A,NR/NR,"178,266",6882850.26,3.91,10/09/2020
KBWP,AXS ,G0692U109,Axis Capital Holdings Ltd,,,07/01/2003,N/A,NR/NR,"150,949",6833461.23,3.88,10/09/2020
KBWP,RNR ,G7496G103,RenaissanceRe Holdings Ltd,,,07/27/1995,N/A,NR/NR,"39,242",6796321.98,3.86,10/09/2020
KBWP,THG ,410867105,Hanover Insurance Group Inc/The,,,10/11/1995,N/A,NR/NR,"70,023",6718006.62,3.81,10/09/2020
KBWP,RE ,G3223R108,Everest Re Group Ltd,,,10/03/1995,N/A,NR/NR,"32,609",6682888.46,3.80,10/09/2020
KBWP,RLI ,749607107,RLI Corp,,,05/08/1987,N/A,NR/NR,"76,518",6559122.96,3.72,10/09/2020
KBWP,KMPR ,488401100,Kemper Corp,,,05/24/2001,N/A,NR/NR,"92,411",6150876.16,3.49,10/09/2020
KBWP,SIGI ,816300107,Selective Insurance Group Inc,,,03/17/1980,N/A,NR/NR,"113,103",6072500.07,3.45,10/09/2020
KBWP,MCY ,589400100,Mercury General Corp,,,10/09/1996,N/A,NR/NR,"104,680",4270944.0,2.43,10/09/2020
KBWP,JRVR ,G5005R107,James River Group Holdings Ltd,,,12/12/2014,N/A,NR/NR,"57,775",2714269.5,1.54,10/09/2020
KBWP,HMN ,440327104,Horace Mann Educators Corp,,,11/15/1991,N/A,NR/NR,"78,181",2676917.44,1.52,10/09/2020
KBWP,PRA ,74267C106,ProAssurance Corp,,,09/23/1996,N/A,NR/NR,"101,903",1646752.48,0.94,10/09/2020
KBWP,TPRE ,G8827U100,Third Point Reinsurance Ltd,,,08/15/2013,N/A,NR/NR,"179,491",1380285.79,0.78,10/09/2020
KBWP,UVE ,91359V107,Universal Insurance Holdings Inc,,,04/30/2007,N/A,NR/NR,"60,233",855308.6,0.49,10/09/2020
KBWP,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"91,779",91779.32,0.05,10/09/2020
