Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
KBWR,200525103,CBSH ,"20,086","1,215,403.86",4.013,Commerce Bancshares Inc/MO,Common Stock,Financials,10/09/2020
KBWR,27579R104,EWBC ,"32,526","1,209,967.20",3.995,East West Bancorp Inc,Common Stock,Financials,10/09/2020
KBWR,743606105,PB ,"21,458","1,200,360.52",3.963,Prosperity Bancshares Inc,Common Stock,Financials,10/09/2020
KBWR,82669G104,SBNY ,"12,333","1,044,111.78",3.447,Signature Bank/New York NY,Common Stock,Financials,10/09/2020
KBWR,229899109,CFR ,"14,520","1,010,446.80",3.336,Cullen/Frost Bankers Inc,Common Stock,Financials,10/09/2020
KBWR,904214103,UMPQ ,"53,080","667,746.40",2.205,Umpqua Holdings Corp,Common Stock,Financials,10/09/2020
KBWR,87161C501,SNV ,"27,374","666,009.42",2.199,Synovus Financial Corp,Common Stock,Financials,10/09/2020
KBWR,97650W108,WTFC ,"13,756","664,552.36",2.194,Wintrust Financial Corp,Common Stock,Financials,10/09/2020
KBWR,947890109,WBS ,"21,778","656,606.70",2.168,Webster Financial Corp,Common Stock,Financials,10/09/2020
KBWR,733174700,BPOP ,"16,167","653,955.15",2.159,Popular Inc,Common Stock,Financials,10/09/2020
KBWR,957638109,WAL ,"16,901","634,632.55",2.095,Western Alliance Bancorp,Common Stock,Financials,10/09/2020
KBWR,045487105,ASB ,"44,562","626,987.34",2.070,Associated Banc-Corp,Common Stock,Financials,10/09/2020
KBWR,902788108,UMBF ,"11,106","625,712.04",2.066,UMB Financial Corp,Common Stock,Financials,10/09/2020
KBWR,436893200,HOMB ,"36,934","625,292.62",2.064,Home BancShares Inc/AR,Common Stock,Financials,10/09/2020
KBWR,06652K103,BKU ,"25,611","623,627.85",2.059,BankUnited Inc,Common Stock,Financials,10/09/2020
KBWR,85917A100,STL ,"51,318","619,408.26",2.045,Sterling Bancorp/DE,Common Stock,Financials,10/09/2020
KBWR,05971J102,BXS ,"27,646","614,294.12",2.028,BancorpSouth Bank,Common Stock,Financials,10/09/2020
KBWR,32020R109,FFIN ,"19,780","611,399.80",2.019,First Financial Bankshares Inc,Common Stock,Financials,10/09/2020
KBWR,37637Q105,GBCI ,"17,064","605,772.00",2.000,Glacier Bancorp Inc,Common Stock,Financials,10/09/2020
KBWR,872307103,TCF ,"22,195","605,701.55",2.000,TCF Financial Corp,Common Stock,Financials,10/09/2020
