Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
KBWY,GEO ,36162J106,GEO Group Inc/The,,,,N/A,NR/NR,"1,294,718",1.457852468E7,8.01,10/09/2020
KBWY,BPYU ,11282X103,Brookfield Property REIT Inc,,,,N/A,NR/NR,"878,913",1.329795369E7,7.31,10/09/2020
KBWY,AFIN ,02607T109,American Finance Trust Inc,,,,N/A,NR/NR,"1,598,439",1.061363496E7,5.83,10/09/2020
KBWY,BRG ,09627J102,Bluerock Residential Growth REIT Inc,,,03/28/2014,N/A,NR/NR,"974,969",8267737.12,4.55,10/09/2020
KBWY,APTS ,74039L103,Preferred Apartment Communities Inc,,,08/04/2010,N/A,NR/NR,"1,411,776",8258889.6,4.54,10/09/2020
KBWY,SLG ,78440X101,SL Green Realty Corp,,,08/15/1997,N/A,NR/NR,"143,875",7400930.0,4.07,10/09/2020
KBWY,OPI ,67623C109,Office Properties Income Trust,,,,N/A,NR/NR,"340,067",7246827.77,3.98,10/09/2020
KBWY,SBRA ,78573L106,Sabra Health Care REIT Inc,,,11/06/2010,N/A,NR/NR,"484,872",7050038.88,3.88,10/09/2020
KBWY,GNL ,379378201,Global Net Lease Inc,,,06/02/2015,N/A,NR/NR,"412,830",6720872.4,3.69,10/09/2020
KBWY,MAC ,554382101,Macerich Co/The,,,03/11/1994,N/A,NR/NR,"847,877",6376035.04,3.51,10/09/2020
KBWY,CXP ,198287203,Columbia Property Trust Inc,,,10/10/2013,N/A,NR/NR,"536,094",6288382.62,3.46,10/09/2020
KBWY,GMRE ,37954A204,Global Medical REIT Inc,,,,N/A,NR/NR,"434,589",6240698.04,3.43,10/09/2020
KBWY,NHI ,63633D104,National Health Investors Inc,,,10/09/1991,N/A,NR/NR,"101,132",6182199.16,3.40,10/09/2020
KBWY,CIO ,178587101,City Office REIT Inc,,,,N/A,NR/NR,"824,837",6136787.28,3.37,10/09/2020
KBWY,GOOD ,376536108,Gladstone Commercial Corp,,,08/13/2003,N/A,NR/NR,"347,042",6083646.26,3.34,10/09/2020
KBWY,BDN ,105368203,Brandywine Realty Trust,,,07/23/1986,N/A,NR/NR,"545,196",5817241.32,3.20,10/09/2020
KBWY,UNIT ,91325V108,Uniti Group Inc,,,04/20/2015,N/A,NR/NR,"552,914",5800067.86,3.19,10/09/2020
KBWY,CLI ,554489104,Mack-Cali Realty Corp,,,08/25/1994,N/A,NR/NR,"445,667",5708994.27,3.14,10/09/2020
KBWY,WSR ,966084204,Whitestone REIT,,,08/26/2010,N/A,NR/NR,"902,728",5633022.72,3.10,10/09/2020
KBWY,ILPT ,456237106,Industrial Logistics Properties Trust,,,,N/A,NR/NR,"252,116",5584369.4,3.07,10/09/2020
KBWY,LTC ,502175102,LTC Properties Inc,,,08/18/1992,N/A,NR/NR,"152,166",5429282.88,2.98,10/09/2020
KBWY,SNR ,648691103,New Senior Investment Group Inc,,,10/27/2014,N/A,NR/NR,"1,204,358",5371436.68,2.95,10/09/2020
KBWY,VNO ,929042109,Vornado Realty Trust,,,11/05/1984,N/A,NR/NR,"146,746",5212417.92,2.87,10/09/2020
KBWY,STOR ,862121100,STORE Capital Corp,,,11/18/2014,N/A,NR/NR,"170,154",4760908.92,2.62,10/09/2020
KBWY,STAG ,85254J102,STAG Industrial Inc,,,04/15/2011,N/A,NR/NR,"122,654",3998520.4,2.20,10/09/2020
KBWY,IRT ,45378A106,Independence Realty Trust Inc,,,08/09/2013,N/A,NR/NR,"311,071",3754626.97,2.06,10/09/2020
KBWY,LAMR ,512816109,Lamar Advertising Co,,,08/02/1996,N/A,NR/NR,"37,083",2605451.58,1.43,10/09/2020
KBWY,DHC ,25525P107,Diversified Healthcare Trust,,,,N/A,NR/NR,"246,154",876308.24,0.48,10/09/2020
KBWY,SVC ,81761L102,Service Properties Trust,,,08/17/1995,N/A,BBB-/NR,"52,734",438219.54,0.24,10/09/2020
KBWY,RLJ ,74965L101,RLJ Lodging Trust,,,02/09/2011,N/A,NR/NR,"39,886",358176.28,0.20,10/09/2020
KBWY,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"-186,523",-186523.38,-0.10,10/09/2020
