Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
OMFL,92556H206,VIAC ,"349,913","10,117,734.40",0.975,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
OMFL,14149Y108,CAH ,"202,675","9,734,480.25",0.938,Cardinal Health Inc,Common Stock,Health Care,10/09/2020
OMFL,911363109,URI ,"48,947","9,639,622.18",0.929,United Rentals Inc,Common Stock,Industrials,10/09/2020
OMFL,87165B103,SYF ,"308,465","8,896,130.60",0.857,Synchrony Financial,Common Stock,Financials,10/09/2020
OMFL,00130H105,AES ,"458,206","8,852,539.92",0.853,AES Corp/The,Common Stock,Utilities,10/09/2020
OMFL,42824C109,HPE ,"895,813","8,787,925.53",0.847,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
OMFL,963320106,WHR ,"42,368","8,532,915.20",0.822,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
OMFL,247361702,DAL ,"259,975","8,529,779.75",0.822,Delta Air Lines Inc,Common Stock,Industrials,10/09/2020
OMFL,V7780T103,RCL ,"118,538","8,426,866.42",0.812,Royal Caribbean Cruises Ltd,Common Stock,Consumer Discretionary,10/09/2020
OMFL,460146103,IP ,"188,016","8,022,642.72",0.773,International Paper Co,Common Stock,Materials,10/09/2020
OMFL,254709108,DFS ,"118,219","7,671,230.91",0.739,Discover Financial Services,Common Stock,Financials,10/09/2020
OMFL,910047109,UAL ,"201,111","7,465,240.32",0.720,United Airlines Holdings Inc,Common Stock,Industrials,10/09/2020
OMFL,670346105,NUE ,"151,728","7,413,430.08",0.715,Nucor Corp,Common Stock,Materials,10/09/2020
OMFL,24703L202,DELL ,"106,366","7,274,370.74",0.701,Dell Technologies Inc,Common Stock,Information Technology,10/09/2020
OMFL,02005N100,ALLY ,"258,973","7,212,398.05",0.695,Ally Financial Inc,Common Stock,Financials,10/09/2020
OMFL,60855R100,MOH ,"35,351","7,041,919.20",0.679,Molina Healthcare Inc,Common Stock,Health Care,10/09/2020
OMFL,74251V102,PFG ,"165,686","7,036,684.42",0.678,Principal Financial Group Inc,Common Stock,Financials,10/09/2020
OMFL,552953101,MGM ,"326,267","6,969,063.12",0.672,MGM Resorts International,Common Stock,Consumer Discretionary,10/09/2020
OMFL,745867101,PHM ,"140,846","6,898,637.08",0.665,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFL,96145D105,WRK ,"177,862","6,723,183.60",0.648,Westrock Co,Common Stock,Materials,10/09/2020
OMFL,15189T107,CNP ,"310,907","6,644,082.59",0.640,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
OMFL,172062101,CINF ,"83,168","6,627,657.92",0.639,Cincinnati Financial Corp,Common Stock,Financials,10/09/2020
OMFL,682189105,ON ,"244,143","6,433,168.05",0.620,ON Semiconductor Corp,Common Stock,Information Technology,10/09/2020
OMFL,983793100,XPO ,"62,770","5,980,097.90",0.576,XPO Logistics Inc,Common Stock,Industrials,10/09/2020
OMFL,806407102,HSIC ,"98,422","5,950,594.12",0.574,Henry Schein Inc,Common Stock,Health Care,10/09/2020
OMFL,883203101,TXT ,"158,001","5,808,116.76",0.560,Textron Inc,Common Stock,Industrials,10/09/2020
OMFL,92840M102,VST ,"318,764","5,734,564.36",0.553,Vistra Corp,Common Stock,Utilities,10/09/2020
