Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
OMFS,690732102,OMI ,"30,145","794,622.20",1.737,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
OMFS,899896104,TUP ,"23,782","527,246.94",1.153,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
OMFS,724479100,PBI ,"72,355","438,471.30",0.959,Pitney Bowes Inc,Common Stock,Industrials,10/09/2020
OMFS,428567101,HIBB ,"6,511","360,709.40",0.789,Hibbett Sports Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,G94787101,WTRE ,"8,098","262,375.20",0.574,Watford Holdings Ltd,Common Stock,Financials,10/09/2020
OMFS,G81276100,SIG ,"12,375","257,771.25",0.564,Signet Jewelers Ltd,Common Stock,Consumer Discretionary,10/09/2020
OMFS,G8766E109,TGH ,"15,853","234,307.34",0.512,Textainer Group Holdings Ltd,Common Stock,Industrials,10/09/2020
OMFS,55003T107,LL ,"8,523","229,780.08",0.502,Lumber Liquidators Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,896749108,GTS ,"11,091","227,365.50",0.497,Triple-S Management Corp,Common Stock,Health Care,10/09/2020
OMFS,50077C106,KRA ,"8,469","214,519.77",0.469,Kraton Corp,Common Stock,Materials,10/09/2020
OMFS,075896100,BBBY ,"9,705","208,269.30",0.455,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,90333L201,USCR ,"6,167","206,409.49",0.451,US Concrete Inc,Common Stock,Materials,10/09/2020
OMFS,034164103,ANDE ,"10,359","203,139.99",0.444,Andersons Inc/The,Common Stock,Consumer Staples,10/09/2020
OMFS,203668108,CYH ,"41,285","201,883.65",0.441,Community Health Systems Inc,Common Stock,Health Care,10/09/2020
OMFS,859241101,STRL ,"13,386","200,656.14",0.439,Sterling Construction Co Inc,Common Stock,Industrials,10/09/2020
OMFS,50060P106,KOP ,"8,363","199,039.40",0.435,Koppers Holdings Inc,Common Stock,Materials,10/09/2020
OMFS,75605Y106,RLGY ,"17,709","194,267.73",0.425,Realogy Holdings Corp,Common Stock,Real Estate,10/09/2020
OMFS,03937C105,ARCB ,"5,539","193,865.00",0.424,ArcBest Corp,Common Stock,Industrials,10/09/2020
OMFS,929566107,WNC ,"13,731","188,938.56",0.413,Wabash National Corp,Common Stock,Industrials,10/09/2020
OMFS,129500104,CAL ,"18,562","186,919.34",0.409,Caleres Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,36237H101,GIII ,"12,083","186,078.20",0.407,G-III Apparel Group Ltd,Common Stock,Consumer Discretionary,10/09/2020
OMFS,29357K103,ENVA ,"9,566","183,571.54",0.401,Enova International Inc,Common Stock,Financials,10/09/2020
OMFS,12477X106,CAI ,"6,521","182,522.79",0.399,CAI International Inc,Common Stock,Industrials,10/09/2020
OMFS,25787G100,DFIN ,"12,433","178,413.55",0.390,Donnelley Financial Solutions Inc,Common Stock,Financials,10/09/2020
OMFS,806882106,SCHN ,"8,452","178,252.68",0.390,Schnitzer Steel Industries Inc,Common Stock,Materials,10/09/2020
OMFS,09180C106,BJRI ,"5,352","176,830.08",0.387,BJ's Restaurants Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,38046C109,GOGO ,"15,782","173,759.82",0.380,Gogo Inc,Common Stock,Communication Services,10/09/2020
OMFS,59408Q106,MIK ,"16,924","169,916.96",0.371,Michaels Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
OMFS,53115L104,LBRT ,"20,155","168,294.25",0.368,Liberty Oilfield Services Inc,Common Stock,Energy,10/09/2020
OMFS,55405W104,MYRG ,"3,898","167,964.82",0.367,MYR Group Inc,Common Stock,Industrials,10/09/2020
OMFS,55272X102,MFA ,"58,339","167,432.93",0.366,MFA Financial Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
OMFS,03940R107,ARCH ,"4,119","165,872.13",0.363,Arch Resources Inc,Common Stock,Energy,10/09/2020
OMFS,607828100,MOD ,"23,055","165,073.80",0.361,Modine Manufacturing Co,Common Stock,Consumer Discretionary,10/09/2020
OMFS,50050N103,KTB ,"5,979","164,362.71",0.359,Kontoor Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,439038100,HOFT ,"5,648","162,210.56",0.355,Hooker Furniture Corp,Common Stock,Consumer Discretionary,10/09/2020
OMFS,00773T101,ASIX ,"11,150","159,779.50",0.349,AdvanSix Inc,Common Stock,Materials,10/09/2020
OMFS,07556Q881,BZH ,"11,012","157,691.84",0.345,Beazer Homes USA Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,92552R406,VVI ,"6,627","154,011.48",0.337,Viad Corp,Common Stock,Industrials,10/09/2020
OMFS,002896207,ANF ,"9,400","153,878.00",0.336,Abercrombie & Fitch Co,Common Stock,Consumer Discretionary,10/09/2020
OMFS,04650Y100,HOME ,"7,806","150,031.32",0.328,At Home Group Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,097793400,BCEI ,"7,314","149,937.00",0.328,Bonanza Creek Energy Inc,Common Stock,Energy,10/09/2020
OMFS,488152208,KELYA ,"8,077","149,828.35",0.328,Kelly Services Inc,Common Stock,Industrials,10/09/2020
OMFS,371532102,GCO ,"6,858","148,750.02",0.325,Genesco Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,G46408103,HUD ,"19,243","147,593.81",0.323,Hudson Ltd,Common Stock,Consumer Discretionary,10/09/2020
OMFS,17306X102,CTRN ,"5,317","146,696.03",0.321,Citi Trends Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,39572G100,GSKY ,"30,042","146,304.54",0.320,GreenSky Inc,Common Stock,Information Technology,10/09/2020
OMFS,44157R109,HMHC ,"51,281","145,125.23",0.317,Houghton Mifflin Harcourt Co,Common Stock,Consumer Discretionary,10/09/2020
OMFS,L9340P101,TSE ,"4,924","144,913.32",0.317,Trinseo SA,Common Stock,Materials,10/09/2020
OMFS,46131B100,IVR ,"51,006","144,857.04",0.317,Invesco Mortgage Capital Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
OMFS,553777103,MTSC ,"6,212","143,497.20",0.314,MTS Systems Corp,Common Stock,Information Technology,10/09/2020
OMFS,23753F107,DSKE ,"22,169","143,211.74",0.313,Daseke Inc,Common Stock,Industrials,10/09/2020
OMFS,880349105,TEN ,"16,161","142,540.02",0.312,Tenneco Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,783332109,RUTH ,"12,411","140,740.74",0.308,Ruth's Hospitality Group Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,88830R101,TITN ,"9,206","140,115.32",0.306,Titan Machinery Inc,Common Stock,Industrials,10/09/2020
OMFS,62482R107,COOP ,"5,787","140,045.40",0.306,Mr Cooper Group Inc,Common Stock,Financials,10/09/2020
OMFS,38741L107,GPMT ,"19,704","139,898.40",0.306,Granite Point Mortgage Trust Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
OMFS,76118Y104,REZI ,"11,438","139,314.84",0.305,Resideo Technologies Inc,Common Stock,Industrials,10/09/2020
OMFS,238337109,PLAY ,"8,612","138,653.20",0.303,Dave & Buster's Entertainment Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,68376D104,OPRT ,"9,414","138,291.66",0.302,Oportun Financial Corp,Common Stock,Financials,10/09/2020
OMFS,516544103,LNTH ,"10,237","137,380.54",0.300,Lantheus Holdings Inc,Common Stock,Health Care,10/09/2020
OMFS,250565108,DBI ,"22,352","137,241.28",0.300,Designer Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,404030108,HEES ,"5,917","135,321.79",0.296,H&E Equipment Services Inc,Common Stock,Industrials,10/09/2020
OMFS,21676P103,CPS ,"8,108","133,782.00",0.292,Cooper-Standard Holding Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,393657101,GBX ,"3,959","133,537.07",0.292,Greenbrier Cos Inc/The,Common Stock,Industrials,10/09/2020
OMFS,30226D106,EXTR ,"28,820","132,860.20",0.290,Extreme Networks Inc,Common Stock,Information Technology,10/09/2020
OMFS,03475V101,ANGO ,"11,343","131,805.66",0.288,AngioDynamics Inc,Common Stock,Health Care,10/09/2020
OMFS,L72967109,OEC ,"8,681","131,517.15",0.288,Orion Engineered Carbons SA,Common Stock,Materials,10/09/2020
OMFS,27875T101,ECHO ,"4,777","131,463.04",0.287,Echo Global Logistics Inc,Common Stock,Industrials,10/09/2020
OMFS,93627C101,HCC ,"7,923","131,284.11",0.287,Warrior Met Coal Inc,Common Stock,Materials,10/09/2020
OMFS,550819106,LDL ,"6,860","129,654.00",0.283,Lydall Inc,Common Stock,Industrials,10/09/2020
OMFS,209034107,CNSL ,"21,979","129,236.52",0.283,Consolidated Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
OMFS,57778K105,MAXR ,"4,485","129,078.30",0.282,Maxar Technologies Inc,Common Stock,Industrials,10/09/2020
OMFS,42704L104,HRI ,"2,793","128,198.70",0.280,Herc Holdings Inc,Common Stock,Industrials,10/09/2020
OMFS,398905109,GPI ,"1,022","127,361.64",0.278,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,419596101,HVT ,"5,293","127,137.86",0.278,Haverty Furniture Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,98400H102,XBIT ,"6,373","125,803.02",0.275,XBiotech Inc,Common Stock,Health Care,10/09/2020
OMFS,45174J509,IHRT ,"15,412","125,299.56",0.274,iHeartMedia Inc,Common Stock,Communication Services,10/09/2020
OMFS,89785X101,TBI ,"7,307","124,803.56",0.273,TrueBlue Inc,Common Stock,Industrials,10/09/2020
OMFS,498904200,KNL ,"9,910","124,766.90",0.273,Knoll Inc,Common Stock,Industrials,10/09/2020
OMFS,65158N102,NMRK ,"24,953","124,515.47",0.272,Newmark Group Inc,Common Stock,Real Estate,10/09/2020
OMFS,860372101,STC ,"2,671","122,812.58",0.268,Stewart Information Services Corp,Common Stock,Financials,10/09/2020
OMFS,896818101,TGI ,"16,977","122,234.40",0.267,Triumph Group Inc,Common Stock,Industrials,10/09/2020
OMFS,00081T108,ACCO ,"18,825","122,174.25",0.267,ACCO Brands Corp,Common Stock,Industrials,10/09/2020
OMFS,18538R103,CLW ,"2,989","120,994.72",0.265,Clearwater Paper Corp,Common Stock,Materials,10/09/2020
OMFS,297602104,ETH ,"7,707","119,381.43",0.261,Ethan Allen Interiors Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,112463104,BKD ,"42,587","119,243.60",0.261,Brookdale Senior Living Inc,Common Stock,Health Care,10/09/2020
OMFS,83545G102,SAH ,"2,866","118,939.00",0.260,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,86722A103,SXC ,"32,919","118,508.40",0.259,SunCoke Energy Inc,Common Stock,Materials,10/09/2020
OMFS,900450206,HEAR ,"5,953","118,167.05",0.258,Turtle Beach Corp,Common Stock,Consumer Discretionary,10/09/2020
OMFS,094235108,BLMN ,"6,738","116,769.54",0.255,Bloomin' Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,037598109,APOG ,"4,580","116,561.00",0.255,Apogee Enterprises Inc,Common Stock,Industrials,10/09/2020
OMFS,14574X104,TAST ,"16,869","115,552.65",0.253,Carrols Restaurant Group Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,068463108,BBSI ,"2,054","114,099.70",0.249,Barrett Business Services Inc,Common Stock,Industrials,10/09/2020
OMFS,401617105,GES ,"8,053","113,305.71",0.248,Guess? Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,868358102,SGC ,"4,502","113,270.32",0.248,Superior Group of Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,233377407,DXPE ,"6,280","112,851.60",0.247,DXP Enterprises Inc/TX,Common Stock,Industrials,10/09/2020
OMFS,683797104,OPY ,"4,563","112,249.80",0.245,Oppenheimer Holdings Inc,Common Stock,Financials,10/09/2020
OMFS,419879101,HA ,"8,109","111,174.39",0.243,Hawaiian Holdings Inc,Common Stock,Industrials,10/09/2020
OMFS,22284P105,CVLG ,"6,200","110,732.00",0.242,Covenant Logistics Group Inc,Common Stock,Industrials,10/09/2020
OMFS,563571405,MTW ,"12,194","110,355.70",0.241,Manitowoc Co Inc/The,Common Stock,Industrials,10/09/2020
OMFS,449172105,HY ,"2,592","110,056.32",0.241,Hyster-Yale Materials Handling Inc,Common Stock,Industrials,10/09/2020
OMFS,817070501,SENEA ,"2,721","109,710.72",0.240,Seneca Foods Corp,Common Stock,Consumer Staples,10/09/2020
OMFS,461203101,IVC ,"13,094","109,465.84",0.239,Invacare Corp,Common Stock,Health Care,10/09/2020
OMFS,G9001E102,LILA ,"9,880","109,174.00",0.239,Liberty Latin America Ltd,Common Stock,Communication Services,10/09/2020
OMFS,806037107,SCSC ,"5,058","108,038.88",0.236,ScanSource Inc,Common Stock,Information Technology,10/09/2020
OMFS,90338N202,USX ,"10,831","107,660.14",0.235,US Xpress Enterprises Inc,Common Stock,Industrials,10/09/2020
OMFS,90346E103,SLCA ,"35,262","107,549.10",0.235,US Silica Holdings Inc,Common Stock,Energy,10/09/2020
OMFS,648691103,SNR ,"24,084","107,414.64",0.235,New Senior Investment Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
OMFS,55345K103,MRC ,"22,821","106,802.28",0.233,MRC Global Inc,Common Stock,Industrials,10/09/2020
OMFS,83125X103,SNBR ,"1,919","106,504.50",0.233,Sleep Number Corp,Common Stock,Consumer Discretionary,10/09/2020
OMFS,415864107,HSC ,"7,044","106,434.84",0.233,Harsco Corp,Common Stock,Industrials,10/09/2020
OMFS,457030104,IMKTA ,"2,759","106,359.45",0.233,Ingles Markets Inc,Common Stock,Consumer Staples,10/09/2020
OMFS,208242107,CONN ,"8,503","106,032.41",0.232,Conn's Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,440407104,HBNC ,"9,014","105,193.38",0.230,Horizon Bancorp Inc/IN,Common Stock,Financials,10/09/2020
OMFS,23204G100,CUBI ,"8,267","104,908.23",0.229,Customers Bancorp Inc,Common Stock,Financials,10/09/2020
OMFS,76133Q102,RVI ,"7,799","104,662.58",0.229,Retail Value Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
OMFS,22948P103,CTO ,"2,206","104,321.74",0.228,CTO Realty Growth Inc,Common Stock,Real Estate,10/09/2020
OMFS,048269203,ACBI ,"7,795","103,361.70",0.226,Atlantic Capital Bancshares Inc,Common Stock,Financials,10/09/2020
OMFS,927107409,VLGEA ,"4,071","102,752.04",0.225,VILLAGE SUPER MARKET,Common Stock,Consumer Staples,10/09/2020
OMFS,74934Q108,RICK ,"4,196","102,424.36",0.224,RCI Hospitality Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,74347M108,PUMP ,"22,729","102,280.50",0.224,ProPetro Holding Corp,Common Stock,Energy,10/09/2020
OMFS,00165C104,AMC ,"25,222","102,149.10",0.223,AMC Entertainment Holdings Inc,Common Stock,Communication Services,10/09/2020
OMFS,576853105,MTRX ,"11,778","102,115.26",0.223,Matrix Service Co,Common Stock,Energy,10/09/2020
OMFS,629337106,NNBR ,"15,907","101,486.66",0.222,NN Inc,Common Stock,Industrials,10/09/2020
OMFS,57637H103,MCFT ,"5,047","100,940.00",0.221,MasterCraft Boat Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,824889109,SCVL ,"2,738","100,867.92",0.221,Shoe Carnival Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,981419104,WRLD ,958,"100,714.54",0.220,World Acceptance Corp,Common Stock,Financials,10/09/2020
OMFS,74930B105,RBB ,"8,046","99,609.48",0.218,RBB Bancorp,Common Stock,Financials,10/09/2020
OMFS,75025X100,RLGT ,"19,050","99,441.00",0.217,Radiant Logistics Inc,Common Stock,Industrials,10/09/2020
OMFS,302301106,EZPW ,"19,505","99,280.45",0.217,EZCORP Inc,Common Stock,Financials,10/09/2020
OMFS,36251C103,GMS ,"3,691","98,844.98",0.216,GMS Inc,Common Stock,Industrials,10/09/2020
OMFS,923454102,VRTV ,"6,263","98,516.99",0.215,Veritiv Corp,Common Stock,Industrials,10/09/2020
OMFS,74164F103,PRIM ,"4,970","98,406.00",0.215,Primoris Services Corp,Common Stock,Industrials,10/09/2020
OMFS,84920Y106,SPWH ,"5,906","98,393.96",0.215,Sportsman's Warehouse Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,847215100,SPTN ,"4,573","98,273.77",0.215,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
OMFS,567908108,HZO ,"3,814","98,248.64",0.215,MarineMax Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,43785V102,HMST ,"3,291","97,907.25",0.214,HomeStreet Inc,Common Stock,Financials,10/09/2020
OMFS,875465106,SKT ,"14,671","96,828.60",0.212,Tanger Factory Outlet Centers Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
OMFS,589433101,MDP ,"7,489","96,308.54",0.211,Meredith Corp,Common Stock,Communication Services,10/09/2020
OMFS,08579X101,BRY ,"28,402","95,430.72",0.209,Berry Corp,Common Stock,Energy,10/09/2020
OMFS,60935Y208,MGI ,"30,146","94,959.90",0.208,MoneyGram International Inc,Common Stock,Information Technology,10/09/2020
OMFS,458665304,TILE ,"13,594","93,798.60",0.205,Interface Inc,Common Stock,Industrials,10/09/2020
OMFS,909214306,UIS ,"8,697","92,970.93",0.203,Unisys Corp,Common Stock,Information Technology,10/09/2020
OMFS,59100U108,CASH ,"4,187","92,323.35",0.202,Meta Financial Group Inc,Common Stock,Financials,10/09/2020
OMFS,848577102,SAVE ,"5,340","92,221.80",0.202,Spirit Airlines Inc,Common Stock,Industrials,10/09/2020
OMFS,03674X106,AR ,"24,845","92,174.95",0.202,Antero Resources Corp,Common Stock,Energy,10/09/2020
OMFS,600551204,MLR ,"2,907","91,512.36",0.200,Miller Industries Inc/TN,Common Stock,Industrials,10/09/2020
OMFS,G6359F137,NBR ,"3,197","90,443.13",0.198,Nabors Industries Ltd,Common Stock,Energy,10/09/2020
OMFS,597742105,MSBI ,"6,314","90,416.48",0.198,Midland States Bancorp Inc,Common Stock,Financials,10/09/2020
OMFS,00181T107,AMRK ,"2,412","89,244.00",0.195,A-Mark Precious Metals Inc,Common Stock,Financials,10/09/2020
OMFS,75689M101,RRGB ,"6,289","89,178.02",0.195,Red Robin Gourmet Burgers Inc,Common Stock,Consumer Discretionary,10/09/2020
OMFS,427825500,HT ,"15,948","88,670.88",0.194,Hersha Hospitality Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
OMFS,046433108,ATRO ,"10,739","88,489.36",0.193,Astronics Corp,Common Stock,Industrials,10/09/2020
OMFS,257559203,UFS ,"3,195","88,277.85",0.193,Domtar Corp,Common Stock,Materials,10/09/2020
OMFS,576485205,MTDR ,"9,597","87,716.58",0.192,Matador Resources Co,Common Stock,Energy,10/09/2020
