Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBD,47759T100,JKS ,"53,891","3,386,510.44",2.716,JinkoSolar Holding Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PBD,53680Q207,LAC ,"150,811","2,177,710.84",1.746,Lithium Americas Corp,Common Stock,Materials,10/09/2020
PBD,23703Q203,DQ ,"10,530","2,069,460.90",1.660,Daqo New Energy Corp ADR,American Depository Receipt,Information Technology,10/09/2020
PBD,867652406,SPWR ,"112,056","1,953,136.08",1.566,SunPower Corp,Common Stock,Information Technology,10/09/2020
PBD,29355A107,ENPH ,"17,689","1,931,285.02",1.549,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PBD,093712107,BE ,"84,024","1,925,830.08",1.544,Bloom Energy Corp,Common Stock,Industrials,10/09/2020
PBD,83417M104,SEDG ,"6,269","1,914,239.15",1.535,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
PBD,72919P202,PLUG ,"100,438","1,851,072.34",1.484,Plug Power Inc,Common Stock,Industrials,10/09/2020
PBD,75972A301,REGI ,"28,324","1,792,059.48",1.437,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
PBD,6536651,1211 HK,"110,420","1,743,912.36",1.399,BYD Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
PBD,BGQYNN1,968 HK,"983,669","1,733,784.75",1.390,Xinyi Solar Holdings Ltd,Common Stock,Information Technology,10/09/2020
PBD,BGSN864,3868 HK,"3,154,220","1,709,372.71",1.371,Xinyi Energy Holdings Ltd,Common Stock,Utilities,10/09/2020
PBD,136635109,CSIQ ,"40,786","1,697,513.32",1.361,Canadian Solar Inc,Common Stock,Information Technology,10/09/2020
PBD,BG5KQW0,CWR LN,"181,757","1,653,734.52",1.326,Ceres Power Holdings PLC,Common Stock,Industrials,10/09/2020
PBD,B058XM1,XBC ,"404,852","1,630,566.13",1.308,Xebec Adsorption Inc,Common Stock,Industrials,10/09/2020
PBD,B1YVKJ4,SLR ,"72,103","1,624,497.84",1.303,Solaria Energia y Medio Ambiente SA,Common Stock,Utilities,10/09/2020
PBD,2072717,BLDP ,"85,097","1,599,638.30",1.283,Ballard Power Systems Inc,Common Stock,Industrials,10/09/2020
PBD,87266J104,TPIC ,"44,993","1,598,601.29",1.282,TPI Composites Inc,Common Stock,Industrials,10/09/2020
PBD,02361E108,AMRC ,"41,984","1,586,155.52",1.272,Ameresco Inc,Common Stock,Industrials,10/09/2020
PBD,BQSSWW3,SSO ,"61,727","1,568,025.10",1.257,Scatec Solar ASA,Common Stock,Utilities,10/09/2020
PBD,5491966,CAP ,"71,505","1,551,044.28",1.244,Encavis AG,Common Stock,Utilities,10/09/2020
PBD,2099084,BLX ,"47,772","1,535,963.73",1.232,Boralex Inc,Common Stock,Utilities,10/09/2020
PBD,686688102,ORA ,"20,985","1,520,782.95",1.220,Ormat Technologies Inc,Common Stock,Utilities,10/09/2020
PBD,86771W105,RUN ,"20,812","1,486,601.16",1.192,Sunrun Inc,Common Stock,Industrials,10/09/2020
PBD,91347P105,OLED ,"7,302","1,476,464.40",1.184,Universal Display Corp,Common Stock,Information Technology,10/09/2020
PBD,B0130H4,ITM LN,"391,079","1,466,516.39",1.176,ITM Power PLC,Common Stock,Industrials,10/09/2020
PBD,B1FQQK1,VBK ,"64,712","1,463,328.62",1.174,VERBIO Vereinigte BioEnergie AG,Common Stock,Energy,10/09/2020
PBD,B06CF71,NDX1 ,"91,468","1,458,874.93",1.170,Nordex SE,Common Stock,Industrials,10/09/2020
PBD,B29TNV3,INE ,"73,710","1,458,542.69",1.170,Innergex Renewable Energy Inc,Common Stock,Utilities,10/09/2020
PBD,BYY7VY5,LIGHT ,"35,088","1,455,888.89",1.168,Signify NV,Common Stock,Industrials,10/09/2020
PBD,86745K104,NOVA ,"49,210","1,444,805.60",1.159,Sunnova Energy International Inc,Common Stock,Utilities,10/09/2020
PBD,465741106,ITRI ,"21,380","1,443,577.60",1.158,Itron Inc,Common Stock,Information Technology,10/09/2020
PBD,V0393H103,AZRE ,"46,387","1,439,388.61",1.154,Azure Power Global Ltd,Common Stock,Utilities,10/09/2020
PBD,B3B20H2,S92 ,"27,819","1,431,675.18",1.148,SMA Solar Technology AG,Common Stock,Information Technology,10/09/2020
PBD,BYT16L4,ORSTED DC,"8,999","1,428,582.77",1.146,Orsted A/S,Common Stock,Utilities,10/09/2020
PBD,35952H601,FCEL ,"543,915","1,425,057.30",1.143,FuelCell Energy Inc,Common Stock,Industrials,10/09/2020
PBD,B0YQ5X1,1407 JP,"46,840","1,423,088.35",1.141,West Holdings Corp,Common Stock,Utilities,10/09/2020
PBD,4661607,VER AV,"23,133","1,421,184.33",1.140,Verbund AG,Common Stock,Utilities,10/09/2020
PBD,922417100,VECO ,"111,446","1,412,020.82",1.132,Veeco Instruments Inc,Common Stock,Information Technology,10/09/2020
PBD,5964651,VWS DC,"8,159","1,411,804.58",1.132,Vestas Wind Systems A/S,Common Stock,Industrials,10/09/2020
PBD,62914V106,NIO ,"65,637","1,409,226.39",1.130,NIO Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PBD,BCZLSL8,RNW ,"103,742","1,406,711.35",1.128,TransAlta Renewables Inc,Common Stock,Utilities,10/09/2020
PBD,Y58473102,MAXN ,"69,012","1,386,451.08",1.112,Maxeon Solar Technologies Ltd,Common Stock,Information Technology,10/09/2020
PBD,BYZSBH0,EOLUB SS,"72,752","1,386,438.21",1.112,Eolus Vind AB,Common Stock,Industrials,10/09/2020
PBD,B59GZJ7,2208 HK,"1,374,674","1,376,438.89",1.104,Xinjiang Goldwind Science & Technology Co Ltd,Common Stock,Industrials,10/09/2020
PBD,B01CP21,SGRE ,"46,598","1,375,228.36",1.103,Siemens Gamesa Renewable Energy SA,Common Stock,Industrials,10/09/2020
PBD,B0QCZ26,PNE3 ,"193,898","1,372,193.20",1.100,PNE AG,Common Stock,Industrials,10/09/2020
PBD,225447101,CREE ,"19,623","1,364,583.42",1.094,Cree Inc,Common Stock,Information Technology,10/09/2020
PBD,BSPBZK8,112610 KS,"12,989","1,362,817.26",1.093,CS Wind Corp,Common Stock,Industrials,10/09/2020
PBD,41068X100,HASI ,"29,662","1,359,112.84",1.090,Hannon Armstrong Sustainable Infrastructure Capital Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
PBD,BGV7F95,NEOEN FP,"23,372","1,355,790.17",1.087,Neoen SA,Common Stock,Utilities,10/09/2020
PBD,336433107,FSLR ,"17,200","1,355,532.00",1.087,First Solar Inc,Common Stock,Information Technology,10/09/2020
PBD,BSZM2N3,9517 JP,"120,258","1,351,060.02",1.083,eRex Co Ltd,Common Stock,Utilities,10/09/2020
PBD,4491235,KSP ,"14,758","1,333,840.96",1.070,Kingspan Group PLC,Common Stock,Industrials,10/09/2020
PBD,BD71KT5,9519 JP,"107,466","1,331,437.17",1.068,RENOVA Inc,Common Stock,Utilities,10/09/2020
PBD,BWFD052,MEL ,"369,985","1,330,414.25",1.067,Meridian Energy Ltd,Common Stock,Utilities,10/09/2020
PBD,BBP6J80,CAV1V FH,"175,495","1,326,966.11",1.064,Caverion Oyj,Common Stock,Industrials,10/09/2020
PBD,5703791,GUR SW,600,"1,319,513.00",1.058,Gurit Holding AG,Common Stock,Materials,10/09/2020
PBD,B39GNW2,EDPR ,"73,641","1,317,227.11",1.056,EDP Renovaveis SA,Common Stock,Utilities,10/09/2020
PBD,039653100,ACA ,"28,160","1,317,043.20",1.056,Arcosa Inc,Common Stock,Industrials,10/09/2020
PBD,833635105,SQM ,"36,816","1,308,440.64",1.049,Sociedad Quimica y Minera de Chile SA ADR,American Depository Receipt,Materials,10/09/2020
PBD,BYYT1T6,NIBEB SS,"48,163","1,297,037.58",1.040,Nibe Industrier AB,Common Stock,Industrials,10/09/2020
PBD,BD6CCV5,TLT ,"503,135","1,289,894.73",1.034,Tilt Renewables Ltd,Common Stock,Utilities,10/09/2020
PBD,6771645,006400 KS,"3,338","1,288,020.81",1.033,Samsung SDI Co Ltd,Common Stock,Information Technology,10/09/2020
PBD,BKF1Y61,MCPHY FP,"41,007","1,286,286.27",1.032,McPhy Energy SA,Common Stock,Industrials,10/09/2020
PBD,B1W4V69,PRY ,"42,071","1,281,885.65",1.028,Prysmian SpA,Common Stock,Industrials,10/09/2020
PBD,BTHH8L3,PCELL SS,"46,843","1,265,220.40",1.015,PowerCell Sweden AB,Common Stock,Industrials,10/09/2020
PBD,B02NR83,NEL ,"589,363","1,263,166.68",1.013,NEL ASA,Common Stock,Industrials,10/09/2020
PBD,B8SC6K5,UKW LN,"717,472","1,262,700.14",1.013,Greencoat UK Wind PLC/Funds,"Mutual Fund, Closed-End			     ",Utilities,10/09/2020
PBD,BBHX2H9,TRIG LN,"711,057","1,262,500.97",1.012,Renewables Infrastructure Group Ltd/The,"Mutual Fund, Closed-End			     ",Utilities,10/09/2020
PBD,B65SFC7,GREEN SW,"7,471","1,260,326.64",1.011,Credit Suisse Real Estate Fund Green Property,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PBD,6094922,2393 TT,"949,000","1,260,305.34",1.011,Everlight Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
PBD,B8W6K56,MCY ,"352,874","1,259,486.34",1.010,Mercury NZ Ltd,Common Stock,Utilities,10/09/2020
PBD,6744250,6674 JP,"69,078","1,258,578.87",1.009,GS Yuasa Corp,Common Stock,Industrials,10/09/2020
PBD,B1FHFF2,CE2 ,"79,524","1,255,219.81",1.007,CropEnergies AG,Common Stock,Energy,10/09/2020
