Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBDM,7123870,NESN SW,426,"50,772.36",2.119,Nestle SA,Common Stock,Consumer Staples,10/09/2020
PBDM,7110388,ROG SW,106,"37,298.23",1.557,Roche Holding AG,Common Stock,Health Care,10/09/2020
PBDM,6771720,005930 KS,718,"37,168.52",1.551,Samsung Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
PBDM,7103065,NOVN SW,328,"29,018.84",1.211,Novartis AG,Common Stock,Health Care,10/09/2020
PBDM,4846288,SAP ,171,"26,881.82",1.122,SAP SE,Common Stock,Information Technology,10/09/2020
PBDM,6900643,7203 JP,377,"24,859.77",1.038,Toyota Motor Corp,Common Stock,Consumer Discretionary,10/09/2020
PBDM,B929F46,ASML ,61,"23,645.65",0.987,ASML Holding NV,Common Stock,Information Technology,10/09/2020
PBDM,0989529,AZN LN,201,"22,008.53",0.919,AstraZeneca PLC,Common Stock,Health Care,10/09/2020
PBDM,B4TX8S1,1299 HK,"1,859","19,105.60",0.797,AIA Group Ltd,Common Stock,Financials,10/09/2020
PBDM,4061412,MC FP,38,"18,492.28",0.772,LVMH Moet Hennessy Louis Vuitton SE,Common Stock,Consumer Discretionary,10/09/2020
PBDM,BHC8X90,NOVOB DC,248,"17,866.00",0.746,Novo Nordisk A/S,Common Stock,Health Care,10/09/2020
PBDM,5671735,SAN FP,166,"16,927.17",0.707,Sanofi,Common Stock,Health Care,10/09/2020
PBDM,5727973,SIE ,117,"15,420.89",0.644,Siemens AG,Common Stock,Industrials,10/09/2020
PBDM,6770620,9984 JP,225,"14,900.62",0.622,SoftBank Group Corp,Common Stock,Communication Services,10/09/2020
PBDM,6185495,CSL ,69,"14,727.54",0.615,CSL Ltd,Common Stock,Health Care,10/09/2020
PBDM,0925288,GSK LN,756,"14,220.89",0.594,GlaxoSmithKline PLC,Common Stock,Health Care,10/09/2020
PBDM,6821506,6758 JP,188,"13,989.46",0.584,Sony Corp,Common Stock,Consumer Discretionary,10/09/2020
PBDM,B1527V7,UNA ,223,"13,884.51",0.580,Unilever NV,Common Stock,Consumer Staples,10/09/2020
PBDM,6215035,CBA ,272,"13,310.98",0.556,Commonwealth Bank of Australia,Common Stock,Financials,10/09/2020
PBDM,B15C557,FP FP,371,"13,127.62",0.548,TOTAL SE,Common Stock,Energy,10/09/2020
PBDM,6490995,6861 JP,27,"12,654.77",0.528,Keyence Corp,Common Stock,Information Technology,10/09/2020
PBDM,0540528,HSBA LN,"3,126","12,571.46",0.525,HSBC Holdings PLC,Common Stock,Financials,10/09/2020
PBDM,5231485,ALV ,63,"12,514.88",0.522,Allianz SE,Common Stock,Financials,10/09/2020
PBDM,0237400,DGE LN,352,"12,348.73",0.515,Diageo PLC,Common Stock,Consumer Staples,10/09/2020
PBDM,4057808,OR FP,37,"12,344.73",0.515,L'Oreal SA,Common Stock,Consumer Staples,10/09/2020
PBDM,0287580,BATS LN,350,"12,328.61",0.515,British American Tobacco PLC,Common Stock,Consumer Staples,10/09/2020
PBDM,6144690,BHP ,452,"11,950.07",0.499,BHP Group Ltd,Common Stock,Materials,10/09/2020
PBDM,B288C92,IBE ,908,"11,585.76",0.484,Iberdrola SA,Common Stock,Utilities,10/09/2020
PBDM,B1YXBJ7,AI FP,71,"11,202.56",0.468,Air Liquide SA,Common Stock,Materials,10/09/2020
PBDM,7144569,ENEL ,"1,193","10,604.84",0.443,Enel SpA,Common Stock,Utilities,10/09/2020
PBDM,B10RZP7,ULVR LN,167,"10,521.22",0.439,Unilever PLC,Common Stock,Consumer Staples,10/09/2020
PBDM,0718875,RIO LN,167,"10,420.29",0.435,Rio Tinto PLC,Common Stock,Materials,10/09/2020
PBDM,4834108,SU FP,80,"10,264.43",0.428,Schneider Electric SE,Common Stock,Industrials,10/09/2020
PBDM,4031976,ADS ,29,"9,679.02",0.404,adidas AG,Common Stock,Consumer Discretionary,10/09/2020
PBDM,6267359,388 HK,194,"9,311.94",0.389,Hong Kong Exchanges & Clearing Ltd,Common Stock,Financials,10/09/2020
PBDM,B24CGK7,RB/ LN,96,"9,261.23",0.387,Reckitt Benckiser Group PLC,Common Stock,Consumer Staples,10/09/2020
PBDM,5086577,BAS ,140,"9,103.78",0.380,BASF SE,Common Stock,Materials,10/09/2020
PBDM,6639550,7974 JP,16,"8,802.99",0.367,Nintendo Co Ltd,Common Stock,Communication Services,10/09/2020
PBDM,0798059,BP/ LN,"3,043","8,784.70",0.367,BP PLC,Common Stock,Energy,10/09/2020
PBDM,5842359,DTE ,495,"8,418.45",0.351,Deutsche Telekom AG,Common Stock,Communication Services,10/09/2020
PBDM,5069211,BAYN ,151,"8,336.58",0.348,Bayer AG,Common Stock,Health Care,10/09/2020
PBDM,B03MLX2,RDSA LN,630,"8,323.04",0.347,Royal Dutch Shell PLC,Common Stock,Energy,10/09/2020
