Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBE,69404D108,PACB ,"962,497","12,993,709.50",5.410,Pacific Biosciences of California Inc,Common Stock,Health Care,10/09/2020
PBE,N72482123,QGEN ,"221,713","12,136,569.62",5.053,QIAGEN NV,Common Stock,Health Care,10/09/2020
PBE,09062X103,BIIB ,"39,934","11,442,688.36",4.764,Biogen Inc,Common Stock,Health Care,10/09/2020
PBE,92532F100,VRTX ,"40,651","10,973,737.45",4.569,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PBE,75886F107,REGN ,"18,134","10,917,937.38",4.546,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PBE,375558103,GILD ,"170,131","10,861,163.04",4.522,Gilead Sciences Inc,Common Stock,Health Care,10/09/2020
PBE,452327109,ILMN ,"31,762","10,768,588.48",4.484,Illumina Inc,Common Stock,Health Care,10/09/2020
PBE,031162100,AMGN ,"44,113","10,441,547.10",4.347,Amgen Inc,Common Stock,Health Care,10/09/2020
PBE,64125C109,NBIX ,"97,680","10,199,745.60",4.247,Neurocrine Biosciences Inc,Common Stock,Health Care,10/09/2020
PBE,14167L103,CDNA ,"178,229","9,616,345.70",4.004,CareDx Inc,Common Stock,Health Care,10/09/2020
PBE,68375N103,OPK ,"1,837,758","8,490,441.96",3.535,OPKO Health Inc,Common Stock,Health Care,10/09/2020
PBE,31189P102,FATE ,"175,555","8,428,395.55",3.509,Fate Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,457669307,INSM ,"220,558","7,951,115.90",3.310,Insmed Inc,Common Stock,Health Care,10/09/2020
PBE,45826J105,NTLA ,"297,166","7,818,437.46",3.255,Intellia Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,00434H108,XLRN ,"64,227","7,641,728.46",3.182,Acceleron Pharma Inc,Common Stock,Health Care,10/09/2020
PBE,31572Q808,FGEN ,"145,144","7,085,930.08",2.950,FibroGen Inc,Common Stock,Health Care,10/09/2020
PBE,253031108,DRNA ,"336,821","6,696,001.48",2.788,Dicerna Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PBE,H17182108,CRSP ,"68,028","6,684,431.28",2.783,CRISPR Therapeutics AG,Common Stock,Health Care,10/09/2020
PBE,30161Q104,EXEL ,"279,420","6,680,932.20",2.782,Exelixis Inc,Common Stock,Health Care,10/09/2020
PBE,03152W109,FOLD ,"423,606","6,402,804.69",2.666,Amicus Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,G01767105,ALKS ,"375,724","6,334,706.64",2.637,Alkermes PLC,Common Stock,Health Care,10/09/2020
PBE,46333X108,IRWD ,"595,787","6,249,805.63",2.602,Ironwood Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PBE,40637H109,HALO ,"218,812","6,247,082.60",2.601,Halozyme Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,800677106,SGMO ,"563,760","6,105,520.80",2.542,Sangamo Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,91307C102,UTHR ,"57,566","5,987,439.66",2.493,United Therapeutics Corp,Common Stock,Health Care,10/09/2020
PBE,19249H103,CHRS ,"320,664","5,967,557.04",2.485,Coherus Biosciences Inc,Common Stock,Health Care,10/09/2020
PBE,640268108,NKTR ,"317,318","5,670,472.66",2.361,Nektar Therapeutics,Common Stock,Health Care,10/09/2020
PBE,34385P108,FLDM ,"724,164","5,655,720.84",2.355,Fluidigm Corp,Common Stock,Health Care,10/09/2020
PBE,29089Q105,EBS ,"51,390","5,627,718.90",2.343,Emergent BioSolutions Inc,Common Stock,Health Care,10/09/2020
PBE,00972D105,AKBA ,"597,542","1,858,355.62",0.774,Akebia Therapeutics Inc,Common Stock,Health Care,10/09/2020
PBE,825252885,AGPXX ,"244,048","244,048.04",0.102,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
