Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBEE,01609W102,BABA ,757,"226,903.18",9.050,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PBEE,BMMV2K8,700 HK,"2,491","173,404.62",6.916,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
PBEE,6889106,2330 TT,"10,166","160,521.38",6.402,Taiwan Semiconductor Manufacturing Co Ltd,Common Stock,Information Technology,10/09/2020
PBEE,46137R109,PIN ,"5,683","116,201.44",4.634,Invesco India Exchange-Traded Fund Trust,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PBEE,BGJW376,3690 HK,"1,525","53,128.69",2.119,Meituan Dianping,Common Stock,Consumer Discretionary,10/09/2020
PBEE,46429B598,INDA ,"1,120","39,855.20",1.590,iShares MSCI India ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PBEE,6622691,NPN ,176,"32,725.37",1.305,Naspers Ltd,Common Stock,Consumer Discretionary,10/09/2020
PBEE,47215P106,JD ,349,"27,846.71",1.111,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PBEE,759470107,RIGD ,456,"27,816.00",1.109,Reliance Industries Ltd GDR,Global Depository Receipt			     ,Energy,10/09/2020
PBEE,B0LMTQ3,939 HK,"41,610","26,952.37",1.075,China Construction Bank Corp,Common Stock,Financials,10/09/2020
PBEE,B01FLR7,2318 HK,"2,439","25,428.38",1.014,Ping An Insurance Group Co of China Ltd,Common Stock,Financials,10/09/2020
PBEE,B1G1QD8,1398 HK,"34,411","17,804.80",0.710,Industrial & Commercial Bank of China Ltd,Common Stock,Financials,10/09/2020
PBEE,056752108,BIDU ,122,"15,431.78",0.615,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PBEE,2196286,VALE3 ,"1,376","15,334.11",0.612,Vale SA,Common Stock,Materials,10/09/2020
PBEE,6372480,2454 TT,652,"15,226.74",0.607,MediaTek Inc,Common Stock,Information Technology,10/09/2020
PBEE,6073556,941 HK,"2,320","14,952.68",0.596,China Mobile Ltd,Common Stock,Communication Services,10/09/2020
