Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBJ,115637209,BF/B ,"51,014","4,000,517.88",5.429,Brown-Forman Corp,Common Stock,Consumer Staples,10/09/2020
PBJ,713448108,PEP ,"26,871","3,720,021.24",5.048,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,609207105,MDLZ ,"63,976","3,665,824.80",4.975,Mondelez International Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,427866108,HSY ,"25,010","3,642,206.30",4.943,Hershey Co/The,Common Stock,Consumer Staples,10/09/2020
PBJ,49271V100,KDP ,"124,254","3,634,429.50",4.932,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,61174X109,MNST ,"44,624","3,612,312.80",4.902,Monster Beverage Corp,Common Stock,Consumer Staples,10/09/2020
PBJ,370334104,GIS ,"57,471","3,555,730.77",4.825,General Mills Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,500754106,KHC ,"106,989","3,328,427.79",4.517,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
PBJ,237266101,DAR ,"62,205","2,634,381.75",3.575,Darling Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,405217100,HAIN ,"62,705","2,247,347.20",3.050,Hain Celestial Group Inc/The,Common Stock,Consumer Staples,10/09/2020
PBJ,039483102,ADM ,"45,360","2,221,279.20",3.014,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
PBJ,39874R101,GO ,"48,552","2,101,816.08",2.852,Grocery Outlet Holding Corp,Common Stock,Consumer Staples,10/09/2020
PBJ,G4412G101,HLF ,"40,831","2,096,671.85",2.845,Herbalife Nutrition Ltd,Common Stock,Consumer Staples,10/09/2020
PBJ,847215100,SPTN ,"97,524","2,095,790.76",2.844,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
PBJ,100557107,SAM ,"2,281","2,094,391.39",2.842,Boston Beer Co Inc/The,Common Stock,Consumer Staples,10/09/2020
PBJ,G6564A105,NOMD ,"81,630","2,088,095.40",2.834,Nomad Foods Ltd,Common Stock,Consumer Staples,10/09/2020
PBJ,948849104,WMK ,"40,897","2,077,567.60",2.819,"WEIS MARKETS, INC.",Common Stock,Consumer Staples,10/09/2020
PBJ,G36738105,FDP ,"84,946","1,997,929.92",2.711,Fresh Del Monte Produce Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,635017106,FIZZ ,"25,190","1,997,818.90",2.711,National Beverage Corp,Common Stock,Consumer Staples,10/09/2020
PBJ,832696405,SJM ,"16,776","1,990,975.68",2.702,J M Smucker Co/The,Common Stock,Consumer Staples,10/09/2020
PBJ,013091103,ACI ,"138,370","1,973,156.20",2.678,Albertsons Cos Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,205887102,CAG ,"52,322","1,952,657.04",2.650,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,501044101,KR ,"56,098","1,932,576.10",2.623,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
PBJ,487836108,K ,"28,790","1,895,821.50",2.573,Kellogg Co,Common Stock,Consumer Staples,10/09/2020
PBJ,457030104,IMKTA ,"48,962","1,887,485.10",2.561,Ingles Markets Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,05508R106,BGS ,"64,664","1,857,796.72",2.521,B&G Foods Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,134429109,CPB ,"38,065","1,845,010.55",2.504,Campbell Soup Co,Common Stock,Consumer Staples,10/09/2020
PBJ,911163103,UNFI ,"107,613","1,835,877.78",2.491,United Natural Foods Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,85208M102,SFM ,"82,644","1,800,812.76",2.444,Sprouts Farmers Market Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,191098102,COKE ,"7,371","1,785,919.59",2.424,Coca-Cola Consolidated Inc,Common Stock,Consumer Staples,10/09/2020
PBJ,825252885,AGPXX ,"117,444","117,443.77",0.159,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PBJ,CASHUSD00,-CASH-,124,123.93,0.000,Cash/Receivables/Payables,Currency,Cash,10/09/2020
