Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBP,037833100,AAPL ,"99,141","11,596,522.77",6.798,Apple Inc,Common Stock,Information Technology,10/09/2020
PBP,594918104,MSFT ,"46,669","10,071,636.89",5.904,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PBP,023135106,AMZN ,"2,625","8,627,456.25",5.057,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PBP,30303M102,FB ,"14,826","3,920,735.70",2.298,Facebook Inc,Common Stock,Communication Services,10/09/2020
PBP,02079K305,GOOGL ,"1,852","2,797,353.40",1.640,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PBP,02079K107,GOOG ,"1,811","2,744,063.42",1.609,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PBP,084670702,BRK/B ,"12,223","2,636,256.64",1.545,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
PBP,478160104,JNJ ,"16,235","2,450,997.95",1.437,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PBP,742718109,PG ,"15,352","2,194,107.84",1.286,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
PBP,92826C839,V ,"10,399","2,148,849.36",1.260,Visa Inc,Common Stock,Information Technology,10/09/2020
PBP,67066G104,NVDA ,"3,804","2,094,140.04",1.228,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PBP,91324P102,UNH ,"5,862","1,921,798.08",1.127,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PBP,57636Q104,MA ,"5,448","1,919,820.72",1.125,Mastercard Inc,Common Stock,Information Technology,10/09/2020
PBP,46625H100,JPM ,"18,795","1,902,054.00",1.115,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
PBP,437076102,HD ,"6,638","1,897,936.96",1.113,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PBP,92343V104,VZ ,"25,518","1,513,982.94",0.888,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PBP,79466L302,CRM ,"5,612","1,492,679.76",0.875,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
PBP,00724F101,ADBE ,"2,957","1,484,887.12",0.870,Adobe Inc,Common Stock,Information Technology,10/09/2020
PBP,64110L106,NFLX ,"2,718","1,466,197.92",0.859,Netflix Inc,Common Stock,Communication Services,10/09/2020
PBP,70450Y103,PYPL ,"7,236","1,427,445.72",0.837,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
PBP,254687106,DIS ,"11,142","1,392,527.16",0.816,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
PBP,458140100,INTC ,"26,227","1,385,310.14",0.812,Intel Corp,Common Stock,Information Technology,10/09/2020
PBP,20030N101,CMCSA ,"28,112","1,260,823.20",0.739,Comcast Corp,Common Stock,Communication Services,10/09/2020
PBP,717081103,PFE ,"34,269","1,260,756.51",0.739,Pfizer Inc,Common Stock,Health Care,10/09/2020
PBP,58933Y105,MRK ,"15,598","1,253,455.28",0.735,Merck & Co Inc,Common Stock,Health Care,10/09/2020
PBP,00206R102,T ,"43,940","1,244,380.80",0.729,AT&T Inc,Common Stock,Communication Services,10/09/2020
PBP,931142103,WMT ,"8,563","1,222,625.14",0.717,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
PBP,191216100,KO ,"23,842","1,211,412.02",0.710,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
PBP,002824100,ABT ,"10,920","1,197,378.00",0.702,Abbott Laboratories,Common Stock,Health Care,10/09/2020
PBP,060505104,BAC ,"47,019","1,192,401.84",0.699,Bank of America Corp,Common Stock,Financials,10/09/2020
PBP,713448108,PEP ,"8,538","1,182,000.72",0.693,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
PBP,883556102,TMO ,"2,438","1,132,938.60",0.664,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
PBP,17275R102,CSCO ,"26,108","1,040,403.80",0.610,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
PBP,580135101,MCD ,"4,589","1,031,744.87",0.605,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
PBP,654106103,NKE ,"7,677","1,005,533.46",0.589,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
PBP,22160K105,COST ,"2,721","1,005,300.66",0.589,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
PBP,00287Y109,ABBV ,"10,884","954,526.80",0.560,AbbVie Inc,Common Stock,Health Care,10/09/2020
PBP,11135F101,AVGO ,"2,480","934,216.00",0.548,Broadcom Inc,Common Stock,Information Technology,10/09/2020
PBP,65339F101,NEE ,"3,020","914,788.20",0.536,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
PBP,30231G102,XOM ,"26,075","905,845.50",0.531,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
PBP,G5960L103,MDT ,"8,290","900,957.20",0.528,Medtronic PLC,Common Stock,Health Care,10/09/2020
PBP,G1151C101,ACN ,"3,925","897,608.25",0.526,Accenture PLC,Common Stock,Information Technology,10/09/2020
PBP,235851102,DHR ,"3,894","880,277.64",0.516,Danaher Corp,Common Stock,Health Care,10/09/2020
PBP,166764100,CVX ,"11,871","878,454.00",0.515,Chevron Corp,Common Stock,Energy,10/09/2020
PBP,747525103,QCOM ,"6,957","868,720.59",0.509,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
PBP,907818108,UNP ,"4,186","861,395.08",0.505,Union Pacific Corp,Common Stock,Industrials,10/09/2020
PBP,110122108,BMY ,"13,901","859,359.82",0.504,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
