Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBS,90184L102,TWTR ,"45,311","2,079,774.90",5.559,Twitter Inc,Common Stock,Communication Services,10/09/2020
PBS,64110L106,NFLX ,"3,477","1,875,632.88",5.013,Netflix Inc,Common Stock,Communication Services,10/09/2020
PBS,57667L107,MTCH ,"16,410","1,844,155.80",4.929,Match Group Inc,Common Stock,Communication Services,10/09/2020
PBS,G47567105,INFO ,"22,809","1,794,612.12",4.797,IHS Markit Ltd,Common Stock,Industrials,10/09/2020
PBS,254687106,DIS ,"13,685","1,710,351.30",4.571,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
PBS,02079K305,GOOGL ,"1,124","1,697,745.80",4.538,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PBS,L8681T102,SPOT ,"6,729","1,682,250.00",4.496,Spotify Technology SA,Common Stock,Communication Services,10/09/2020
PBS,30303M102,FB ,"6,242","1,650,696.90",4.412,Facebook Inc,Common Stock,Communication Services,10/09/2020
PBS,M4R82T106,FVRR ,"8,770","1,416,793.50",3.787,Fiverr International Ltd,Common Stock,Consumer Discretionary,10/09/2020
PBS,74874Q100,QNST ,"75,056","1,290,212.64",3.448,QuinStreet Inc,Common Stock,Communication Services,10/09/2020
PBS,72352L106,PINS ,"28,943","1,255,836.77",3.357,Pinterest Inc,Common Stock,Communication Services,10/09/2020
PBS,87874R100,TTGT ,"25,266","1,249,151.04",3.339,TechTarget Inc,Common Stock,Communication Services,10/09/2020
PBS,74915M100,QRTEA ,"157,496","1,222,168.96",3.267,Qurate Retail Inc,Common Stock,Consumer Discretionary,10/09/2020
PBS,98954M200,Z ,"11,711","1,220,988.86",3.263,Zillow Group Inc,Common Stock,Communication Services,10/09/2020
PBS,35137L105,FOXA ,"36,208","1,056,911.52",2.825,Fox Corp,Common Stock,Communication Services,10/09/2020
PBS,30041R108,EVER ,"27,141","1,051,442.34",2.810,EverQuote Inc,Common Stock,Communication Services,10/09/2020
PBS,G81477104,SINA ,"24,642","1,048,763.52",2.803,SINA Corp/China,Common Stock,Communication Services,10/09/2020
PBS,92556H206,VIAC ,"35,311","1,021,017.57",2.729,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
PBS,650111107,NYT ,"23,017","1,008,835.11",2.696,New York Times Co/The,Common Stock,Communication Services,10/09/2020
PBS,460690100,IPG ,"54,252","996,066.72",2.662,Interpublic Group of Cos Inc/The,Common Stock,Communication Services,10/09/2020
PBS,82968B103,SIRI ,"169,194","988,092.96",2.641,Sirius XM Holdings Inc,Common Stock,Communication Services,10/09/2020
PBS,25470F104,DISCA ,"43,668","971,176.32",2.596,Discovery Inc,Common Stock,Communication Services,10/09/2020
PBS,681919106,OMC ,"18,163","953,012.61",2.547,Omnicom Group Inc,Common Stock,Communication Services,10/09/2020
PBS,65249B109,NWSA ,"66,285","944,229.83",2.524,News Corp,Common Stock,Communication Services,10/09/2020
PBS,00164V103,AMCX ,"39,676","942,305.00",2.519,AMC Networks Inc,Common Stock,Communication Services,10/09/2020
PBS,N97284108,YNDX ,"15,455","941,673.15",2.517,Yandex NV,Common Stock,Communication Services,10/09/2020
PBS,535919401,LGF/A ,"104,748","925,972.32",2.475,Lions Gate Entertainment Corp,Common Stock,Communication Services,10/09/2020
PBS,389375106,GTN ,"63,100","857,529.00",2.292,Gray Television Inc,Common Stock,Communication Services,10/09/2020
PBS,00183L102,ANGI ,"72,706","822,304.86",2.198,ANGI Homeservices Inc,Common Stock,Communication Services,10/09/2020
PBS,25470M109,DISH ,"28,760","786,010.80",2.101,DISH Network Corp,Common Stock,Communication Services,10/09/2020
PBS,825252885,AGPXX ,"108,894","108,893.67",0.291,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PBS,CASHUSD00,-CASH-,20,20.13,0.000,Cash/Receivables/Payables,Currency,Cash,10/09/2020
