Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBSM,29786A106,ETSY ,142,"20,827.14",0.491,Etsy Inc,Common Stock,Consumer Discretionary,10/09/2020
PBSM,452907108,IMMU ,233,"20,038.00",0.472,Immunomedics Inc,Common Stock,Health Care,10/09/2020
PBSM,G46188101,HZNP ,225,"18,987.75",0.447,Horizon Therapeutics Plc,Common Stock,Health Care,10/09/2020
PBSM,83417M104,SEDG ,59,"18,015.65",0.424,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
PBSM,73278L105,POOL ,48,"16,634.40",0.392,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
PBSM,609839105,MPWR ,51,"16,088.46",0.379,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
PBSM,146869102,CVNA ,75,"16,008.75",0.377,Carvana Co,Common Stock,Consumer Discretionary,10/09/2020
PBSM,443573100,HUBS ,49,"15,756.93",0.371,HubSpot Inc,Common Stock,Information Technology,10/09/2020
PBSM,368736104,GNRC ,74,"15,209.22",0.358,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
PBSM,98936J101,ZEN ,137,"15,187.82",0.358,Zendesk Inc,Common Stock,Information Technology,10/09/2020
PBSM,159864107,CRL ,59,"14,311.63",0.337,Charles River Laboratories International Inc,Common Stock,Health Care,10/09/2020
PBSM,G6674U108,NVCR ,102,"14,149.44",0.333,Novocure Ltd,Common Stock,Health Care,10/09/2020
PBSM,62857M105,MYOK ,60,"13,273.80",0.313,MyoKardia Inc,Common Stock,Health Care,10/09/2020
PBSM,29362U104,ENTG ,160,"13,239.20",0.312,Entegris Inc,Common Stock,Information Technology,10/09/2020
PBSM,384109104,GGG ,199,"12,845.45",0.303,Graco Inc,Common Stock,Industrials,10/09/2020
PBSM,74838J101,QDEL ,45,"12,512.25",0.295,Quidel Corp,Common Stock,Health Care,10/09/2020
PBSM,29355A107,ENPH ,112,"12,228.16",0.288,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PBSM,15677J108,CDAY ,137,"12,223.14",0.288,Ceridian HCM Holding Inc,Common Stock,Information Technology,10/09/2020
PBSM,163092109,CHGG ,148,"12,044.24",0.284,Chegg Inc,Common Stock,Consumer Discretionary,10/09/2020
PBSM,09073M104,TECH ,45,"11,928.60",0.281,Bio-Techne Corp,Common Stock,Health Care,10/09/2020
PBSM,707569109,PENN ,182,"11,775.40",0.277,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
PBSM,67020Y100,NUAN ,334,"11,466.22",0.270,Nuance Communications Inc,Common Stock,Information Technology,10/09/2020
PBSM,12769G100,CZR ,214,"11,202.90",0.264,Caesars Entertainment Inc,Common Stock,Consumer Discretionary,10/09/2020
PBSM,891092108,TTC ,127,"11,132.82",0.262,Toro Co/The,Common Stock,Industrials,10/09/2020
PBSM,109194100,BFAM ,72,"11,131.20",0.262,Bright Horizons Family Solutions Inc,Common Stock,Consumer Discretionary,10/09/2020
PBSM,23283R100,CONE ,138,"11,057.94",0.261,CyrusOne Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PBSM,89531P105,TREX ,138,"10,794.36",0.254,Trex Co Inc,Common Stock,Industrials,10/09/2020
PBSM,31188V100,FSLY ,84,"10,632.72",0.251,Fastly Inc,Common Stock,Information Technology,10/09/2020
PBSM,045327103,AZPN ,80,"10,592.00",0.250,Aspen Technology Inc,Common Stock,Information Technology,10/09/2020
PBSM,338307101,FIVN ,74,"10,365.92",0.244,Five9 Inc,Common Stock,Information Technology,10/09/2020
PBSM,98986T108,ZNGA ,"1,087","10,119.97",0.238,Zynga Inc,Common Stock,Communication Services,10/09/2020
PBSM,91347P105,OLED ,50,"10,110.00",0.238,Universal Display Corp,Common Stock,Information Technology,10/09/2020
