Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PBW,53680Q207,LAC ,"2,549,300","36,811,892.00",3.827,Lithium Americas Corp,Common Stock,Materials,10/09/2020
PBW,47759T100,JKS ,"512,971","32,235,097.64",3.351,JinkoSolar Holding Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PBW,867652406,SPWR ,"1,660,870","28,948,964.10",3.009,SunPower Corp,Common Stock,Information Technology,10/09/2020
PBW,72919P202,PLUG ,"1,498,326","27,614,148.18",2.871,Plug Power Inc,Common Stock,Industrials,10/09/2020
PBW,23703Q203,DQ ,"138,727","27,264,017.31",2.834,Daqo New Energy Corp ADR,American Depository Receipt,Information Technology,10/09/2020
PBW,53814L108,LTHM ,"2,377,370","27,173,339.10",2.825,Livent Corp,Common Stock,Materials,10/09/2020
PBW,83417M104,SEDG ,"87,826","26,817,669.10",2.788,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
PBW,29355A107,ENPH ,"242,638","26,491,216.84",2.754,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PBW,093712107,BE ,"1,152,715","26,420,227.80",2.746,Bloom Energy Corp,Common Stock,Industrials,10/09/2020
PBW,Y58473102,MAXN ,"1,255,760","25,228,218.40",2.622,Maxeon Solar Technologies Ltd,Common Stock,Information Technology,10/09/2020
PBW,483709101,KNDI ,"3,322,265","24,767,485.58",2.575,Kandi Technologies Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PBW,136635109,CSIQ ,"563,252","23,442,548.24",2.437,Canadian Solar Inc,Common Stock,Information Technology,10/09/2020
PBW,87266J104,TPIC ,"655,815","23,301,106.95",2.422,TPI Composites Inc,Common Stock,Industrials,10/09/2020
PBW,030111207,AMSC ,"1,310,817","22,296,997.17",2.318,American Superconductor Corp,Common Stock,Industrials,10/09/2020
PBW,058586108,BLDP ,"1,184,323","22,288,958.86",2.317,Ballard Power Systems Inc,Common Stock,Industrials,10/09/2020
PBW,98138J206,WKHS ,"827,188","22,143,822.76",2.302,Workhorse Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PBW,833635105,SQM ,"621,173","22,076,488.42",2.295,Sociedad Quimica y Minera de Chile SA ADR,American Depository Receipt,Materials,10/09/2020
PBW,62914V106,NIO ,"1,025,521","22,017,935.87",2.289,NIO Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PBW,336433107,FSLR ,"274,738","21,652,101.78",2.251,First Solar Inc,Common Stock,Information Technology,10/09/2020
PBW,686688102,ORA ,"292,533","21,199,866.51",2.204,Ormat Technologies Inc,Common Stock,Utilities,10/09/2020
PBW,012653101,ALB ,"219,734","21,101,056.02",2.193,Albemarle Corp,Common Stock,Materials,10/09/2020
PBW,88160R101,TSLA ,"47,196","20,483,064.00",2.129,Tesla Inc,Common Stock,Consumer Discretionary,10/09/2020
PBW,86771W105,RUN ,"281,808","20,129,545.44",2.092,Sunrun Inc,Common Stock,Industrials,10/09/2020
PBW,09354A100,BLNK ,"2,044,539","19,954,700.64",2.074,Blink Charging Co,Common Stock,Consumer Discretionary,10/09/2020
