Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PCY,,168863CA4,Chile Government International Bond,3.12,01/21/2026,01/21/2016,N/A,A+/A1,"39,657,000",4.426712625E7,1.61,10/09/2020
PCY,,168863CE6,Chile Government International Bond,3.86,06/21/2047,06/21/2017,N/A,A+/A1,"36,104,000",4.424870136E7,1.61,10/09/2020
PCY,,731011AU6,Republic of Poland Government International Bond,3.25,04/06/2026,04/06/2016,N/A,A-/A2,"38,307,000",4.3314835803E7,1.58,10/09/2020
PCY,,857524AC6,Republic of Poland Government International Bond,4.00,01/22/2024,01/22/2014,N/A,A-/A2,"38,298,000",4.2711384924E7,1.55,10/09/2020
PCY,,EJ9471248,Croatia Government International Bond,6.00,01/26/2024,11/26/2013,N/A,BBB-/Ba2,"35,459,000",4.1154956465E7,1.50,10/09/2020
PCY,,AM6597687,Mongolia Government International Bond,8.75,03/09/2024,03/09/2017,N/A,B/B3u,"35,630,000",4.035055599E7,1.47,10/09/2020
PCY,,715638BM3,Peruvian Government International Bond,5.62,11/18/2050,11/18/2010,N/A,BBB+/A3,"18,920,000",3.08262614E7,1.12,10/09/2020
PCY,,AP4164574,Abu Dhabi Government International Bond,4.12,10/11/2047,10/11/2017,N/A,AA/NR,"23,704,000",3.023042232E7,1.10,10/09/2020
PCY,,AQ1229378,Nigeria Government International Bond,7.62,11/28/2047,11/28/2017,N/A,B-/B2,"31,363,000",3.021950502E7,1.10,10/09/2020
PCY,,ZR7470324,Abu Dhabi Government International Bond,3.12,09/30/2049,09/30/2019,N/A,AA/Aa2u,"27,250,000",2.9697595E7,1.08,10/09/2020
PCY,,AS1975802,Qatar Government International Bond,5.10,04/23/2048,04/23/2018,N/A,AA-/Aa3,"20,826,000",2.96832978E7,1.08,10/09/2020
PCY,,BK4157206,Romanian Government International Bond,4.00,02/14/2051,07/14/2020,N/A,BBB-/Baa3,"27,960,000",2.94388044E7,1.07,10/09/2020
PCY,,AF2793459,Kazakhstan Government International Bond,6.50,07/21/2045,07/21/2015,N/A,BBB-/Baa3,"18,573,000",2.937932859E7,1.07,10/09/2020
PCY,,AP2859340,Saudi Government International Bond,4.62,10/04/2047,10/04/2017,N/A,A-u/A1,"23,484,000",2.93232966E7,1.07,10/09/2020
PCY,,AX5423154,Qatar Government International Bond,4.82,03/14/2049,03/14/2019,N/A,AA-/Aa3,"21,253,000",2.927598625E7,1.07,10/09/2020
PCY,,AS1609492,Saudi Government International Bond,5.00,04/17/2049,04/17/2018,N/A,A-u/A1,"22,165,000",2.925737887E7,1.06,10/09/2020
PCY,,EI0531547,Qatar Government International Bond,6.40,01/20/2040,11/24/2009,N/A,AA-/Aa3,"18,602,000",2.91539845E7,1.06,10/09/2020
PCY,,QZ9368221,Saudi Government International Bond,4.50,10/26/2046,10/26/2016,N/A,A-u/A1,"23,773,000",2.913440583E7,1.06,10/09/2020
PCY,,698299BF0,Panama Government International Bond,3.88,03/17/2028,03/17/2016,12/17/2027,BBB+/Baa1,"25,425,000",2.9076157125E7,1.06,10/09/2020
PCY,,AO0617065,Russian Foreign Bond - Eurobond,5.25,06/23/2047,06/23/2017,N/A,BBB/Baa3,"21,600,000",2.90511792E7,1.06,10/09/2020
PCY,,715638DA7,Peruvian Government International Bond,2.84,06/20/2030,06/20/2019,N/A,BBB+/A3,"26,202,000",2.896788312E7,1.05,10/09/2020
