Fund Ticker,Security Identifier,Identifier,Shares,Weight,Name,Contract Expiry Date,Sector,$ Value,Date
PDBC,825252885,AGPXX ,"1,264,568,054.13",48.120,STIT - Government & Agency Portfolio,,Collateral,"1,264,568,054.13",10/09/2020
PDBC,9127963K3,,"500,000,000.00",19.023,United States Treasury Bill,12/17/2020,Collateral,"499,925,520.00",10/09/2020
PDBC,,,"1,042,037.62",15.926,Pay MORGAN STANLEY MSCB008 MORGAN STANLEY MSCB008 MORG_US_DVPS 11/9/2020,11/09/2020,SWAP,"418,521,072.47",10/09/2020
PDBC,,,"5,049,322.41",15.896,Pay GOLDMAN SACHS COMMODITY I-SELECT STRATEGY 1063 ABGS1063 GOLD_US_DVPS 11/9/2020,11/09/2020,SWAP,"417,737,007.31",10/09/2020
PDBC,,,"4,936,875.87",15.894,Pay MACQUARIE CUSTOM PRODUCT 253E MQCC253E MACQ_US_DVPS 11/9/2020,11/09/2020,SWAP,"417,693,269.43",10/09/2020
PDBC,,,"4,681,976.73",15.893,Pay RBC ENHANCED PS01 ER RBCAPS01 RBC_US_DVPS 11/9/2020,11/09/2020,SWAP,"417,662,289.02",10/09/2020
PDBC,CIXBICPI,,"4,305,943.43",13.945,Pay CB CIXBICPI CITI_US_DVPS 10/5/2021,11/09/2020,SWAP,"366,470,233.63",10/09/2020
PDBC,912796TU3,,"300,000,000.00",11.414,United States Treasury Bill,12/03/2020,Collateral,"299,963,874.00",10/09/2020
PDBC,9127962R9,,"200,000,000.00",7.610,United States Treasury Bill,10/15/2020,Collateral,"199,999,166.00",10/09/2020
PDBC,G8114D159,STUSDIC ,"131,174,775.13",4.991,Invesco US Dollar Liquidity Portfolio,,Collateral,"131,174,775.13",10/09/2020
PDBC,,,"1,152,311.36",3.981,Pay BOFA MERRILL LYNCH COMMODITIES MLBXIVMA EXCESS RETURN STRATEGY MLBXIVMA BAML_US_DVPS 11/9/2020,11/09/2020,SWAP,"104,619,040.10",10/09/2020
PDBC,9127964C0,,"100,000,000.00",3.804,United States Treasury Bill,02/11/2021,Collateral,"99,967,229.00",10/09/2020
PDBC,GCZ0,,294.00,2.155,COMEX Gold 100 Troy Ounces Future,12/29/2020,Precious Metals,"56,630,280.00",10/09/2020
PDBC,XBZ0,,"1,112.00",2.097,NYMEX Reformulated Gasoline Blendstock for Oxygen Blending R,11/30/2020,Energy,"55,096,708.80",10/09/2020
PDBC,CLM1,,"1,207.00",1.955,NYMEX Light Sweet Crude Oil Future,05/20/2021,Energy,"51,381,990.00",10/09/2020
PDBC,COF1,,"1,127.00",1.858,ICE Brent Crude Oil Future,11/30/2020,Energy,"48,821,640.00",10/09/2020
PDBC,HOM1,,672.00,1.357,NYMEX NY Harbor ULSD Futures,05/28/2021,Energy,"35,663,846.40",10/09/2020
PDBC,S X1,,701.00,1.307,CBOT Soybean Future,11/12/2021,Agriculture,"34,357,762.50",10/09/2020
PDBC,W N1,,"1,126.00",1.273,CBOT Wheat Future,07/14/2021,Agriculture,"33,456,275.00",10/09/2020
PDBC,SBV1,,"2,084.00",1.171,NYBOT CSC Number 11 World Sugar Future,09/30/2021,Agriculture,"30,786,515.20",10/09/2020
PDBC,C Z1,,"1,361.00",1.027,CBOT Corn Future,12/14/2021,Agriculture,"26,998,837.50",10/09/2020
PDBC,LPZ20,,155.00,.998,LME Copper Future,12/14/2020,Base Metals,"26,216,312.50",10/09/2020
PDBC,NGF21,,734.00,.935,NYMEX Henry Hub Natural Gas Futures,12/29/2020,Energy,"24,566,980.00",10/09/2020
PDBC,LXZ0,,371.00,.858,LME Zinc Future,12/14/2020,Base Metals,"22,542,887.50",10/09/2020
PDBC,LAM21,,477.00,.846,LME Primary Aluminum Future,06/14/2021,Base Metals,"22,240,125.00",10/09/2020
PDBC,SIZ0,,128.00,.611,COMEX Silver Future,12/29/2020,Precious Metals,"16,069,120.00",10/09/2020
PDBC,CASHUSD00,-CASH-,"-884,011.80",-.034,Cash/Receivables/Payables,,Collateral,"-884,011.80",10/09/2020
