Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PDN,5481558,PNL ,"301,923","1,094,019.55",0.331,PostNL NV,Common Stock,Industrials,10/09/2020
PDN,6294670,034020 KS,"73,067","880,668.81",0.266,Doosan Heavy Industries & Construction Co Ltd,Common Stock,Industrials,10/09/2020
PDN,B18ZRK2,LOGN SW,"10,783","854,881.25",0.259,Logitech International SA,Common Stock,Information Technology,10/09/2020
PDN,6499323,011780 KS,"6,741","824,176.02",0.249,Kumho Petrochemical Co Ltd,Common Stock,Materials,10/09/2020
PDN,B01CP21,SGRE ,"27,485","811,153.95",0.245,Siemens Gamesa Renewable Energy SA,Common Stock,Industrials,10/09/2020
PDN,BQV0SV7,ZAL ,"7,809","790,109.33",0.239,Zalando SE,Common Stock,Consumer Discretionary,10/09/2020
PDN,BF2RZ42,285130 KS,"2,608","789,240.84",0.239,SK Chemicals Co Ltd,Common Stock,Materials,10/09/2020
PDN,6250025,6383 JP,"7,041","737,720.60",0.223,Daifuku Co Ltd,Common Stock,Industrials,10/09/2020
PDN,6194037,035720 KS,"2,200","723,000.22",0.219,Kakao Corp,Common Stock,Communication Services,10/09/2020
PDN,6397825,OZL ,"67,322","708,445.71",0.214,OZ Minerals Ltd,Common Stock,Materials,10/09/2020
PDN,BMTRW10,BME LN,"110,123","707,387.51",0.214,B&M European Value Retail SA,Common Stock,Consumer Discretionary,10/09/2020
PDN,6804035,8227 JP,"6,999","697,548.34",0.211,Shimamura Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
PDN,B05NXN7,868 HK,"319,559","692,716.98",0.210,Xinyi Glass Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
PDN,BYSXJB2,DOM SS,"52,165","667,092.86",0.202,Dometic Group AB,Common Stock,Consumer Discretionary,10/09/2020
PDN,6456102,4062 JP,"18,530","665,575.22",0.201,Ibiden Co Ltd,Common Stock,Information Technology,10/09/2020
PDN,7759435,ILD FP,"3,301","661,238.95",0.200,Iliad SA,Common Stock,Communication Services,10/09/2020
PDN,6895222,9533 JP,"13,381","657,303.39",0.199,Toho Gas Co Ltd,Common Stock,Utilities,10/09/2020
PDN,6985543,6845 JP,"16,259","652,483.65",0.197,Azbil Corp,Common Stock,Information Technology,10/09/2020
PDN,7698356,GETIB SS,"28,796","645,087.54",0.195,Getinge AB,Common Stock,Health Care,10/09/2020
PDN,5972643,ERF FP,777,"644,977.07",0.195,Eurofins Scientific SE,Common Stock,Health Care,10/09/2020
PDN,6602648,2264 JP,"12,140","626,217.41",0.189,Morinaga Milk Industry Co Ltd,Common Stock,Consumer Staples,10/09/2020
