Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PDP,60468T105,MRTX ,"293,194","53,742,460.20",2.997,Mirati Therapeutics Inc,Common Stock,Health Care,10/09/2020
PDP,037833100,AAPL ,"448,154","52,420,573.38",2.923,Apple Inc,Common Stock,Information Technology,10/09/2020
PDP,57636Q104,MA ,"131,696","46,408,353.44",2.588,Mastercard Inc,Common Stock,Information Technology,10/09/2020
PDP,955306105,WST ,"152,937","45,618,048.36",2.544,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
PDP,67103H107,ORLY ,"101,099","45,431,868.62",2.534,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PDP,29355A107,ENPH ,"397,842","43,436,389.56",2.422,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PDP,03662Q105,ANSS ,"128,932","43,426,876.24",2.422,ANSYS Inc,Common Stock,Information Technology,10/09/2020
PDP,775711104,ROL ,"738,321","42,431,307.87",2.366,Rollins Inc,Common Stock,Industrials,10/09/2020
PDP,338307101,FIVN ,"296,327","41,509,486.16",2.315,Five9 Inc,Common Stock,Information Technology,10/09/2020
PDP,058498106,BLL ,"425,148","38,373,858.48",2.140,Ball Corp,Common Stock,Materials,10/09/2020
PDP,023135106,AMZN ,"11,528","37,888,501.20",2.113,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PDP,67066G104,NVDA ,"66,011","36,339,715.61",2.027,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PDP,776696106,ROP ,"78,767","32,640,257.13",1.820,Roper Technologies Inc,Common Stock,Industrials,10/09/2020
PDP,824348106,SHW ,"46,130","32,217,192.00",1.797,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
PDP,217204106,CPRT ,"263,838","30,396,775.98",1.695,Copart Inc,Common Stock,Industrials,10/09/2020
PDP,171340102,CHD ,"325,435","30,187,350.60",1.683,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
PDP,654106103,NKE ,"228,910","29,982,631.80",1.672,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
PDP,235851102,DHR ,"124,715","28,193,072.90",1.572,Danaher Corp,Common Stock,Health Care,10/09/2020
PDP,023436108,AMED ,"103,283","25,596,625.89",1.427,Amedisys Inc,Common Stock,Health Care,10/09/2020
PDP,127387108,CDNS ,"227,041","25,412,699.13",1.417,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
PDP,592688105,MTD ,"22,916","23,499,441.36",1.311,Mettler-Toledo International Inc,Common Stock,Health Care,10/09/2020
PDP,609839105,MPWR ,"72,590","22,899,241.40",1.277,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
PDP,88160R101,TSLA ,"51,597","22,393,098.00",1.249,Tesla Inc,Common Stock,Consumer Discretionary,10/09/2020
PDP,907818108,UNP ,"107,511","22,123,613.58",1.234,Union Pacific Corp,Common Stock,Industrials,10/09/2020
PDP,707569109,PENN ,"335,673","21,718,043.10",1.211,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
PDP,032095101,APH ,"190,822","21,656,388.78",1.208,Amphenol Corp,Common Stock,Information Technology,10/09/2020
PDP,22160N109,CSGP ,"24,564","21,478,024.68",1.198,CoStar Group Inc,Common Stock,Industrials,10/09/2020
PDP,922475108,VEEV ,"66,974","19,698,392.88",1.099,Veeva Systems Inc,Common Stock,Health Care,10/09/2020
PDP,81762P102,NOW ,"37,864","19,258,009.04",1.074,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
PDP,679580100,ODFL ,"95,983","19,173,564.08",1.069,Old Dominion Freight Line Inc,Common Stock,Industrials,10/09/2020
PDP,893641100,TDG ,"38,615","18,728,275.00",1.044,TransDigm Group Inc,Common Stock,Industrials,10/09/2020
PDP,73278L105,POOL ,"50,942","17,653,950.10",0.985,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
PDP,49714P108,KNSL ,"81,458","16,959,555.60",0.946,Kinsale Capital Group Inc,Common Stock,Financials,10/09/2020
PDP,55354G100,MSCI ,"48,112","16,951,300.96",0.945,MSCI Inc,Common Stock,Financials,10/09/2020
PDP,45168D104,IDXX ,"41,595","16,665,036.75",0.929,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
PDP,29362U104,ENTG ,"201,064","16,637,040.68",0.928,Entegris Inc,Common Stock,Information Technology,10/09/2020
PDP,00724F101,ADBE ,"33,011","16,576,803.76",0.924,Adobe Inc,Common Stock,Information Technology,10/09/2020
PDP,98980L101,ZM ,"33,442","16,467,175.22",0.918,Zoom Video Communications Inc,Common Stock,Information Technology,10/09/2020
