Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PEJ,35137L105,FOXA ,"519,732","15,170,977.08",5.380,Fox Corp,Common Stock,Communication Services,10/09/2020
PEJ,43300A203,HLT ,"161,365","14,743,920.05",5.228,Hilton Worldwide Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,92556H206,VIAC ,"506,876","14,656,319.54",5.197,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
PEJ,169656105,CMG ,"11,205","14,364,697.95",5.094,Chipotle Mexican Grill Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,98850P109,YUMC ,"259,590","14,015,264.10",4.970,Yum China Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,934550203,WMG ,"496,847","13,876,936.71",4.921,Warner Music Group Corp,Common Stock,Communication Services,10/09/2020
PEJ,25754A201,DPZ ,"34,419","13,456,108.05",4.772,Domino's Pizza Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,254687106,DIS ,"107,146","13,391,107.08",4.749,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
PEJ,094235108,BLMN ,"602,148","10,435,224.84",3.700,Bloomin' Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,74915M100,QRTEA ,"1,229,731","9,542,712.56",3.384,Qurate Retail Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,707569109,PENN ,"141,744","9,170,836.80",3.252,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,882681109,TXRH ,"124,753","8,775,126.02",3.112,Texas Roadhouse Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,71377A103,PFGC ,"218,443","8,573,887.75",3.040,Performance Food Group Co,Common Stock,Consumer Staples,10/09/2020
PEJ,13765N107,CNNE ,"201,280","8,137,750.40",2.886,Cannae Holdings Inc,Common Stock,Financials,10/09/2020
PEJ,912008109,USFD ,"326,206","7,930,067.86",2.812,US Foods Holding Corp,Common Stock,Consumer Staples,10/09/2020
PEJ,400110102,GRUB ,"106,396","7,926,502.00",2.811,Grubhub Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,29975E109,EB ,"745,077","7,808,406.96",2.769,Eventbrite Inc,Common Stock,Communication Services,10/09/2020
PEJ,538034109,LYV ,"136,497","7,757,124.51",2.751,Live Nation Entertainment Inc,Common Stock,Communication Services,10/09/2020
PEJ,25470F104,DISCA ,"341,899","7,603,833.76",2.696,Discovery Inc,Common Stock,Communication Services,10/09/2020
PEJ,55826T102,MSGE ,"107,925","7,497,549.75",2.659,Madison Square Garden Entertainment Corp,Common Stock,Communication Services,10/09/2020
PEJ,00164V103,AMCX ,"310,648","7,377,890.00",2.616,AMC Networks Inc,Common Stock,Communication Services,10/09/2020
PEJ,535919401,LGF/A ,"820,134","7,249,984.56",2.571,Lions Gate Entertainment Corp,Common Stock,Communication Services,10/09/2020
PEJ,G5784H106,MANU ,"506,536","7,243,464.80",2.569,Manchester United Plc,Common Stock,Communication Services,10/09/2020
PEJ,00436Q106,ACEL ,"656,241","7,093,965.21",2.516,Accel Entertainment Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,55825T103,MSGS ,"46,768","7,012,393.92",2.487,Madison Square Garden Sports Corp,Common Stock,Communication Services,10/09/2020
PEJ,98156Q108,WWE ,"173,147","6,953,583.52",2.466,World Wrestling Entertainment Inc,Common Stock,Communication Services,10/09/2020
PEJ,896945201,TRIP ,"320,717","6,533,005.29",2.317,TripAdvisor Inc,Common Stock,Communication Services,10/09/2020
PEJ,698813102,PZZA ,"80,049","6,395,114.61",2.268,Papa John's International Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,974155103,WING ,"47,208","6,196,522.08",2.197,Wingstop Inc,Common Stock,Consumer Discretionary,10/09/2020
PEJ,17243V102,CNK ,"549,637","4,633,439.91",1.643,Cinemark Holdings Inc,Common Stock,Communication Services,10/09/2020
PEJ,825252885,AGPXX ,"470,408","470,407.98",0.167,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PEJ,CASHUSD00,-CASH-,"2,539","2,539.47",0.001,Cash/Receivables/Payables,Currency,Cash,10/09/2020
