Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PEY,682680103,OKE ,"922,130","26,787,876.50",4.131,ONEOK Inc,Common Stock,Energy,10/09/2020
PEY,553530106,MSM ,"384,486","25,279,954.50",3.899,MSC Industrial Direct Co Inc,Common Stock,Industrials,10/09/2020
PEY,30231G102,XOM ,"532,587","18,502,072.38",2.853,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
PEY,98310W108,WYND ,"551,876","17,709,700.84",2.731,Wyndham Destinations Inc,Common Stock,Consumer Discretionary,10/09/2020
PEY,02209S103,MO ,"428,736","17,445,267.84",2.690,Altria Group Inc,Common Stock,Consumer Staples,10/09/2020
PEY,913456109,UVV ,"395,132","17,117,118.24",2.640,Universal Corp/VA,Common Stock,Consumer Staples,10/09/2020
PEY,667340103,NWBI ,"1,650,721","16,606,253.26",2.561,Northwest Bancshares Inc,Common Stock,Financials,10/09/2020
PEY,200340107,CMA ,"388,720","16,458,404.80",2.538,Comerica Inc,Common Stock,Financials,10/09/2020
PEY,460146103,IP ,"380,442","16,233,460.14",2.504,International Paper Co,Common Stock,Materials,10/09/2020
PEY,00206R102,T ,"568,578","16,102,128.96",2.483,AT&T Inc,Common Stock,Communication Services,10/09/2020
PEY,712704105,PBCT ,"1,436,671","15,559,146.93",2.400,People's United Financial Inc,Common Stock,Financials,10/09/2020
PEY,783549108,R ,"326,930","15,444,173.20",2.382,Ryder System Inc,Common Stock,Industrials,10/09/2020
PEY,G54050102,LAZ ,"421,604","15,392,762.04",2.374,Lazard Ltd,Common Stock,Financials,10/09/2020
PEY,69351T106,PPL ,"529,232","15,315,974.08",2.362,PPL Corp,Common Stock,Utilities,10/09/2020
PEY,744320102,PRU ,"210,604","14,295,799.52",2.205,Prudential Financial Inc,Common Stock,Financials,10/09/2020
PEY,718172109,PM ,"179,495","14,158,565.60",2.184,Philip Morris International Inc,Common Stock,Consumer Staples,10/09/2020
PEY,91529Y106,UNM ,"751,011","14,066,436.03",2.169,Unum Group,Common Stock,Financials,10/09/2020
PEY,26441C204,DUK ,"143,839","13,420,178.70",2.070,Duke Energy Corp,Common Stock,Utilities,10/09/2020
PEY,459200101,IBM ,"104,381","13,338,847.99",2.057,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
PEY,842587107,SO ,"226,090","13,280,526.60",2.048,Southern Co/The,Common Stock,Utilities,10/09/2020
PEY,166764100,CVX ,"175,474","12,985,076.00",2.003,Chevron Corp,Common Stock,Energy,10/09/2020
PEY,281020107,EIX ,"223,946","12,561,131.14",1.937,Edison International,Common Stock,Utilities,10/09/2020
PEY,354613101,BEN ,"542,862","12,263,252.58",1.891,Franklin Resources Inc,Common Stock,Financials,10/09/2020
PEY,25746U109,D ,"147,529","12,064,921.62",1.861,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
PEY,209115104,ED ,"145,675","12,025,471.25",1.855,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
PEY,74251V102,PFG ,"283,006","12,019,264.82",1.854,Principal Financial Group Inc,Common Stock,Financials,10/09/2020
PEY,670837103,OGE ,"372,918","11,940,834.36",1.842,OGE Energy Corp,Common Stock,Utilities,10/09/2020
PEY,838518108,SJI ,"583,925","11,871,195.25",1.831,South Jersey Industries Inc,Common Stock,Utilities,10/09/2020
PEY,G16962105,BG ,"234,629","11,841,725.63",1.826,Bunge Ltd,Common Stock,Consumer Staples,10/09/2020
PEY,589400100,MCY ,"283,171","11,553,376.80",1.782,Mercury General Corp,Common Stock,Financials,10/09/2020
PEY,681919106,OMC ,"217,031","11,387,616.57",1.756,Omnicom Group Inc,Common Stock,Communication Services,10/09/2020
PEY,15189T107,CNP ,"531,813","11,364,843.81",1.753,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
PEY,931427108,WBA ,"310,926","11,299,050.84",1.743,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
PEY,909907107,UBSI ,"457,947","11,247,178.32",1.735,United Bankshares Inc/WV,Common Stock,Financials,10/09/2020
PEY,680223104,ORI ,"710,764","11,102,133.68",1.712,Old Republic International Corp,Common Stock,Financials,10/09/2020
PEY,968223206,JW/A ,"332,291","10,769,551.31",1.661,John Wiley & Sons Inc,Common Stock,Communication Services,10/09/2020
PEY,524660107,LEG ,"232,493","10,448,235.42",1.611,Leggett & Platt Inc,Common Stock,Consumer Discretionary,10/09/2020
PEY,277432100,EMN ,"118,768","10,233,050.88",1.578,Eastman Chemical Co,Common Stock,Materials,10/09/2020
PEY,92343V104,VZ ,"171,105","10,151,659.65",1.566,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
