Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PEZ,67103H107,ORLY ,"6,234","2,801,434.92",5.941,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,98138J206,WKHS ,"100,454","2,689,153.58",5.703,Workhorse Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,88160R101,TSLA ,"6,068","2,633,512.00",5.585,Tesla Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,023135106,AMZN ,544,"1,787,937.60",3.792,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,13462K109,CWH ,"57,246","1,772,908.62",3.760,Camping World Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,654106103,NKE ,"12,816","1,678,639.68",3.560,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,146869102,CVNA ,"7,648","1,632,465.60",3.462,Carvana Co,Common Stock,Consumer Discretionary,10/09/2020
PEZ,70614W100,PTON ,"13,072","1,608,117.44",3.410,Peloton Interactive Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,12769G100,CZR ,"30,513","1,597,355.55",3.387,Caesars Entertainment Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,26142R104,DKNG ,"32,523","1,587,772.86",3.367,DraftKings Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,075896100,BBBY ,"69,405","1,489,431.30",3.159,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,39986L109,GRWG ,"80,570","1,455,094.20",3.086,GrowGeneration Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,086516101,BBY ,"12,192","1,421,465.28",3.014,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,16119P108,CHTR ,"2,212","1,406,035.68",2.982,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
PEZ,109641100,EAT ,"29,435","1,392,569.85",2.953,Brinker International Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,169656105,CMG ,"1,047","1,342,243.53",2.846,Chipotle Mexican Grill Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,63910B102,NLS ,"57,744","1,276,142.40",2.706,Nautilus Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,74967X103,RH ,"3,276","1,216,902.96",2.581,RH,Common Stock,Consumer Discretionary,10/09/2020
PEZ,536797103,LAD ,"4,099","1,162,558.38",2.465,Lithia Motors Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,30212W100,EXPI ,"19,197","1,132,431.03",2.402,eXp World Holdings Inc,Common Stock,Real Estate,10/09/2020
PEZ,437076102,HD ,"3,792","1,084,208.64",2.299,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PEZ,501797104,LB ,"29,112","939,153.12",1.992,L Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,548661107,LOW ,"5,343","925,567.89",1.963,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,80874P109,SGMS ,"27,184","912,566.88",1.935,Scientific Games Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,14427M107,PRTS ,"81,328","887,288.48",1.882,CarParts.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,428567101,HIBB ,"15,665","867,841.00",1.840,Hibbett Sports Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,74640Y106,PRPL ,"28,745","832,455.20",1.765,Purple Innovation Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,707569109,PENN ,"12,714","822,595.80",1.744,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,59408Q106,MIK ,"81,863","821,904.52",1.743,Michaels Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PEZ,30034T103,EVRI ,"75,417","644,061.18",1.366,Everi Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,36467W109,GME ,"53,262","640,209.24",1.358,GameStop Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,75700L108,RRR ,"33,897","598,112.57",1.268,Red Rock Resorts Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,103304101,BYD ,"17,690","571,033.20",1.211,Boyd Gaming Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,59001A102,MTH ,"4,950","557,964.00",1.183,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,928377100,VSTO ,"25,178","540,068.10",1.145,Vista Outdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,87724P106,TMHC ,"19,213","525,859.81",1.115,Taylor Morrison Home Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,92921W300,VUZI ,"85,027","387,723.12",0.822,Vuzix Corp,Common Stock,Consumer Discretionary,10/09/2020
PEZ,55305B101,MHO ,"7,951","377,752.01",0.801,M/I Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,156504300,CCS ,"7,965","371,885.85",0.789,Century Communities Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,83545G102,SAH ,"8,345","346,317.50",0.734,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,34988V106,FOSL ,"43,622","293,576.06",0.623,Fossil Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PEZ,825252885,AGPXX ,"122,670","122,670.39",0.260,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
