Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PFI,57636Q104,MA ,"3,719","1,310,538.41",4.462,Mastercard Inc,Common Stock,Information Technology,10/09/2020
PFI,78409V104,SPGI ,"3,401","1,213,340.76",4.131,S&P Global Inc,Common Stock,Financials,10/09/2020
PFI,615369105,MCO ,"4,076","1,201,319.48",4.090,Moody's Corp,Common Stock,Financials,10/09/2020
PFI,92826C839,V ,"5,463","1,128,874.32",3.843,Visa Inc,Common Stock,Information Technology,10/09/2020
PFI,75737F108,RDFN ,"20,332","1,114,803.56",3.796,Redfin Corp,Common Stock,Real Estate,10/09/2020
PFI,264411505,DRE ,"27,589","1,098,593.98",3.740,Duke Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,55354G100,MSCI ,"3,095","1,090,461.35",3.713,MSCI Inc,Common Stock,Financials,10/09/2020
PFI,743315103,PGR ,"9,634","962,243.92",3.276,Progressive Corp/The,Common Stock,Financials,10/09/2020
PFI,22822V101,CCI ,"5,499","920,312.64",3.133,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,631103108,NDAQ ,"7,082","885,674.92",3.015,Nasdaq Inc,Common Stock,Financials,10/09/2020
PFI,571748102,MMC ,"6,790","785,670.90",2.675,Marsh & McLennan Cos Inc,Common Stock,Financials,10/09/2020
PFI,74340W103,PLD ,"6,999","748,263.09",2.548,Prologis Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,49714P108,KNSL ,"3,547","738,485.40",2.514,Kinsale Capital Group Inc,Common Stock,Financials,10/09/2020
PFI,29444U700,EQIX ,886,"734,804.10",2.502,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,898202106,TRUP ,"7,964","716,600.72",2.440,Trupanion Inc,Common Stock,Financials,10/09/2020
PFI,015271109,ARE ,"4,257","703,043.55",2.394,Alexandria Real Estate Equities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,45781V101,IIPR ,"5,330","699,402.60",2.381,Innovative Industrial Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,48251W104,KKR ,"19,354","693,453.82",2.361,KKR & Co Inc,Common Stock,Financials,10/09/2020
PFI,33616C100,FRC ,"5,462","675,758.64",2.301,First Republic Bank/CA,Common Stock,Financials,10/09/2020
PFI,09247X101,BLK ,"1,100","672,727.00",2.290,BlackRock Inc,Common Stock,Financials,10/09/2020
PFI,70932M107,PFSI ,"10,204","666,219.16",2.268,PennyMac Financial Services Inc,Common Stock,Financials,10/09/2020
PFI,303075105,FDS ,"2,000","654,940.00",2.230,FactSet Research Systems Inc,Common Stock,Financials,10/09/2020
PFI,254709108,DFS ,"9,808","636,441.12",2.167,Discover Financial Services,Common Stock,Financials,10/09/2020
PFI,62482R107,COOP ,"25,447","615,817.40",2.097,Mr Cooper Group Inc,Common Stock,Financials,10/09/2020
PFI,75605Y106,RLGY ,"53,280","584,481.60",1.990,Realogy Holdings Corp,Common Stock,Real Estate,10/09/2020
PFI,39304D102,GDOT ,"9,206","583,108.04",1.985,Green Dot Corp,Common Stock,Financials,10/09/2020
PFI,03990B101,ARES ,"12,859","554,865.85",1.889,Ares Management Corp,Common Stock,Financials,10/09/2020
PFI,41068X100,HASI ,"11,997","549,702.54",1.872,Hannon Armstrong Sustainable Infrastructure Capital Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
PFI,69753M105,PLMR ,"5,980","502,678.80",1.711,Palomar Holdings Inc,Common Stock,Financials,10/09/2020
PFI,74164M108,PRI ,"4,298","493,711.26",1.681,Primerica Inc,Common Stock,Financials,10/09/2020
PFI,29404K106,ENV ,"5,503","462,417.09",1.574,Envestnet Inc,Common Stock,Information Technology,10/09/2020
PFI,70931T103,PMT ,"25,707","445,502.31",1.517,PennyMac Mortgage Investment Trust,Real Estate Investment Trust			     ,Financials,10/09/2020
PFI,04316A108,APAM ,"10,033","442,956.95",1.508,Artisan Partners Asset Management Inc,Common Stock,Financials,10/09/2020
PFI,78377T107,RHP ,"10,227","435,158.85",1.482,Ryman Hospitality Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,038923108,ABR ,"35,927","421,782.98",1.436,Arbor Realty Trust Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
PFI,68268W103,OMF ,"11,383","414,455.03",1.411,OneMain Holdings Inc,Common Stock,Financials,10/09/2020
PFI,85254J102,STAG ,"11,349","369,977.40",1.260,STAG Industrial Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,32054K103,FR ,"8,472","368,447.28",1.254,First Industrial Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,10948W103,BSIG ,"22,855","340,539.50",1.159,Brightsphere Investment Group Inc,Common Stock,Financials,10/09/2020
PFI,05589G102,BRP ,"11,122","303,630.60",1.034,BRP Group Inc,Common Stock,Financials,10/09/2020
PFI,758075402,RWT ,"37,376","296,017.92",1.008,Redwood Trust Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
PFI,69343T107,PJT ,"4,286","288,233.50",0.981,PJT Partners Inc,Common Stock,Financials,10/09/2020
PFI,91325V108,UNIT ,"27,243","285,779.07",0.973,Uniti Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,29670E107,EPRT ,"13,433","259,391.23",0.883,Essential Properties Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PFI,292554102,ECPG ,"6,318","242,927.10",0.827,Encore Capital Group Inc,Common Stock,Financials,10/09/2020
PFI,825252885,AGPXX ,"48,220","48,220.26",0.164,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PFI,CASHUSD00,-CASH-,"9,553","9,553.08",0.033,Cash/Receivables/Payables,Currency,Cash,10/09/2020
