Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PFIG,,46625HRV4,JPMorgan Chase & Co,2.95,10/01/2026,07/21/2016,07/01/2026,A-/A2,"291,000",320575.81,0.55,10/09/2020
PFIG,,46625HJD3,JPMorgan Chase & Co,4.50,01/24/2022,01/23/2012,N/A,A-/A2,"280,000",295085.1,0.51,10/09/2020
PFIG,,037833BY5,Apple Inc,3.25,02/23/2026,02/23/2016,11/23/2025,AA+/Aa1,"259,000",291126.9,0.50,10/09/2020
PFIG,,949746RW3,Wells Fargo & Co,3.00,04/22/2026,04/22/2016,N/A,BBB+/A2,"261,000",285938.0,0.49,10/09/2020
PFIG,,037833AK6,Apple Inc,2.40,05/03/2023,05/03/2013,N/A,AA+/Aa1,"271,000",285332.08,0.49,10/09/2020
PFIG,,931142EK5,Walmart Inc,3.40,06/26/2023,06/27/2018,05/26/2023,AA/Aa2,"258,000",278260.3,0.48,10/09/2020
PFIG,,95000U2B8,Wells Fargo & Co,2.62,07/22/2022,07/24/2017,N/A,BBB+/A2,"267,000",277218.46,0.48,10/09/2020
PFIG,,30231GAT9,Exxon Mobil Corp,3.04,03/01/2026,03/03/2016,12/01/2025,AA/Aa1,"250,000",277058.12,0.47,10/09/2020
PFIG,,06051GGA1,Bank of America Corp,3.25,10/21/2027,10/21/2016,10/21/2026,A-/A2,"245,000",272312.51,0.47,10/09/2020
PFIG,,00206RGQ9,AT&T Inc,4.30,02/15/2030,11/23/2018,11/15/2029,BBB/Baa2,"225,000",266760.72,0.46,10/09/2020
PFIG,,172967KA8,Citigroup Inc,4.45,09/29/2027,09/29/2015,N/A,BBB/Baa2,"225,000",262270.15,0.45,10/09/2020
PFIG,,06051GEU9,Bank of America Corp,3.30,01/11/2023,01/11/2013,N/A,A-/A2,"246,000",261438.26,0.45,10/09/2020
PFIG,,00206RCN0,AT&T Inc,3.40,05/15/2025,05/04/2015,02/15/2025,BBB/Baa2,"235,000",259993.92,0.45,10/09/2020
PFIG,,30231GAV4,Exxon Mobil Corp,2.22,03/01/2021,03/03/2016,02/01/2021,AA/Aa1,"257,000",258495.42,0.44,10/09/2020
PFIG,,931142EE9,Walmart Inc,3.70,06/26/2028,06/27/2018,03/26/2028,AA/Aa2,"218,000",257279.74,0.44,10/09/2020
PFIG,,208251AE8,ConocoPhillips Co,6.95,04/15/2029,04/20/1999,N/A,A/A3,"175,000",242233.78,0.42,10/09/2020
PFIG,,172967FT3,Citigroup Inc,4.50,01/14/2022,11/01/2011,N/A,BBB+/A3,"229,000",240650.67,0.41,10/09/2020
PFIG,,594918BY9,Microsoft Corp,3.30,02/06/2027,02/06/2017,11/06/2026,AAA/Aaa,"210,000",239886.38,0.41,10/09/2020
PFIG,,084670BR8,Berkshire Hathaway Inc,2.75,03/15/2023,03/15/2016,01/15/2023,AA/Aa2,"226,000",238396.1,0.41,10/09/2020
PFIG,,084670BS6,Berkshire Hathaway Inc,3.12,03/15/2026,03/15/2016,12/15/2025,AA/Aa2,"213,000",238263.68,0.41,10/09/2020
PFIG,,594918BP8,Microsoft Corp,1.55,08/08/2021,08/08/2016,07/08/2021,AAA/Aaa,"230,000",232330.28,0.40,10/09/2020
PFIG,,92343VER1,Verizon Communications Inc,4.33,09/21/2028,10/22/2018,N/A,BBB+/Baa1,"190,000",231007.84,0.40,10/09/2020
PFIG,,166764BW9,Chevron Corp,1.55,05/11/2025,05/11/2020,04/11/2025,AA/Aa2,"220,000",228600.83,0.39,10/09/2020
