Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PFM,594918104,MSFT ,"75,159","16,220,063.79",3.756,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PFM,931142103,WMT ,"113,579","16,216,809.62",3.755,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
PFM,478160104,JNJ ,"105,593","15,941,375.21",3.691,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PFM,742718109,PG ,"99,848","14,270,276.16",3.304,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
PFM,92826C839,V ,"67,620","13,972,996.80",3.235,Visa Inc,Common Stock,Information Technology,10/09/2020
PFM,91324P102,UNH ,"38,118","12,496,605.12",2.893,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PFM,437076102,HD ,"43,173","12,344,024.16",2.858,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PFM,92343V104,VZ ,"165,957","9,846,228.81",2.280,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PFM,191216100,KO ,"172,269","8,752,987.89",2.027,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
PFM,20030N101,CMCSA ,"182,831","8,199,970.35",1.899,Comcast Corp,Common Stock,Communication Services,10/09/2020
PFM,00206R102,T ,"285,755","8,092,581.60",1.874,AT&T Inc,Common Stock,Communication Services,10/09/2020
PFM,002824100,ABT ,"71,007","7,785,917.55",1.803,Abbott Laboratories,Common Stock,Health Care,10/09/2020
PFM,713448108,PEP ,"55,533","7,687,988.52",1.780,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
PFM,68389X105,ORCL ,"123,077","7,526,158.55",1.743,Oracle Corp,Common Stock,Information Technology,10/09/2020
PFM,580135101,MCD ,"29,847","6,710,501.01",1.554,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
PFM,22160K105,COST ,"17,704","6,540,919.84",1.514,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
PFM,654106103,NKE ,"49,931","6,539,962.38",1.514,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
PFM,65339F101,NEE ,"19,634","5,947,334.94",1.377,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
PFM,30231G102,XOM ,"169,581","5,891,243.94",1.364,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
PFM,G5960L103,MDT ,"53,875","5,855,135.00",1.356,Medtronic PLC,Common Stock,Health Care,10/09/2020
PFM,G1151C101,ACN ,"25,517","5,835,482.73",1.351,Accenture PLC,Common Stock,Information Technology,10/09/2020
PFM,747525103,QCOM ,"45,254","5,650,866.98",1.308,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
PFM,907818108,UNP ,"27,226","5,602,566.28",1.297,Union Pacific Corp,Common Stock,Industrials,10/09/2020
PFM,110122108,BMY ,"90,399","5,588,466.18",1.294,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
PFM,882508104,TXN ,"36,739","5,544,282.49",1.284,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
PFM,166764100,CVX ,"74,888","5,541,712.00",1.283,Chevron Corp,Common Stock,Energy,10/09/2020
PFM,548661107,LOW ,"30,308","5,250,254.84",1.216,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
PFM,911312106,UPS ,"28,357","4,953,684.33",1.147,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
PFM,718172109,PM ,"62,456","4,926,529.28",1.141,Philip Morris International Inc,Common Stock,Consumer Staples,10/09/2020
PFM,459200101,IBM ,"35,719","4,564,531.01",1.057,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
PFM,539830109,LMT ,"11,213","4,327,433.09",1.002,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
PFM,88579Y101,MMM ,"23,102","3,911,168.60",0.906,3M Co,Common Stock,Industrials,10/09/2020
PFM,09247X101,BLK ,"6,113","3,738,527.41",0.866,BlackRock Inc,Common Stock,Financials,10/09/2020
PFM,75513E101,RTX ,"61,270","3,670,685.70",0.850,Raytheon Technologies Corp,Common Stock,Industrials,10/09/2020
PFM,149123101,CAT ,"21,718","3,451,858.92",0.799,Caterpillar Inc,Common Stock,Industrials,10/09/2020
PFM,78409V104,SPGI ,"9,664","3,447,728.64",0.798,S&P Global Inc,Common Stock,Financials,10/09/2020
PFM,863667101,SYK ,"15,066","3,358,663.38",0.778,Stryker Corp,Common Stock,Health Care,10/09/2020
PFM,87612E106,TGT ,"20,078","3,286,969.38",0.761,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
PFM,02209S103,MO ,"74,533","3,032,747.77",0.702,Altria Group Inc,Common Stock,Consumer Staples,10/09/2020
PFM,31428X106,FDX ,"10,506","2,852,904.30",0.661,FedEx Corp,Common Stock,Industrials,10/09/2020
PFM,075887109,BDX ,"11,623","2,758,254.13",0.639,Becton Dickinson and Co,Common Stock,Health Care,10/09/2020
PFM,25746U109,D ,"33,699","2,755,904.22",0.638,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
PFM,26441C204,DUK ,"29,493","2,751,696.90",0.637,Duke Energy Corp,Common Stock,Utilities,10/09/2020
PFM,194162103,CL ,"34,387","2,743,050.99",0.635,Colgate-Palmolive Co,Common Stock,Consumer Staples,10/09/2020
PFM,009158106,APD ,"8,857","2,662,414.20",0.616,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
PFM,452308109,ITW ,"12,679","2,608,197.09",0.604,Illinois Tool Works Inc,Common Stock,Industrials,10/09/2020
PFM,053015103,ADP ,"17,247","2,584,462.95",0.598,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
PFM,824348106,SHW ,"3,649","2,548,461.60",0.590,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
