Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGF,WFC Z,94988U151,Wells Fargo & Co,4.75,,01/27/2020,03/15/2025,BB+/Baa2,"1,742,071",4.40743963E7,2.68,10/09/2020
PGF,JPM C,48128B648,JPMorgan Chase & Co,6.00,,01/24/2019,03/01/2024,BBB-/Baa2,"1,551,386",4.346983572E7,2.65,10/09/2020
PGF,JPM D,48128B655,JPMorgan Chase & Co,5.75,,09/21/2018,12/01/2023,BBB-/Baa2,"1,456,826",4.076199148E7,2.48,10/09/2020
PGF,WFC Q,949746556,Wells Fargo & Co,5.85,,07/22/2013,09/15/2023,BB+/Baa2,"1,475,314",3.944989636E7,2.40,10/09/2020
PGF,PNC P,693475857,PNC Financial Services Group Inc/The,6.12,,04/24/2012,05/01/2022,BBB-/Baa2,"1,326,726",3.5821602E7,2.18,10/09/2020
PGF,BAC-PM,06053U601,Bank of America Corp,5.38,12/30/2049,06/25/2019,06/25/2024,BBB-/Baa3,"1,233,597",3.376354989E7,2.06,10/09/2020
PGF,BAC B,060505229,Bank of America Corp,6.00,,05/16/2018,05/16/2023,BBB-/Baa3,"1,181,769",3.294771972E7,2.01,10/09/2020
PGF,C K,172967341,Citigroup Inc,6.88,,10/31/2013,11/15/2023,BB+/Ba1,"1,151,697",3.239723661E7,1.97,10/09/2020
PGF,JPM G,48127X542,JPMorgan Chase & Co,6.10,,06/04/2015,12/01/2020,BBB-/Baa2,"1,207,857",3.081243207E7,1.88,10/09/2020
PGF,BAC N,06055H202,Bank of America Corp,5.00,,09/17/2019,09/17/2024,BBB-/Baa3,"1,070,191",2.850988824E7,1.74,10/09/2020
PGF,ALL H,020002838,Allstate Corp/The,5.10,,08/08/2019,10/15/2024,BBB/Baa2,"1,014,908",2.800131172E7,1.70,10/09/2020
PGF,WFC X,94988U672,Wells Fargo & Co,5.50,,06/15/2016,09/15/2021,BB+/Baa2,"1,039,381",2.708626886E7,1.65,10/09/2020
PGF,USB M,902973833,US Bancorp,6.50,,01/23/2012,01/15/2022,BBB/A3,"998,234",2.666283014E7,1.62,10/09/2020
PGF,COF-PI,14040H824,Capital One Financial Corp,5.00,,09/11/2019,12/01/2024,BB/Baa3,"1,041,239",2.648912016E7,1.61,10/09/2020
PGF,JPM H,48127V827,JPMorgan Chase & Co,6.15,,07/29/2015,12/01/2020,BBB-/Baa2,"981,269",2.505179757E7,1.53,10/09/2020
