Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGHY,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"7,485,249",7485248.68,3.87,10/09/2020
PGHY,,QZ9685426,Credit Bank of Moscow Via CBOM Finance PLC,5.88,11/07/2021,11/07/2016,N/A,BB-/NR,"900,000",932050.8,0.48,10/09/2020
PGHY,,EK7373351,Turkiye Halk Bankasi AS,4.75,02/11/2021,02/11/2015,N/A,NA/B3u,"910,000",905272.55,0.47,10/09/2020
PGHY,,LW3161178,Hazine Mustesarligi Varlik Kiralama AS,4.25,06/08/2021,06/08/2016,N/A,NR/B2,"900,000",899460.0,0.46,10/09/2020
PGHY,,EI5454885,Eskom Holdings SOC Ltd,5.75,01/26/2021,01/26/2011,N/A,CCC+/Caa1,"900,000",890991.0,0.46,10/09/2020
PGHY,,EI6447722,Alfa Bank AO Via Alfa Bond Issuance PLC,7.75,04/28/2021,04/28/2011,N/A,BB+/Ba1,"800,000",827296.0,0.43,10/09/2020
PGHY,,AQ2182923,Fortune Star BVI Ltd,5.38,12/05/2020,12/05/2017,N/A,BB/Ba3,"800,000",802639.98,0.41,10/09/2020
PGHY,,AV3664753,Scenery Journey Ltd,11.00,11/06/2020,11/06/2018,N/A,B/B2,"800,000",802000.0,0.41,10/09/2020
PGHY,,AW4697842,Easy Tactic Ltd,8.75,01/10/2021,01/10/2019,N/A,NR/NR,"800,000",798000.0,0.41,10/09/2020
PGHY,,Y2029SAG9,Sri Lanka Government International Bond,6.25,07/27/2021,07/27/2011,N/A,B-/Caa1,"900,000",792000.0,0.41,10/09/2020
PGHY,,EI8520120,Centrais Eletricas Brasileiras SA,5.75,10/27/2021,10/27/2011,N/A,BB-/Ba2,"750,000",776250.0,0.40,10/09/2020
PGHY,,QJ1135525,Ukraine Government International Bond,7.75,09/01/2021,11/12/2015,N/A,B/B3u,"750,000",774842.25,0.40,10/09/2020
PGHY,,60937GAD8,Mongolia Government International Bond,10.88,04/06/2021,04/06/2016,N/A,B/B3,"730,000",757375.0,0.39,10/09/2020
PGHY,,88167AAC5,Teva Pharmaceutical Finance Netherlands III BV,2.20,07/21/2021,07/21/2016,N/A,BB-/Ba2,"750,000",745593.75,0.39,10/09/2020
PGHY,,AM1927178,Kernel Holding SA,8.75,01/31/2022,01/31/2017,N/A,B+/NR,"700,000",736400.0,0.38,10/09/2020
PGHY,,EJ0029565,Banco do Estado do Rio Grande do Sul SA,7.38,02/02/2022,02/02/2012,N/A,NA/B1,"700,000",732189.5,0.38,10/09/2020
PGHY,,85571BAP0,Starwood Property Trust Inc,3.62,02/01/2021,12/19/2018,11/09/2020,B+/Ba3,"725,000",725453.13,0.37,10/09/2020
PGHY,,JK3667736,GameStop Corp,6.75,03/15/2021,03/09/2016,11/09/2020,CCC+/Caa1,"715,000",719468.75,0.37,10/09/2020
PGHY,,EK7210769,Delhi International Airport Ltd,6.12,02/03/2022,02/03/2015,N/A,B+/Ba3,"700,000",719201.67,0.37,10/09/2020
PGHY,,JK8580462,Georgian Oil & Gas Corp JSC,6.75,04/26/2021,04/26/2016,N/A,BB-/NR,"700,000",712250.0,0.37,10/09/2020
