Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PGJ,874080104,TAL ,"208,525","16,552,714.50",8.352,TAL Education Group ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,01609W102,BABA ,"53,624","16,073,257.76",8.110,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,056752108,BIDU ,"123,548","15,627,586.52",7.885,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,47215P106,JD ,"195,757","15,619,451.03",7.881,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,64110W102,NTES ,"157,960","14,311,176.00",7.221,NetEase Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,647581107,EDU ,"52,447","8,920,710.23",4.501,New Oriental Education & Technology Group Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,89677Q107,TCOM ,"254,303","8,180,927.51",4.128,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,36165L108,GDS ,"92,384","8,003,225.92",4.038,GDS Holdings Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,090040106,BILI ,"151,409","7,331,223.78",3.699,Bilibili Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,722304102,PDD ,"86,663","6,893,175.02",3.478,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,98980A105,ZTO ,"229,877","6,875,621.07",3.469,ZTO Express Cayman Inc ADR,American Depository Receipt,Industrials,10/09/2020
PGJ,92763W103,VIPS ,"428,957","6,691,729.20",3.376,Vipshop Holdings Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,46267X108,IQ ,"278,261","6,658,785.73",3.360,iQIYI Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,44332N106,HTHT ,"132,512","5,908,710.08",2.981,Huazhu Group Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,05278C107,ATHM ,"54,343","5,407,671.93",2.728,Autohome Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,98887Q104,ZLAB ,"48,727","4,531,611.00",2.286,Zai Lab Ltd ADR,American Depository Receipt,Health Care,10/09/2020
PGJ,46591M109,YY ,"49,500","4,092,165.00",2.065,JOYY Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,G21515104,CBPO ,"34,128","3,841,447.68",1.938,China Biologic Products Holdings Inc,Common Stock,Health Care,10/09/2020
PGJ,16941M109,CHL ,"96,629","3,129,813.31",1.579,China Mobile Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,948596101,WB ,"65,974","2,720,108.02",1.372,Weibo Corp ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,316827104,JOBS ,"34,888","2,678,351.76",1.351,51job Inc ADR,American Depository Receipt,Industrials,10/09/2020
PGJ,G81477104,SINA ,"57,834","2,461,415.04",1.242,SINA Corp/China,Common Stock,Communication Services,10/09/2020
PGJ,136635109,CSIQ ,"52,224","2,173,562.88",1.097,Canadian Solar Inc,Common Stock,Information Technology,10/09/2020
PGJ,60879B107,MOMO ,"140,334","2,102,203.32",1.061,Momo Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,23703Q203,DQ ,"10,275","2,019,345.75",1.019,Daqo New Energy Corp ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,47759T100,JKS ,"31,137","1,956,649.08",0.987,JinkoSolar Holding Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,90138A103,VNET ,"71,803","1,653,623.09",0.834,21Vianet Group Inc ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,06684L103,BZUN ,"42,064","1,420,921.92",0.717,Baozun Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,88557W101,QFIN ,"91,153","1,143,970.15",0.577,360 DigiTech Inc ADR,American Depository Receipt,Financials,10/09/2020
PGJ,25985W105,DOYU ,"80,067","1,120,938.00",0.566,DouYu International Holdings Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,126132109,CEO ,"8,988","880,374.60",0.444,CNOOC Ltd ADR,American Depository Receipt,Energy,10/09/2020
PGJ,65487X102,NOAH ,"28,625","797,492.50",0.402,Noah Holdings Ltd ADR,American Depository Receipt,Financials,10/09/2020
PGJ,65481N100,NIU ,"28,046","758,644.30",0.383,Niu Technologies ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,83410S108,SOHU ,"35,410","694,744.20",0.351,Sohu.com Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,68248T105,OCFT ,"30,711","666,121.59",0.336,OneConnect Financial Technology Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,528877103,LX ,"95,234","663,780.98",0.335,LexinFintech Holdings Ltd ADR,American Depository Receipt,Financials,10/09/2020
PGJ,G45667105,HOLI ,"53,547","634,799.69",0.320,Hollysys Automation Technologies Ltd,Common Stock,Information Technology,10/09/2020
PGJ,83356Q108,SY ,"42,015","544,934.55",0.275,So-Young International Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,30712A103,FANH ,"29,332","481,631.44",0.243,Fanhua Inc ADR,American Depository Receipt,Financials,10/09/2020
PGJ,16941R108,SNP ,"11,183","457,161.04",0.231,China Petroleum & Chemical Corp ADR,American Depository Receipt,Energy,10/09/2020
PGJ,44331K103,HMI ,"28,605","390,458.25",0.197,Huami Corp ADR,American Depository Receipt,Information Technology,10/09/2020
PGJ,483709101,KNDI ,"48,296","360,046.68",0.182,Kandi Technologies Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PGJ,44975P103,IMAB ,"7,232","286,387.20",0.144,I-Mab ADR,American Depository Receipt,Health Care,10/09/2020
PGJ,74915J107,QTT ,"100,850","266,244.00",0.134,Qutoutiao Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,825252885,AGPXX ,"265,964","265,964.16",0.134,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PGJ,16954L105,COE ,"10,402","260,050.00",0.131,China Online Education Group ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,16939P106,LFC ,"22,038","258,726.12",0.131,China Life Insurance Co Ltd ADR,American Depository Receipt,Financials,10/09/2020
PGJ,G4418R101,HEBT ,"15,584","257,759.36",0.130,Hebron Technology Co Ltd,Common Stock,Industrials,10/09/2020
PGJ,91531W106,TIGR ,"49,154","257,075.42",0.130,Up Fintech Holding Ltd ADR,American Depository Receipt,Financials,10/09/2020
PGJ,747798106,QD ,"169,281","236,993.40",0.120,Qudian Inc ADR,American Depository Receipt,Financials,10/09/2020
PGJ,G63907102,NTP ,"34,289","198,876.20",0.100,Nam Tai Property Inc,Common Stock,Real Estate,10/09/2020
PGJ,16945R104,CHU ,"30,148","198,072.36",0.100,China Unicom Hong Kong Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
PGJ,16944W104,DL ,"19,850","186,987.00",0.094,China Distance Education Holdings Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PGJ,G6055H114,METX ,"47,139","185,727.66",0.094,Meten EdtechX Education Group Ltd,Common Stock,Consumer Discretionary,10/09/2020
