Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGX,C K,172967341,Citigroup Inc,6.88,,10/31/2013,11/15/2023,BB+/Ba1,"3,722,839",1.0472346107E8,1.61,10/09/2020
PGX,WFC Z,94988U151,Wells Fargo & Co,4.75,,01/27/2020,03/15/2025,BB+/Baa2,"3,561,332",9.01016996E7,1.39,10/09/2020
PGX,WFC Q,949746556,Wells Fargo & Co,5.85,,07/22/2013,09/15/2023,BB+/Baa2,"3,274,940",8.75718956E7,1.35,10/09/2020
PGX,JPM D,48128B655,JPMorgan Chase & Co,5.75,,09/21/2018,12/01/2023,BBB-/Baa2,"3,083,656",8.628069488E7,1.33,10/09/2020
PGX,BAC-PM,06053U601,Bank of America Corp,5.38,12/30/2049,06/25/2019,06/25/2024,BBB-/Baa3,"2,939,342",8.044979054E7,1.24,10/09/2020
PGX,PNC P,693475857,PNC Financial Services Group Inc/The,6.12,,04/24/2012,05/01/2022,BBB-/Baa2,"2,889,679",7.8021333E7,1.20,10/09/2020
PGX,T C,00206R706,AT&T Inc,4.75,,02/18/2020,02/18/2025,BB+/Ba1,"2,954,919",7.62369102E7,1.17,10/09/2020
PGX,JPM C,48128B648,JPMorgan Chase & Co,6.00,,01/24/2019,03/01/2024,BBB-/Baa2,"2,691,744",7.542266688E7,1.16,10/09/2020
PGX,BAC B,060505229,Bank of America Corp,6.00,,05/16/2018,05/16/2023,BBB-/Baa3,"2,692,941",7.507919508E7,1.16,10/09/2020
PGX,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"72,727,733",7.272773258E7,1.12,10/09/2020
PGX,COF-PI,14040H824,Capital One Financial Corp,5.00,,09/11/2019,12/01/2024,BB/Baa3,"2,791,856",7.102481664E7,1.09,10/09/2020
PGX,BAC N,06055H202,Bank of America Corp,5.00,,09/17/2019,09/17/2024,BBB-/Baa3,"2,607,250",6.945714E7,1.07,10/09/2020
PGX,TBB,00206R300,AT&T Inc,5.35,11/01/2066,10/27/2017,11/01/2022,BBB/Baa2,"2,318,276",6.291801064E7,0.97,10/09/2020
PGX,JPM G,48127X542,JPMorgan Chase & Co,6.10,,06/04/2015,12/01/2020,BBB-/Baa2,"2,432,803",6.206080453E7,0.96,10/09/2020
