Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PHB,,268648AN2,EMC Corp,3.38,06/01/2023,06/06/2013,03/01/2023,BB-/WR,"13,801,000",1.42495325E7,1.85,10/09/2020
PHB,,345370CR9,Ford Motor Co,4.35,12/08/2026,12/08/2016,09/08/2026,BB+/Ba2,"13,036,000",1.311499816E7,1.70,10/09/2020
PHB,,910047AJ8,United Airlines Holdings Inc,4.25,10/01/2022,09/29/2017,N/A,B/Ba3,"13,153,100",1.242704888E7,1.61,10/09/2020
PHB,,345370CV0,Ford Motor Co,8.50,04/21/2023,04/22/2020,N/A,BB+/Ba2,"10,400,000",1.1543532E7,1.50,10/09/2020
PHB,,55616XAH0,Macy's Retail Holdings LLC,2.88,02/15/2023,11/20/2012,11/15/2022,B/B1,"12,022,000",1.000903632E7,1.30,10/09/2020
PHB,,15135BAT8,Centene Corp,4.62,12/15/2029,05/06/2020,12/15/2024,BBB-/Ba1,"8,606,000",9376667.3,1.21,10/09/2020
PHB,,958102AM7,Western Digital Corp,4.75,02/15/2026,02/13/2018,11/15/2025,BB+/Baa3,"8,203,000",8793451.94,1.14,10/09/2020
PHB,,37247DAP1,Genworth Holdings Inc,7.62,09/24/2021,03/25/2011,N/A,B-/B3,"8,055,000",8155687.5,1.06,10/09/2020
PHB,,674599CW3,Occidental Petroleum Corp,2.90,08/15/2024,08/08/2019,07/15/2024,BB+/Ba2,"8,715,000",7695083.55,1.00,10/09/2020
PHB,,674599CS2,Occidental Petroleum Corp,3.50,08/15/2029,08/08/2019,05/15/2029,BB+/Ba2,"9,685,000",7618221.0,0.99,10/09/2020
PHB,,88033GCY4,Tenet Healthcare Corp,4.88,01/01/2026,08/26/2019,03/01/2022,BB-/B1,"7,290,000",7590639.6,0.98,10/09/2020
PHB,,037411BE4,Apache Corp,4.38,10/15/2028,08/23/2018,07/15/2028,BB+/Ba1,"7,890,000",7537474.8,0.98,10/09/2020
PHB,,655664AT7,Nordstrom Inc,4.38,04/01/2030,11/06/2019,01/01/2030,BB+/Baa3,"8,950,000",7424832.02,0.96,10/09/2020
PHB,,87612BBP6,Targa Resources Partners LP / Targa Resources Partners Finan,5.50,03/01/2030,11/27/2019,03/01/2025,BB/Ba3,"6,980,000",7126161.2,0.92,10/09/2020
PHB,,911365BG8,United Rentals North America Inc,4.88,01/15/2028,08/11/2017,01/15/2023,BB-/Ba3,"6,618,000",7106077.5,0.92,10/09/2020
PHB,,161175AY0,Charter Communications Operating LLC / Charter Communication,4.91,07/23/2025,12/01/2016,04/23/2025,BBB-/Ba1,"6,036,000",6999399.62,0.91,10/09/2020
PHB,,42809HAG2,Hess Corp,4.30,04/01/2027,09/28/2016,01/01/2027,BBB-/Ba1,"6,630,000",6953642.92,0.90,10/09/2020
PHB,,852060AD4,Sprint Capital Corp,6.88,11/15/2028,11/16/1998,N/A,BB/B1,"5,333,000",6869570.63,0.89,10/09/2020
