Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PHDG,825252885,AGPXX ,"36,600,290","36,600,289.92",19.288,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PHDG,ESZ0,,182,"31,607,030.00",16.657,CME E-Mini Standard & Poor's 500 Index Future,Index Future			     ,Index Futures,10/09/2020
PHDG,99CEFEEF5,,"16,347,172","16,347,172.34",8.615,Cash/Receivables/Payables,Currency,Cash,10/09/2020
PHDG,UXX0,,520,"15,093,000.00",7.954,CBOE Volatility Index Future,Index Future			     ,Index Futures,10/09/2020
PHDG,037833100,AAPL ,"47,107","5,510,105.79",2.904,Apple Inc,Common Stock,Information Technology,10/09/2020
PHDG,UXV0,,201,"5,401,875.00",2.847,CBOE Volatility Index Future,Index Future			     ,Index Futures,10/09/2020
PHDG,594918104,MSFT ,"22,176","4,785,802.56",2.522,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PHDG,023135106,AMZN ,"1,249","4,105,025.85",2.163,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PHDG,30303M102,FB ,"7,044","1,862,785.80",0.982,Facebook Inc,Common Stock,Communication Services,10/09/2020
PHDG,02079K305,GOOGL ,879,"1,327,685.55",0.700,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PHDG,02079K107,GOOG ,863,"1,307,634.86",0.689,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PHDG,084670702,BRK/B ,"5,807","1,252,453.76",0.660,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
PHDG,478160104,JNJ ,"7,715","1,164,733.55",0.614,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PHDG,742718109,PG ,"7,295","1,042,601.40",0.549,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
PHDG,92826C839,V ,"4,941","1,021,008.24",0.538,Visa Inc,Common Stock,Information Technology,10/09/2020
PHDG,67066G104,NVDA ,"1,808","995,322.08",0.525,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PHDG,91324P102,UNH ,"2,784","912,706.56",0.481,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PHDG,57636Q104,MA ,"2,586","911,280.54",0.480,Mastercard Inc,Common Stock,Information Technology,10/09/2020
PHDG,46625H100,JPM ,"8,929","903,614.80",0.476,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
PHDG,437076102,HD ,"3,156","902,363.52",0.476,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PHDG,92343V104,VZ ,"12,124","719,316.92",0.379,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
