Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PHO,030420103,AWK ,"618,130","96,273,747.50",8.274,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
PHO,235851102,DHR ,"423,155","95,658,419.30",8.221,Danaher Corp,Common Stock,Health Care,10/09/2020
PHO,278865100,ECL ,"443,304","90,061,640.64",7.740,Ecolab Inc,Common Stock,Materials,10/09/2020
PHO,776696106,ROP ,"204,514","84,748,556.46",7.283,Roper Technologies Inc,Common Stock,Industrials,10/09/2020
PHO,941848103,WAT ,"403,987","81,928,563.60",7.041,Waters Corp,Common Stock,Health Care,10/09/2020
PHO,831865209,AOS ,"892,040","51,015,767.60",4.384,A O Smith Corp,Common Stock,Industrials,10/09/2020
PHO,891092108,TTC ,"580,276","50,866,994.16",4.372,Toro Co/The,Common Stock,Industrials,10/09/2020
PHO,98419M100,XYL ,"544,814","49,354,700.26",4.242,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
PHO,G7S00T104,PNR ,"967,728","47,989,631.52",4.124,Pentair PLC,Common Stock,Industrials,10/09/2020
PHO,45167R104,IEX ,"242,380","46,151,575.80",3.966,IDEX Corp,Common Stock,Industrials,10/09/2020
PHO,00790R104,WMS ,"656,697","45,620,740.59",3.921,Advanced Drainage Systems Inc,Common Stock,Industrials,10/09/2020
PHO,29670G102,WTRG ,"1,027,840","42,799,257.60",3.678,Essential Utilities Inc,Common Stock,Utilities,10/09/2020
PHO,76169B102,RXN ,"1,296,671","41,428,638.45",3.560,Rexnord Corp,Common Stock,Industrials,10/09/2020
PHO,88162G103,TTEK ,"390,606","40,060,551.36",3.443,Tetra Tech Inc,Common Stock,Industrials,10/09/2020
PHO,465741106,ITRI ,"505,991","34,164,512.32",2.936,Itron Inc,Common Stock,Information Technology,10/09/2020
PHO,920253101,VMI ,"220,556","31,012,379.16",2.665,Valmont Industries Inc,Common Stock,Industrials,10/09/2020
PHO,029899101,AWR ,"377,113","28,913,253.71",2.485,American States Water Co,Common Stock,Utilities,10/09/2020
PHO,30057T105,AQUA ,"1,118,021","26,832,504.00",2.306,Evoqua Water Technologies Corp,Common Stock,Industrials,10/09/2020
PHO,942749102,WTS ,"243,796","26,195,880.20",2.251,Watts Water Technologies Inc,Common Stock,Industrials,10/09/2020
PHO,20441A102,SBS ,"3,005,471","24,584,752.78",2.113,Cia de Saneamento Basico do Estado de Sao Paulo ADR,American Depository Receipt,Utilities,10/09/2020
PHO,130788102,CWT ,"455,556","20,468,131.08",1.759,California Water Service Group,Common Stock,Utilities,10/09/2020
PHO,056525108,BMI ,"243,512","17,165,160.88",1.475,Badger Meter Inc,Common Stock,Information Technology,10/09/2020
PHO,353514102,FELE ,"265,168","16,610,123.52",1.427,Franklin Electric Co Inc,Common Stock,Industrials,10/09/2020
PHO,624758108,MWA ,"1,208,420","13,063,020.20",1.123,Mueller Water Products Inc,Common Stock,Industrials,10/09/2020
PHO,784305104,SJW ,"190,727","11,687,750.56",1.004,SJW Group,Common Stock,Utilities,10/09/2020
PHO,624756102,MLI ,"369,570","10,832,096.70",0.931,Mueller Industries Inc,Common Stock,Industrials,10/09/2020
PHO,535555106,LNN ,"95,809","10,198,868.05",0.876,Lindsay Corp,Common Stock,Industrials,10/09/2020
PHO,596680108,MSEX ,"91,750","5,897,690.00",0.507,Middlesex Water Co,Common Stock,Utilities,10/09/2020
PHO,987184108,YORW ,"83,304","3,630,388.32",0.312,York Water Co/The,Common Stock,Utilities,10/09/2020
PHO,383082104,GRC ,"110,114","3,608,435.78",0.310,Gorman-Rupp Co/The,Common Stock,Industrials,10/09/2020
PHO,29270J100,ERII ,"395,805","3,498,916.20",0.301,Energy Recovery Inc,Common Stock,Industrials,10/09/2020
PHO,00770F104,AEGN ,"184,762","2,861,963.38",0.246,Aegion Corp,Common Stock,Industrials,10/09/2020
PHO,667746101,NWPX ,"91,323","2,590,833.51",0.223,Northwest Pipe Co,Common Stock,Industrials,10/09/2020
PHO,043113208,ARTNA ,"64,861","2,257,811.41",0.194,Artesian Resources Corp,Common Stock,Utilities,10/09/2020
PHO,G23773107,CWCO ,"162,611","1,770,833.79",0.152,Consolidated Water Co Ltd,Common Stock,Utilities,10/09/2020
PHO,825252885,AGPXX ,"1,236,889","1,236,889.35",0.106,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PHO,379463102,GWRS ,"50,398","563,953.62",0.048,Global Water Resources Inc,Common Stock,Utilities,10/09/2020
