Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PID,G16249107,BPY ,"1,685,553","23,226,920.34",4.731,Brookfield Property Partners LP,Partnership Interest			     ,Real Estate,10/09/2020
PID,Y3262R100,HMLP ,"1,867,510","21,495,040.10",4.378,Hoegh LNG Partners LP,Common Stock,Energy,10/09/2020
PID,67011E204,NLMK ,"932,808","20,503,119.84",4.176,Novolipetsk Steel PJSC GDR,Global Depository Receipt			     ,Materials,10/09/2020
PID,Y2687W108,GLOP ,"5,026,733","17,694,100.16",3.604,GasLog Partners LP,Common Stock,Energy,10/09/2020
PID,29250N105,ENB ,"555,091","16,558,364.53",3.373,Enbridge Inc,Common Stock,Energy,10/09/2020
PID,706327103,PBA ,"726,983","16,175,371.75",3.295,Pembina Pipeline Corp,Common Stock,Energy,10/09/2020
PID,G2519Y108,BAP ,"124,940","15,806,159.40",3.220,Credicorp Ltd,Common Stock,Financials,10/09/2020
PID,59151K108,MEOH ,"545,434","15,004,889.34",3.056,Methanex Corp,Common Stock,Materials,10/09/2020
PID,064149107,BNS ,"346,036","14,872,627.28",3.029,Bank of Nova Scotia/The,Common Stock,Financials,10/09/2020
PID,636274409,NGG ,"233,253","14,144,461.92",2.881,National Grid PLC ADR,American Depository Receipt,Utilities,10/09/2020
PID,867224107,SU ,"1,067,126","13,723,240.36",2.795,Suncor Energy Inc,Common Stock,Energy,10/09/2020
PID,05534B760,BCE ,"314,249","13,333,585.07",2.716,BCE Inc,Common Stock,Communication Services,10/09/2020
PID,56501R106,MFC ,"901,323","13,240,434.87",2.697,Manulife Financial Corp,Common Stock,Financials,10/09/2020
PID,136385101,CNQ ,"733,772","13,119,843.36",2.672,Canadian Natural Resources Ltd,Common Stock,Energy,10/09/2020
PID,136069101,CM ,"164,528","12,729,531.36",2.593,Canadian Imperial Bank of Commerce,Common Stock,Financials,10/09/2020
PID,063671101,BMO ,"187,592","11,688,857.52",2.381,Bank of Montreal,Common Stock,Financials,10/09/2020
PID,G16252101,BIP ,"242,614","11,463,511.50",2.335,Brookfield Infrastructure Partners LP,Partnership Interest			     ,Utilities,10/09/2020
PID,015857105,AQN ,"730,253","11,428,459.45",2.328,Algonquin Power & Utilities Corp,Common Stock,Utilities,10/09/2020
PID,87971M103,TU ,"614,620","11,290,569.40",2.300,TELUS Corp,Common Stock,Communication Services,10/09/2020
PID,87807B107,TRP ,"255,056","11,166,351.68",2.274,TC ENERGY CORP,Common Stock,Energy,10/09/2020
PID,059460303,BBD ,"2,871,555","10,768,331.25",2.193,Banco Bradesco SA ADR,American Depository Receipt,Financials,10/09/2020
PID,G16258108,BEP ,"199,961","10,445,962.64",2.128,Brookfield Renewable Partners LP,Partnership Interest			     ,Utilities,10/09/2020
PID,891160509,TD ,"219,494","10,289,878.72",2.096,Toronto-Dominion Bank/The,Common Stock,Financials,10/09/2020
PID,780087102,RY ,"131,836","9,776,957.76",1.991,Royal Bank of Canada,Common Stock,Financials,10/09/2020
PID,866796105,SLF ,"226,316","9,582,219.44",1.952,Sun Life Financial Inc,Common Stock,Financials,10/09/2020
PID,05968L102,CIB ,"345,024","9,084,481.92",1.850,Bancolombia SA ADR,American Depository Receipt,Financials,10/09/2020
PID,349553107,FTS ,"213,822","8,935,621.38",1.820,Fortis Inc/Canada,Common Stock,Utilities,10/09/2020
PID,66987V109,NVS ,"100,458","8,879,482.62",1.809,Novartis AG ADR,American Depository Receipt,Health Care,10/09/2020
PID,559222401,MGA ,"159,610","8,456,137.80",1.722,Magna International Inc,Common Stock,Consumer Discretionary,10/09/2020
PID,000375204,ABB ,"305,828","8,211,481.80",1.673,ABB Ltd ADR,American Depository Receipt,Industrials,10/09/2020
PID,80105N105,SNY ,"160,077","8,133,512.37",1.657,Sanofi ADR,American Depository Receipt,Health Care,10/09/2020
PID,904784709,UN ,"130,179","8,127,074.97",1.655,Unilever NV,American Depository Receipt - NY,Consumer Staples,10/09/2020
PID,453038408,IMO ,"587,088","7,397,308.80",1.507,Imperial Oil Ltd,Common Stock,Energy,10/09/2020
PID,02364W105,AMX ,"562,162","7,291,241.14",1.485,America Movil SAB de CV ADR,American Depository Receipt,Communication Services,10/09/2020
PID,25243Q205,DEO ,"47,633","6,727,208.59",1.370,Diageo PLC ADR,American Depository Receipt,Consumer Staples,10/09/2020
PID,759530108,RELX ,"270,281","5,965,101.67",1.215,RELX PLC ADR,American Depository Receipt,Industrials,10/09/2020
PID,456788108,INFY ,"362,766","5,514,043.20",1.123,Infosys Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PID,874039100,TSM ,"60,653","5,384,773.34",1.097,Taiwan Semiconductor Manufacturing Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PID,G02602103,DOX ,"78,740","4,677,156.00",0.953,Amdocs Ltd,Common Stock,Information Technology,10/09/2020
PID,74435K204,PUK ,"145,145","4,405,150.75",0.897,Prudential PLC ADR,American Depository Receipt,Financials,10/09/2020
PID,358029106,FMS ,"96,185","4,152,306.45",0.846,Fresenius Medical Care AG & Co KGaA ADR,American Depository Receipt,Health Care,10/09/2020
PID,136375102,CNI ,"36,746","4,041,692.54",0.823,Canadian National Railway Co,Common Stock,Industrials,10/09/2020
PID,767744105,RBA ,"57,841","3,775,282.07",0.769,Ritchie Bros Auctioneers Inc,Common Stock,Industrials,10/09/2020
