Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PIE,BMMV2K8,700 HK,"68,304","4,754,809.07",3.064,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
PIE,B0MP1B0,2313 HK,"265,800","4,643,753.27",2.992,Shenzhou International Group Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIE,874080104,TAL ,"56,228","4,463,378.64",2.876,TAL Education Group ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PIE,BD9GZX7,1579 HK,"268,666","4,211,962.37",2.714,Yihai International Holding Ltd,Common Stock,Consumer Staples,10/09/2020
PIE,B1YVKN8,2020 HK,"370,152","4,105,078.60",2.645,ANTA Sports Products Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIE,6349354,3023 TT,"610,000","3,795,357.11",2.446,Sinbon Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,647581107,EDU ,"20,079","3,415,237.11",2.201,New Oriental Education & Technology Group Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PIE,6889106,2330 TT,"205,680","3,247,692.15",2.093,Taiwan Semiconductor Manufacturing Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,6133450,2377 TT,"710,000","3,180,138.73",2.049,Micro-Star International Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,B96HCH8,6409 TT,"88,731","3,092,857.89",1.993,Voltronic Power Technology Corp,Common Stock,Industrials,10/09/2020
PIE,B01JCK9,2331 HK,"598,071","2,913,165.75",1.877,Li Ning Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIE,6202673,2395 TT,"265,000","2,729,530.48",1.759,Advantech Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,B29SHS5,285 HK,"464,000","2,499,596.78",1.611,BYD Electronic International Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,B1FFT76,IMP ,"255,755","2,479,840.95",1.598,Impala Platinum Holdings Ltd,Common Stock,Materials,10/09/2020
PIE,44332N106,HTHT ,"54,985","2,451,781.15",1.580,Huazhu Group Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PIE,B00G234,QLG ,"1,025,900","2,435,768.38",1.570,QL Resources Bhd,Common Stock,Consumer Staples,10/09/2020
PIE,BGQYNN1,968 HK,"1,333,300","2,350,033.61",1.514,Xinyi Solar Holdings Ltd,Common Stock,Information Technology,10/09/2020
PIE,B01C1P6,BBCA IJ,"1,125,246","2,210,304.64",1.424,Bank Central Asia Tbk PT,Common Stock,Financials,10/09/2020
PIE,BZ3C3R5,2269 HK,"82,300","2,151,467.41",1.386,Wuxi Biologics Cayman Inc,Common Stock,Health Care,10/09/2020
PIE,92932M101,WNS ,"30,721","2,065,372.83",1.331,WNS Holdings Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PIE,6051422,2379 TT,"155,000","2,055,753.08",1.325,Realtek Semiconductor Corp,Common Stock,Information Technology,10/09/2020
PIE,BGJW376,3690 HK,"57,141","1,990,705.87",1.283,Meituan Dianping,Common Stock,Consumer Discretionary,10/09/2020
PIE,47759T100,JKS ,"30,741","1,931,764.44",1.245,JinkoSolar Holding Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
PIE,BH6X937,3380 HK,"1,188,000","1,870,129.87",1.205,Logan Group Co Ltd,Common Stock,Real Estate,10/09/2020
PIE,BDQZP48,6098 HK,"274,030","1,852,784.43",1.194,Country Garden Services Holdings Co Ltd,Common Stock,Industrials,10/09/2020
PIE,6515144,1229 TT,"1,312,753","1,839,474.04",1.185,Lien Hwa Industrial Holdings Corp,Common Stock,Consumer Staples,10/09/2020
PIE,6290991,3036 TT,"1,406,000","1,837,812.40",1.184,WT Microelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,6972459,291 HK,"302,211","1,828,852.19",1.179,China Resources Beer Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
PIE,6433912,2884 TT,"2,049,821","1,811,250.39",1.167,E.Sun Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
PIE,38059T106,GFI ,"136,676","1,800,022.92",1.160,Gold Fields Ltd ADR,American Depository Receipt,Materials,10/09/2020
PIE,6575159,2809 TT,"1,296,000","1,707,581.30",1.100,King's Town Bank Co Ltd,Common Stock,Financials,10/09/2020
PIE,6350260,NHM ,"152,343","1,615,195.07",1.041,Northam Platinum Ltd,Common Stock,Materials,10/09/2020
PIE,B52J816,1590 TT,"69,000","1,558,506.74",1.004,Airtac International Group,Common Stock,Industrials,10/09/2020
PIE,BSM67Z5,CBG-R TB,"401,251","1,556,062.29",1.003,Carabao Group PCL,Generic Receipt,Consumer Staples,10/09/2020
PIE,B41XC98,1313 HK,"1,115,677","1,546,102.41",0.996,China Resources Cement Holdings Ltd,Common Stock,Materials,10/09/2020
PIE,2945422,WEGE3 ,"109,200","1,519,177.23",0.979,WEG SA,Common Stock,Industrials,10/09/2020
PIE,2196286,VALE3 ,"127,100","1,416,399.37",0.913,Vale SA,Common Stock,Materials,10/09/2020
PIE,6536651,1211 HK,"88,000","1,389,823.29",0.896,BYD Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIE,BGR6KX5,1801 HK,"177,060","1,387,912.98",0.894,Innovent Biologics Inc,Common Stock,Health Care,10/09/2020
PIE,6241513,2458 TT,"271,000","1,379,134.86",0.889,Elan Microelectronics Corp,Common Stock,Information Technology,10/09/2020
PIE,6384344,1210 TT,"883,700","1,372,262.37",0.884,Great Wall Enterprise Co Ltd,Common Stock,Consumer Staples,10/09/2020
PIE,6129181,2376 TT,"507,000","1,364,299.91",0.879,Gigabyte Technology Co Ltd,Common Stock,Information Technology,10/09/2020
PIE,01609W102,BABA ,"4,543","1,361,718.82",0.878,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PIE,6519481,2301 TT,"806,000","1,282,508.98",0.826,Lite-On Technology Corp,Common Stock,Information Technology,10/09/2020
PIE,6916628,2303 TT,"1,130,000","1,268,290.98",0.817,United Microelectronics Corp,Common Stock,Information Technology,10/09/2020
PIE,B544N70,1157 HK,"1,220,600","1,231,616.83",0.794,Zoomlion Heavy Industry Science and Technology Co Ltd,Common Stock,Industrials,10/09/2020
