Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PIN,6205122,INFO ,"654,115","9,897,798.65",10.351,Infosys Ltd,Common Stock,Information Technology,10/09/2020
PIN,6099626,RIL ,"289,200","8,830,593.21",9.235,Reliance Industries Ltd,Common Stock,Energy,10/09/2020
PIN,6171900,HDFC ,"314,956","8,429,470.41",8.815,Housing Development Finance Corp Ltd,Common Stock,Financials,10/09/2020
PIN,B01NPJ1,TCS ,"170,648","6,562,639.85",6.863,Tata Consultancy Services Ltd,Common Stock,Information Technology,10/09/2020
PIN,6261674,HUVR ,"161,430","4,722,177.86",4.938,Hindustan Unilever Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,6294896,HCLT ,"197,604","2,311,841.18",2.418,HCL Technologies Ltd,Common Stock,Information Technology,10/09/2020
PIN,6633712,MSIL ,"22,527","2,175,058.92",2.275,Maruti Suzuki India Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6442327,BHARTI ,"313,806","1,824,189.09",1.908,Bharti Airtel Ltd,Common Stock,Communication Services,10/09/2020
PIN,BCRWL65,APNT ,"59,836","1,677,485.84",1.754,Asian Paints Ltd,Common Stock,Materials,10/09/2020
PIN,BD2N0P2,BAF ,"35,202","1,596,783.32",1.670,Bajaj Finance Ltd,Common Stock,Financials,10/09/2020
PIN,BSZ2BY7,ICICIBC ,"282,543","1,550,905.93",1.622,ICICI Bank Ltd,Common Stock,Financials,10/09/2020
PIN,6582483,SUNP ,"197,985","1,388,290.47",1.452,Sun Pharmaceutical Industries Ltd,Common Stock,Health Care,10/09/2020
PIN,B0JGGP5,ITC ,"537,258","1,232,876.55",1.289,ITC Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,B01GZF6,UTCEM ,"20,836","1,224,423.00",1.280,UltraTech Cement Ltd,Common Stock,Materials,10/09/2020
PIN,6206051,WPRO ,"239,328","1,223,715.52",1.280,Wipro Ltd,Common Stock,Information Technology,10/09/2020
PIN,6410959,DRRD ,"16,588","1,168,609.80",1.222,Dr Reddy's Laboratories Ltd,Common Stock,Health Care,10/09/2020
PIN,BWFGD63,TECHM ,"90,693","1,059,066.59",1.108,Tech Mahindra Ltd,Common Stock,Information Technology,10/09/2020
PIN,6100186,MM ,"121,460","1,051,452.21",1.100,Mahindra & Mahindra Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6128605,NEST ,"4,795","1,051,110.94",1.099,Nestle India Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,B0166K8,LT ,"77,339","960,538.86",1.005,Larsen & Toubro Ltd,Common Stock,Industrials,10/09/2020
PIN,6327327,HMCL ,"19,312","878,511.84",0.919,Hero MotoCorp Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6099723,BPCL ,"182,368","860,167.61",0.900,Bharat Petroleum Corp Ltd,Common Stock,Energy,10/09/2020
PIN,B233HS6,PWGR ,"357,363","771,937.30",0.807,Power Grid Corp of India Ltd,Common Stock,Utilities,10/09/2020
PIN,B011108,CIPLA ,"67,301","738,981.45",0.773,Cipla Ltd/India,Common Stock,Health Care,10/09/2020
PIN,BMW4CV8,EIM ,"24,366","738,841.61",0.773,Eicher Motors Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6602518,DIVI ,"16,679","727,404.61",0.761,Divi's Laboratories Ltd,Common Stock,Health Care,10/09/2020
PIN,BZBYJJ7,JSTL ,"181,737","725,506.92",0.759,JSW Steel Ltd,Common Stock,Materials,10/09/2020
PIN,6297356,DABUR ,"96,542","685,145.29",0.717,Dabur India Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,BGSQG47,BRIT ,"13,288","680,359.41",0.712,Britannia Industries Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,B28XXH2,ADSEZ ,"138,603","676,860.91",0.708,Adani Ports & Special Economic Zone Ltd,Common Stock,Industrials,10/09/2020
PIN,B0L0W35,UPLL ,"97,678","664,095.56",0.694,UPL Ltd,Common Stock,Materials,10/09/2020
PIN,B1BDGY0,GCPL ,"66,363","653,105.55",0.683,Godrej Consumer Products Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,B2QKXW0,BJAUT ,"15,019","628,274.47",0.657,Bajaj Auto Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,BYQKH33,GRASIM ,"61,372","625,172.97",0.654,Grasim Industries Ltd,Common Stock,Materials,10/09/2020
PIN,BYXH7P9,ICICIGI ,"36,482","622,231.45",0.651,ICICI Lombard General Insurance Co Ltd,Common Stock,Financials,10/09/2020
PIN,B037HF1,NTPC ,"530,200","600,910.25",0.628,NTPC Ltd,Common Stock,Utilities,10/09/2020
PIN,6143761,LPC ,"41,208","579,824.64",0.606,Lupin Ltd,Common Stock,Health Care,10/09/2020
PIN,B1685L0,INFOE ,"12,229","577,953.79",0.604,Info Edge India Ltd,Common Stock,Communication Services,10/09/2020
PIN,B2QKWK1,BJFIN ,"6,946","561,719.59",0.587,Bajaj Finserv Ltd,Common Stock,Financials,10/09/2020
PIN,6702634,ARBP ,"48,274","550,783.60",0.576,Aurobindo Pharma Ltd,Common Stock,Health Care,10/09/2020
PIN,6139362,ONGC ,"549,848","528,461.47",0.553,Oil & Natural Gas Corp Ltd,Common Stock,Energy,10/09/2020
PIN,6100357,SRCM ,"1,798","521,086.92",0.545,Shree Cement Ltd,Common Stock,Materials,10/09/2020
PIN,6136040,VEDL ,"291,837","486,162.26",0.508,Vedanta Ltd,Common Stock,Materials,10/09/2020
PIN,B0JJV59,PIDI ,"23,575","474,465.21",0.496,Pidilite Industries Ltd,Common Stock,Materials,10/09/2020
PIN,B4Z9XF5,COAL ,"284,203","446,440.97",0.467,Coal India Ltd,Common Stock,Energy,10/09/2020
PIN,B0GWF48,HNDL ,"186,602","433,691.16",0.454,Hindalco Industries Ltd,Common Stock,Materials,10/09/2020
PIN,6253767,IOCL ,"414,363","433,368.92",0.453,Indian Oil Corp Ltd,Common Stock,Energy,10/09/2020
PIN,B1S34K5,MRCO ,"85,247","430,459.76",0.450,Marico Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,BQGZWP9,HAVL ,"43,741","424,702.42",0.444,Havells India Ltd,Common Stock,Industrials,10/09/2020
PIN,B3PRM66,JUBI ,"13,183","414,873.85",0.434,Jubilant Foodworks Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6188535,Z ,"151,036","414,112.65",0.433,Zee Entertainment Enterprises Ltd,Common Stock,Communication Services,10/09/2020
PIN,B09QQ11,ACEM ,"124,929","408,801.10",0.428,Ambuja Cements Ltd,Common Stock,Materials,10/09/2020
PIN,B92P9G4,BHIN ,"156,443","398,887.41",0.417,Bharti Infratel Ltd,Common Stock,Communication Services,10/09/2020
PIN,6741251,BIOS ,"59,390","366,919.69",0.384,Biocon Ltd,Common Stock,Health Care,10/09/2020
PIN,6101156,TATA ,"71,125","359,295.75",0.376,Tata Steel Ltd,Common Stock,Materials,10/09/2020
PIN,B058J56,PIEL ,"19,688","355,242.63",0.372,Piramal Enterprises Ltd,Common Stock,Health Care,10/09/2020
PIN,BV8TBJ1,BRGR ,"42,450","349,721.38",0.366,Berger Paints India Ltd,Common Stock,Materials,10/09/2020
PIN,-IndiaRupee-,-IndiaRupe,"24,974,744","341,441.58",0.357,Cash/Receivables/Payables,Currency,Cash,10/09/2020
PIN,BYXL8H0,IPRU ,"58,111","341,261.60",0.357,ICICI Prudential Life Insurance Co Ltd,Common Stock,Financials,10/09/2020
PIN,BD9PXD0,IGL ,"63,740","332,446.65",0.348,Indraprastha Gas Ltd,Common Stock,Utilities,10/09/2020
PIN,BYYZ7D0,INDIGO ,"17,519","327,458.84",0.342,InterGlobe Aviation Ltd,Common Stock,Industrials,10/09/2020
PIN,B992PT3,PI ,"11,585","320,078.29",0.335,PI Industries Ltd,Common Stock,Materials,10/09/2020
PIN,B00KT68,PLNG ,"105,853","315,699.39",0.330,Petronet LNG Ltd,Common Stock,Energy,10/09/2020
PIN,6743990,MSS ,"184,423","305,333.59",0.319,Motherson Sumi Systems Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,6139696,CLGT ,"14,959","299,169.77",0.313,Colgate-Palmolive India Ltd,Common Stock,Consumer Staples,10/09/2020
PIN,6802608,SHTF ,"33,973","297,765.95",0.311,Shriram Transport Finance Co Ltd,Common Stock,Financials,10/09/2020
PIN,B0XPSB8,TRP ,"7,739","296,218.17",0.310,Torrent Pharmaceuticals Ltd,Common Stock,Health Care,10/09/2020
PIN,BKPFMG9,SBICARD ,"24,937","290,008.33",0.303,SBI Cards & Payment Services Ltd,Common Stock,Financials,10/09/2020
PIN,6388788,BIL ,"14,682","282,389.39",0.295,Balkrishna Industries Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,BG0R3M5,HDFCAMC ,"8,715","282,116.03",0.295,HDFC Asset Management Co Ltd,Common Stock,Financials,10/09/2020
PIN,6100476,HPCL ,"117,141","281,862.27",0.295,Hindustan Petroleum Corp Ltd,Common Stock,Energy,10/09/2020
PIN,BF1YBK2,AUBANK ,"27,233","275,885.61",0.289,AU Small Finance Bank Ltd,Common Stock,Financials,10/09/2020
PIN,B40MFF3,MUTH ,"17,529","273,785.03",0.286,Muthoot Finance Ltd,Common Stock,Financials,10/09/2020
PIN,B15T569,SIEM ,"15,565","273,241.35",0.286,Siemens Ltd,Common Stock,Industrials,10/09/2020
PIN,6133405,GAIL ,"230,135","269,636.61",0.282,GAIL India Ltd,Common Stock,Utilities,10/09/2020
PIN,BYM8TG8,CDH ,"44,745","267,937.79",0.280,Cadila Healthcare Ltd,Common Stock,Health Care,10/09/2020
PIN,6151593,MPHL ,"14,123","267,158.23",0.279,Mphasis Ltd,Common Stock,Information Technology,10/09/2020
PIN,B1VJS64,PAG ,931,"266,782.51",0.279,Page Industries Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIN,BJH4V15,EMBASSY ,"54,000","265,736.55",0.278,Embassy Office Parks REIT,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PIN,6433473,IPCA ,"9,137","263,054.91",0.275,Ipca Laboratories Ltd,Common Stock,Health Care,10/09/2020
PIN,B01NFV3,BOS ,"1,362","237,184.82",0.248,Bosch Ltd,Common Stock,Consumer Discretionary,10/09/2020
