Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PIO,235851102,DHR ,"81,371","18,394,728.26",8.451,Danaher Corp,Common Stock,Health Care,10/09/2020
PIO,278865100,ECL ,"85,248","17,318,983.68",7.957,Ecolab Inc,Common Stock,Materials,10/09/2020
PIO,B1WGG93,GEBN SW,"26,333","15,741,455.52",7.232,Geberit AG,Common Stock,Industrials,10/09/2020
PIO,G7S00T104,PNR ,"254,622","12,626,704.98",5.801,Pentair PLC,Common Stock,Industrials,10/09/2020
PIO,B1YCHL8,SBSP3 ,"1,229,641","10,065,987.40",4.625,Cia de Saneamento Basico do Estado de Sao Paulo,Common Stock,Utilities,10/09/2020
PIO,030420103,AWK ,"59,434","9,256,845.50",4.253,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
PIO,BJVNSS4,FERG LN,"85,057","8,897,636.00",4.088,Ferguson PLC,Common Stock,Industrials,10/09/2020
PIO,776696106,ROP ,"19,663","8,148,150.57",3.744,Roper Technologies Inc,Common Stock,Industrials,10/09/2020
PIO,941848103,WAT ,"38,843","7,877,360.40",3.619,Waters Corp,Common Stock,Health Care,10/09/2020
PIO,98419M100,XYL ,"86,270","7,815,199.30",3.591,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
PIO,4031879,VIE FP,"347,721","7,702,776.58",3.539,Veolia Environnement SA,Common Stock,Utilities,10/09/2020
PIO,B3B8D04,SEV FP,"359,325","6,749,936.20",3.101,Suez SA,Common Stock,Utilities,10/09/2020
PIO,0405207,HLMA LN,"198,045","6,301,615.52",2.895,Halma PLC,Common Stock,Information Technology,10/09/2020
PIO,45167R104,IEX ,"32,881","6,260,871.21",2.877,IDEX Corp,Common Stock,Industrials,10/09/2020
PIO,B39J2M4,UU/ LN,"475,485","5,481,974.96",2.519,United Utilities Group PLC,Common Stock,Utilities,10/09/2020
PIO,831865209,AOS ,"93,775","5,362,992.25",2.464,A O Smith Corp,Common Stock,Industrials,10/09/2020
PIO,B1FH8J7,SVT LN,"159,619","5,137,026.81",2.360,Severn Trent PLC,Common Stock,Utilities,10/09/2020
PIO,6897466,5332 JP,"100,144","4,649,153.57",2.136,TOTO Ltd,Common Stock,Industrials,10/09/2020
PIO,6913168,270 HK,"2,828,884","4,475,083.11",2.056,Guangdong Investment Ltd,Common Stock,Utilities,10/09/2020
PIO,29670G102,WTRG ,"105,239","4,382,151.96",2.013,Essential Utilities Inc,Common Stock,Utilities,10/09/2020
PIO,BWFGQN1,SPX LN,"29,192","4,257,290.77",1.956,Spirax-Sarco Engineering PLC,Common Stock,Industrials,10/09/2020
PIO,6597777,6005 JP,"82,908","3,994,148.12",1.835,Miura Co Ltd,Common Stock,Industrials,10/09/2020
PIO,6173401,021240 KS,"56,911","3,962,673.57",1.821,Coway Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
PIO,891092108,TTC ,"43,745","3,834,686.70",1.762,Toro Co/The,Common Stock,Industrials,10/09/2020
PIO,B18V863,PNN LN,"255,011","3,361,038.41",1.544,Pennon Group PLC,Common Stock,Utilities,10/09/2020
PIO,5579107,ANA ,"28,669","3,266,855.21",1.501,Acciona SA,Common Stock,Utilities,10/09/2020
