Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PIZ,BKPNC96,BYD ,"32,281","5,134,926.59",3.117,Boyd Group Services Inc,Common Stock,Industrials,10/09/2020
PIZ,6041995,RHC ,"94,209","4,694,094.89",2.849,Ramsay Health Care Ltd,Common Stock,Health Care,10/09/2020
PIZ,B09M9D2,KNEBV FH,"50,703","4,406,466.64",2.675,Kone Oyj,Common Stock,Industrials,10/09/2020
PIZ,BX8ZX20,RBREW DC,"41,227","4,272,411.10",2.593,Royal Unibrew A/S,Common Stock,Consumer Staples,10/09/2020
PIZ,5633962,NEM ,"54,306","4,141,514.36",2.514,Nemetschek SE,Common Stock,Information Technology,10/09/2020
PIZ,BLN8T44,ADDTB SS,"289,824","4,088,808.79",2.482,AddTech AB,Common Stock,Industrials,10/09/2020
PIZ,B15C4L6,CSU ,"3,401","3,919,908.52",2.379,Constellation Software Inc/Canada,Common Stock,Information Technology,10/09/2020
PIZ,BD4G349,KL ,"75,453","3,858,676.01",2.342,Kirkland Lake Gold Ltd,Common Stock,Materials,10/09/2020
PIZ,B0LC9F2,BALDB SS,"67,482","3,596,214.62",2.183,Fastighets AB Balder,Common Stock,Real Estate,10/09/2020
PIZ,BWFGQN1,SPX LN,"22,142","3,229,135.80",1.960,Spirax-Sarco Engineering PLC,Common Stock,Industrials,10/09/2020
PIZ,2141941,DSG ,"53,556","3,059,760.36",1.857,Descartes Systems Group Inc/The,Common Stock,Information Technology,10/09/2020
PIZ,B142S60,KNIN SW,"15,093","2,996,416.58",1.819,Kuehne + Nagel International AG,Common Stock,Industrials,10/09/2020
PIZ,6806116,019170 KS,"23,482","2,850,622.15",1.730,Shin Poong Pharmaceutical Co Ltd,Common Stock,Health Care,10/09/2020
PIZ,BHC8X90,NOVOB DC,"39,530","2,847,753.94",1.729,Novo Nordisk A/S,Common Stock,Health Care,10/09/2020
PIZ,4501093,GN DC,"35,239","2,847,426.44",1.728,GN Store Nord A/S,Common Stock,Health Care,10/09/2020
PIZ,6287250,ATM ,"269,278","2,791,891.24",1.695,a2 Milk Co Ltd/The,Common Stock,Consumer Staples,10/09/2020
PIZ,B929F46,ASML ,"7,051","2,733,204.04",1.659,ASML Holding NV,Common Stock,Information Technology,10/09/2020
PIZ,0371847,GAW LN,"19,742","2,689,236.74",1.632,Games Workshop Group PLC,Common Stock,Consumer Discretionary,10/09/2020
PIZ,BJFFLV0,CRDA LN,"31,300","2,569,585.45",1.560,Croda International PLC,Common Stock,Materials,10/09/2020
PIZ,BK8VQD9,WDP ,"65,098","2,338,063.70",1.419,Warehouses De Pauw CVA,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PIZ,2180632,CNR ,"21,055","2,315,256.50",1.405,Canadian National Railway Co,Common Stock,Industrials,10/09/2020
PIZ,4152952,BEAN SW,283,"2,281,507.07",1.385,Belimo Holding AG,Common Stock,Industrials,10/09/2020
PIZ,6647133,NICE ,"9,381","2,180,613.80",1.324,Nice Ltd,Common Stock,Information Technology,10/09/2020
PIZ,5226038,SAMPO FH,"51,237","2,159,244.95",1.311,Sampo Oyj,Common Stock,Financials,10/09/2020
PIZ,B1WGG93,GEBN SW,"3,413","2,040,238.02",1.238,Geberit AG,Common Stock,Industrials,10/09/2020
PIZ,5165294,ASM ,"12,721","2,013,163.65",1.222,ASM International NV,Common Stock,Information Technology,10/09/2020
PIZ,BGDT3G2,RMV LN,"228,362","1,985,759.10",1.205,Rightmove PLC,Common Stock,Communication Services,10/09/2020
PIZ,4031976,ADS ,"5,764","1,923,789.43",1.168,adidas AG,Common Stock,Consumer Discretionary,10/09/2020
PIZ,BSTJWN0,196170 KS,"11,619","1,824,583.48",1.107,Alteogen Inc,Common Stock,Health Care,10/09/2020
PIZ,B679Q36,096530 KS,"6,969","1,794,747.89",1.089,Seegene Inc,Common Stock,Health Care,10/09/2020
PIZ,5932409,BC8 ,"8,475","1,773,263.92",1.076,Bechtle AG,Common Stock,Information Technology,10/09/2020
PIZ,6250025,6383 JP,"16,816","1,761,895.98",1.069,Daifuku Co Ltd,Common Stock,Industrials,10/09/2020
PIZ,4491235,KSP ,"17,447","1,576,875.14",0.957,Kingspan Group PLC,Common Stock,Industrials,10/09/2020
PIZ,2011646,ATD/B ,"45,101","1,553,442.64",0.943,Alimentation Couche-Tard Inc,Common Stock,Consumer Staples,10/09/2020
PIZ,B11TCY0,SCHP SW,"5,614","1,514,800.92",0.919,Schindler Holding AG,Common Stock,Industrials,10/09/2020
PIZ,BD6FXN3,REE ,"78,090","1,461,388.58",0.887,Red Electrica Corp SA,Common Stock,Utilities,10/09/2020
PIZ,4824778,SGSN SW,533,"1,426,478.01",0.866,SGS SA,Common Stock,Industrials,10/09/2020
PIZ,BYX91H5,JD/ LN,"139,652","1,424,566.61",0.865,JD Sports Fashion PLC,Common Stock,Consumer Discretionary,10/09/2020
PIZ,BYYT1T6,NIBEB SS,"52,393","1,410,952.18",0.856,Nibe Industrier AB,Common Stock,Industrials,10/09/2020
PIZ,BJXSCH4,EVO SS,"16,109","1,385,945.09",0.841,Evolution Gaming Group AB,Common Stock,Consumer Discretionary,10/09/2020
PIZ,5972643,ERF FP,"1,662","1,379,603.46",0.837,Eurofins Scientific SE,Common Stock,Health Care,10/09/2020
PIZ,B06YV46,NESTE FH,"24,367","1,364,569.04",0.828,Neste Oyj,Common Stock,Energy,10/09/2020
PIZ,B0190C7,669 HK,"98,959","1,357,325.66",0.824,Techtronic Industries Co Ltd,Common Stock,Industrials,10/09/2020
PIZ,5980613,GIVN SW,305,"1,333,810.46",0.810,Givaudan SA,Common Stock,Materials,10/09/2020
