Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PJP,532457108,LLY ,"112,382","17,630,488.16",5.219,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
PJP,G30401106,ENDP ,"3,323,385","16,550,457.30",4.900,Endo International PLC,Common Stock,Health Care,10/09/2020
PJP,478160104,JNJ ,"109,437","16,521,703.89",4.891,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PJP,002824100,ABT ,"150,432","16,494,868.80",4.883,Abbott Laboratories,Common Stock,Health Care,10/09/2020
PJP,375558103,GILD ,"255,401","16,304,799.84",4.827,Gilead Sciences Inc,Common Stock,Health Care,10/09/2020
PJP,717081103,PFE ,"442,197","16,268,427.63",4.816,Pfizer Inc,Common Stock,Health Care,10/09/2020
PJP,58933Y105,MRK ,"195,078","15,676,468.08",4.641,Merck & Co Inc,Common Stock,Health Care,10/09/2020
PJP,031162100,AMGN ,"66,222","15,674,747.40",4.640,Amgen Inc,Common Stock,Health Care,10/09/2020
PJP,00287Y109,ABBV ,"177,534","15,569,731.80",4.609,AbbVie Inc,Common Stock,Health Care,10/09/2020
PJP,218352102,CORT ,"744,161","13,655,354.35",4.043,Corcept Therapeutics Inc,Common Stock,Health Care,10/09/2020
PJP,G50871105,JAZZ ,"71,292","11,079,489.72",3.280,Jazz Pharmaceuticals PLC,Common Stock,Health Care,10/09/2020
PJP,015351109,ALXN ,"87,384","10,881,055.68",3.221,Alexion Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,G46188101,HZNP ,"126,446","10,670,777.94",3.159,Horizon Therapeutics Plc,Common Stock,Health Care,10/09/2020
PJP,761299106,RTRX ,"482,427","10,000,711.71",2.961,Retrophin Inc,Common Stock,Health Care,10/09/2020
PJP,03209R103,AMPH ,"456,535","9,696,803.40",2.871,Amphastar Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,071734107,BHC ,"545,426","9,534,046.48",2.823,Bausch Health Cos Inc,Common Stock,Health Care,10/09/2020
PJP,09062X103,BIIB ,"33,203","9,513,987.62",2.817,Biogen Inc,Common Stock,Health Care,10/09/2020
PJP,74112D101,PBH ,"249,053","9,254,809.48",2.740,Prestige Consumer Healthcare Inc,Common Stock,Health Care,10/09/2020
PJP,91307C102,UTHR ,"87,748","9,126,669.48",2.702,United Therapeutics Corp,Common Stock,Health Care,10/09/2020
PJP,53220K504,LGND ,"89,691","9,113,502.51",2.698,Ligand Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,75886F107,REGN ,"15,078","9,078,011.46",2.688,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,N59465109,MYL ,"573,068","8,962,783.52",2.653,Mylan NV,Common Stock,Health Care,10/09/2020
PJP,M8737E108,TARO ,"153,744","8,917,152.00",2.640,Taro Pharmaceutical Industries Ltd,Common Stock,Health Care,10/09/2020
PJP,695127100,PCRX ,"153,744","8,912,539.68",2.639,Pacira BioSciences Inc,Common Stock,Health Care,10/09/2020
PJP,868459108,SUPN ,"411,369","8,815,637.67",2.610,Supernus Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,29251M106,ENTA ,"186,677","8,617,010.32",2.551,Enanta Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PJP,29089Q105,EBS ,"78,332","8,578,137.32",2.540,Emergent BioSolutions Inc,Common Stock,Health Care,10/09/2020
PJP,45781M101,INVA ,"795,218","8,286,171.56",2.453,Innoviva Inc,Common Stock,Health Care,10/09/2020
PJP,G97822103,PRGO ,"176,985","8,116,532.10",2.403,Perrigo Co PLC,Common Stock,Health Care,10/09/2020
PJP,825252885,AGPXX ,"281,637","281,637.26",0.083,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
