Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PKB,573284106,MLM ,"31,651","8,643,888.10",5.806,Martin Marietta Materials Inc,Common Stock,Materials,10/09/2020
PKB,929160109,VMC ,"53,342","8,042,906.76",5.402,Vulcan Materials Co,Common Stock,Materials,10/09/2020
PKB,526057104,LEN ,"87,305","7,339,731.35",4.930,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
PKB,G8994E103,TT ,"55,648","7,185,269.76",4.826,Trane Technologies PLC,Common Stock,Industrials,10/09/2020
PKB,23331A109,DHI ,"91,278","7,127,899.02",4.787,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,745867101,PHM ,"144,650","7,084,957.00",4.759,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,548661107,LOW ,"39,793","6,893,341.39",4.630,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,892356106,TSCO ,"43,819","6,569,782.67",4.413,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
PKB,45780R101,IBP ,"40,976","4,864,260.96",3.267,Installed Building Products Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,392709101,GRBK ,"241,286","4,569,956.84",3.069,Green Brick Partners Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,267475101,DY ,"67,107","4,495,497.93",3.019,Dycom Industries Inc,Common Stock,Industrials,10/09/2020
PKB,156504300,CCS ,"95,873","4,476,310.37",3.006,Century Communities Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,47580P103,JELD ,"170,993","4,423,588.91",2.971,JELD-WEN Holding Inc,Common Stock,Industrials,10/09/2020
PKB,89055F103,BLD ,"23,281","4,351,451.71",2.923,TopBuild Corp,Common Stock,Consumer Discretionary,10/09/2020
PKB,39986L109,GRWG ,"239,685","4,328,711.10",2.907,GrowGeneration Corp,Common Stock,Consumer Discretionary,10/09/2020
PKB,74762E102,PWR ,"70,778","4,192,180.94",2.816,Quanta Services Inc,Common Stock,Industrials,10/09/2020
PKB,59001A102,MTH ,"36,665","4,132,878.80",2.776,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
PKB,575385109,DOOR ,"38,934","4,132,844.10",2.776,Masonite International Corp,Common Stock,Industrials,10/09/2020
PKB,199908104,FIX ,"70,626","4,070,882.64",2.734,Comfort Systems USA Inc,Common Stock,Industrials,10/09/2020
PKB,26969P108,EXP ,"43,437","4,055,278.32",2.724,Eagle Materials Inc,Common Stock,Materials,10/09/2020
PKB,50187T106,LGIH ,"31,920","4,030,219.20",2.707,LGI Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,690742101,OC ,"52,276","3,917,563.44",2.631,Owens Corning,Common Stock,Industrials,10/09/2020
PKB,844895102,SWX ,"58,391","3,915,700.46",2.630,Southwest Gas Holdings Inc,Common Stock,Utilities,10/09/2020
PKB,55003T107,LL ,"144,907","3,906,692.72",2.624,Lumber Liquidators Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PKB,74164F103,PRIM ,"193,235","3,826,053.00",2.570,Primoris Services Corp,Common Stock,Industrials,10/09/2020
PKB,030506109,AMWD ,"41,414","3,803,461.76",2.555,American Woodmark Corp,Common Stock,Industrials,10/09/2020
PKB,34960W106,FRTA ,"264,249","3,760,263.27",2.526,Forterra Inc,Common Stock,Materials,10/09/2020
PKB,04010E109,AGX ,"84,475","3,705,073.50",2.488,Argan Inc,Common Stock,Industrials,10/09/2020
PKB,829073105,SSD ,"36,230","3,450,182.90",2.317,Simpson Manufacturing Co Inc,Common Stock,Industrials,10/09/2020
PKB,29084Q100,EME ,"48,130","3,443,701.50",2.313,EMCOR Group Inc,Common Stock,Industrials,10/09/2020
PKB,825252885,AGPXX ,"148,102","148,101.57",0.099,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
