Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PKW,037833100,AAPL ,"339,210","39,677,393.70",5.860,Apple Inc,Common Stock,Information Technology,10/09/2020
PKW,68389X105,ORCL ,"560,088","34,249,381.20",5.059,Oracle Corp,Common Stock,Information Technology,10/09/2020
PKW,46625H100,JPM ,"328,866","33,281,239.20",4.916,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
PKW,060505104,BAC ,"1,302,388","33,028,559.68",4.878,Bank of America Corp,Common Stock,Financials,10/09/2020
PKW,532457108,LLY ,"185,162","29,048,214.56",4.290,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
PKW,747525103,QCOM ,"217,717","27,186,321.79",4.015,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
PKW,907818108,UNP ,"131,352","27,029,614.56",3.992,Union Pacific Corp,Common Stock,Industrials,10/09/2020
PKW,031162100,AMGN ,"113,881","26,955,632.70",3.981,Amgen Inc,Common Stock,Health Care,10/09/2020
PKW,17275R102,CSCO ,"663,155","26,426,726.75",3.903,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
PKW,16119P108,CHTR ,"39,965","25,403,352.60",3.752,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
PKW,949746101,WFC ,"793,475","20,074,917.50",2.965,Wells Fargo & Co,Common Stock,Financials,10/09/2020
PKW,172967424,C ,"402,721","18,094,254.53",2.673,Citigroup Inc,Common Stock,Financials,10/09/2020
PKW,149123101,CAT ,"104,705","16,641,812.70",2.458,Caterpillar Inc,Common Stock,Industrials,10/09/2020
PKW,617446448,MS ,"304,822","14,884,458.26",2.198,Morgan Stanley,Common Stock,Financials,10/09/2020
PKW,09857L108,BKNG ,"7,931","14,417,685.59",2.130,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,126408103,CSX ,"147,954","11,611,429.92",1.715,CSX Corp,Common Stock,Industrials,10/09/2020
PKW,512807108,LRCX ,"28,158","10,213,188.18",1.509,Lam Research Corp,Common Stock,Information Technology,10/09/2020
PKW,808513105,SCHW ,"249,723","9,546,910.29",1.410,Charles Schwab Corp/The,Common Stock,Financials,10/09/2020
PKW,693475105,PNC ,"82,294","9,503,311.12",1.404,PNC Financial Services Group Inc/The,Common Stock,Financials,10/09/2020
PKW,09062X103,BIIB ,"31,658","9,071,283.32",1.340,Biogen Inc,Common Stock,Health Care,10/09/2020
PKW,192446102,CTSH ,"104,857","7,662,949.56",1.132,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/09/2020
PKW,278642103,EBAY ,"137,497","7,624,208.65",1.126,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,59156R108,MET ,"176,050","6,950,454.00",1.027,MetLife Inc,Common Stock,Financials,10/09/2020
PKW,064058100,BK ,"171,754","6,475,125.80",0.956,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
PKW,67103H107,ORLY ,"14,398","6,470,173.24",0.956,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,931427108,WBA ,"170,168","6,183,905.12",0.913,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
PKW,020002101,ALL ,"60,938","5,658,702.68",0.836,Allstate Corp/The,Common Stock,Financials,10/09/2020
PKW,40434L105,HPQ ,"277,382","5,372,889.34",0.794,HP Inc,Common Stock,Information Technology,10/09/2020
PKW,053332102,AZO ,"4,532","5,156,237.68",0.762,AutoZone Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,58155Q103,MCK ,"31,451","4,758,221.79",0.703,McKesson Corp,Common Stock,Health Care,10/09/2020
PKW,844741108,LUV ,"114,324","4,542,092.52",0.671,Southwest Airlines Co,Common Stock,Industrials,10/09/2020
PKW,247361702,DAL ,"123,723","4,059,351.63",0.600,Delta Air Lines Inc,Common Stock,Industrials,10/09/2020
PKW,03076C106,AMP ,"23,736","4,043,190.24",0.597,Ameriprise Financial Inc,Common Stock,Financials,10/09/2020
PKW,339041105,FLT ,"16,250","4,015,537.50",0.593,FleetCor Technologies Inc,Common Stock,Information Technology,10/09/2020
PKW,254709108,DFS ,"59,421","3,855,828.69",0.570,Discover Financial Services,Common Stock,Financials,10/09/2020
PKW,56585A102,MPC ,"126,132","3,799,095.84",0.561,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
PKW,436440101,HOLX ,"50,086","3,475,467.54",0.513,Hologic Inc,Common Stock,Health Care,10/09/2020
PKW,24703L202,DELL ,"49,381","3,377,166.59",0.499,Dell Technologies Inc,Common Stock,Information Technology,10/09/2020
PKW,87165B103,SYF ,"113,221","3,265,293.64",0.482,Synchrony Financial,Common Stock,Financials,10/09/2020
PKW,74736K101,QRVO ,"22,199","3,060,576.13",0.452,Qorvo Inc,Common Stock,Information Technology,10/09/2020
PKW,143130102,KMX ,"31,531","2,994,183.76",0.442,CarMax Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,574599106,MAS ,"51,162","2,940,280.14",0.434,Masco Corp,Common Stock,Industrials,10/09/2020
PKW,880770102,TER ,"32,149","2,768,028.90",0.409,Teradyne Inc,Common Stock,Information Technology,10/09/2020
PKW,911363109,URI ,"13,976","2,752,433.44",0.407,United Rentals Inc,Common Stock,Industrials,10/09/2020
PKW,150870103,CE ,"22,929","2,701,953.36",0.399,Celanese Corp,Common Stock,Materials,10/09/2020
PKW,55261F104,MTB ,"24,878","2,521,882.86",0.372,M&T Bank Corp,Common Stock,Financials,10/09/2020
PKW,469814107,J ,"25,243","2,507,134.76",0.370,Jacobs Engineering Group Inc,Common Stock,Industrials,10/09/2020
PKW,525327102,LDOS ,"27,556","2,504,013.72",0.370,Leidos Holdings Inc,Common Stock,Information Technology,10/09/2020
PKW,42824C109,HPE ,"249,217","2,444,818.77",0.361,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
PKW,941848103,WAT ,"12,007","2,435,019.60",0.360,Waters Corp,Common Stock,Health Care,10/09/2020
PKW,7591EP100,RF ,"186,154","2,380,909.66",0.352,Regions Financial Corp,Common Stock,Financials,10/09/2020
PKW,90353W103,UI ,"12,360","2,340,860.40",0.346,Ubiquiti Inc,Common Stock,Information Technology,10/09/2020
PKW,30034W106,EVRG ,"43,976","2,327,649.68",0.344,Evergy Inc,Common Stock,Utilities,10/09/2020
PKW,174610105,CFG ,"82,753","2,313,773.88",0.342,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
PKW,02156K103,ATUS ,"79,941","2,174,395.20",0.321,Altice USA Inc,Common Stock,Communication Services,10/09/2020
PKW,910047109,UAL ,"56,341","2,091,377.92",0.309,United Airlines Holdings Inc,Common Stock,Industrials,10/09/2020
PKW,23918K108,DVA ,"23,625","2,075,692.50",0.307,DaVita Inc,Common Stock,Health Care,10/09/2020
PKW,540424108,L ,"54,590","2,018,738.20",0.298,Loews Corp,Common Stock,Financials,10/09/2020
PKW,02005N100,ALLY ,"72,379","2,015,755.15",0.298,Ally Financial Inc,Common Stock,Financials,10/09/2020
PKW,64110D104,NTAP ,"43,029","1,973,740.23",0.292,NetApp Inc,Common Stock,Information Technology,10/09/2020
PKW,29452E101,EQH ,"87,397","1,818,731.57",0.269,Equitable Holdings Inc,Common Stock,Financials,10/09/2020
PKW,959802109,WU ,"79,702","1,771,775.46",0.262,Western Union Co/The,Common Stock,Information Technology,10/09/2020
PKW,983793100,XPO ,"17,680","1,684,373.60",0.249,XPO Logistics Inc,Common Stock,Industrials,10/09/2020
PKW,913903100,UHS ,"15,067","1,683,435.91",0.249,Universal Health Services Inc,Common Stock,Health Care,10/09/2020
PKW,883203101,TXT ,"44,128","1,622,145.28",0.240,Textron Inc,Common Stock,Industrials,10/09/2020
PKW,443201108,HWM ,"84,601","1,548,198.30",0.229,Howmet Aerospace Inc,Common Stock,Industrials,10/09/2020
PKW,629377508,NRG ,"47,351","1,528,016.77",0.226,NRG Energy Inc,Common Stock,Utilities,10/09/2020
PKW,521865204,LEA ,"11,624","1,505,772.96",0.222,Lear Corp,Common Stock,Consumer Discretionary,10/09/2020
PKW,651229106,NWL ,"82,261","1,481,520.61",0.219,Newell Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,G4412G101,HLF ,"28,671","1,472,255.85",0.217,Herbalife Nutrition Ltd,Common Stock,Consumer Staples,10/09/2020
PKW,127097103,COG ,"77,309","1,463,459.37",0.216,Cabot Oil & Gas Corp,Common Stock,Energy,10/09/2020
PKW,G0684D107,ATH ,"37,679","1,394,499.79",0.206,Athene Holding Ltd,Common Stock,Financials,10/09/2020
PKW,74967X103,RH ,"3,748","1,392,232.08",0.206,RH,Common Stock,Consumer Discretionary,10/09/2020
PKW,759509102,RS ,"12,351","1,380,224.25",0.204,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
PKW,40416M105,HDS ,"31,426","1,347,546.88",0.199,HD Supply Holdings Inc,Common Stock,Industrials,10/09/2020
PKW,858119100,STLD ,"40,796","1,329,133.68",0.196,Steel Dynamics Inc,Common Stock,Materials,10/09/2020
PKW,534187109,LNC ,"37,486","1,306,387.10",0.193,Lincoln National Corp,Common Stock,Financials,10/09/2020
PKW,125269100,CF ,"41,470","1,299,255.10",0.192,CF Industries Holdings Inc,Common Stock,Materials,10/09/2020
PKW,042735100,ARW ,"15,259","1,273,363.55",0.188,Arrow Electronics Inc,Common Stock,Information Technology,10/09/2020
PKW,50212V100,LPLA ,"15,300","1,267,605.00",0.187,LPL Financial Holdings Inc,Common Stock,Financials,10/09/2020
PKW,80283M101,SC ,"62,286","1,241,982.84",0.183,Santander Consumer USA Holdings Inc,Common Stock,Financials,10/09/2020
PKW,929089100,VOYA ,"24,465","1,204,167.30",0.178,Voya Financial Inc,Common Stock,Financials,10/09/2020
PKW,200340107,CMA ,"26,976","1,142,163.84",0.169,Comerica Inc,Common Stock,Financials,10/09/2020
PKW,533900106,LECO ,"11,513","1,105,017.74",0.163,Lincoln Electric Holdings Inc,Common Stock,Industrials,10/09/2020
PKW,72703H101,PLNT ,"15,511","1,048,543.60",0.155,Planet Fitness Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,447011107,HUN ,"42,778","1,047,205.44",0.155,Huntsman Corp,Common Stock,Materials,10/09/2020
PKW,12508E101,CDK ,"23,568","1,029,214.56",0.152,CDK Global Inc,Common Stock,Information Technology,10/09/2020
PKW,47233W109,JEF ,"51,814","1,026,953.48",0.152,Jefferies Financial Group Inc,Common Stock,Financials,10/09/2020
PKW,989701107,ZION ,"31,783","1,003,548.23",0.148,Zions Bancorp NA,Common Stock,Financials,10/09/2020
PKW,457187102,INGR ,"12,998","998,246.40",0.147,Ingredion Inc,Common Stock,Consumer Staples,10/09/2020
PKW,23355L106,DXC ,"49,221","986,881.05",0.146,DXC Technology Co,Common Stock,Information Technology,10/09/2020
PKW,117043109,BC ,"15,355","965,368.85",0.143,Brunswick Corp/DE,Common Stock,Consumer Discretionary,10/09/2020
PKW,825252885,AGPXX ,"950,334","950,334.16",0.140,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PKW,01973R101,ALSN ,"21,955","895,105.35",0.132,Allison Transmission Holdings Inc,Common Stock,Industrials,10/09/2020
PKW,852857200,STMP ,"3,320","874,919.60",0.129,Stamps.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,412822108,HOG ,"29,715","832,614.30",0.123,Harley-Davidson Inc,Common Stock,Consumer Discretionary,10/09/2020
PKW,98421M106,XRX ,"41,306","821,163.28",0.121,Xerox Holdings Corp,Common Stock,Information Technology,10/09/2020
PKW,74051N102,PINC ,"23,811","791,715.75",0.117,Premier Inc,Common Stock,Health Care,10/09/2020
PKW,758750103,RBC ,"7,853","784,907.35",0.116,Regal Beloit Corp,Common Stock,Industrials,10/09/2020
