Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PLW,,912810FT0,United States Treasury Note/Bond,4.50,02/15/2036,02/15/2006,N/A,AA+u/Aaa,"11,235,500",1.679092803E7,10.10,10/09/2020
PLW,,912810FP8,United States Treasury Note/Bond,5.38,02/15/2031,02/15/2001,N/A,AA+u/Aaa,"11,223,900",1.640267761E7,9.87,10/09/2020
PLW,,912810SL3,United States Treasury Note/Bond,2.00,02/15/2050,02/18/2020,N/A,AA+u/Aaa,"5,304,000",5854290.0,3.52,10/09/2020
PLW,,912810RQ3,United States Treasury Note/Bond,2.50,02/15/2046,02/16/2016,N/A,AA+u/Aaa,"4,772,900",5773903.9,3.47,10/09/2020
PLW,,912810RK6,United States Treasury Note/Bond,2.50,02/15/2045,02/17/2015,N/A,AA+u/Aaa,"4,776,500",5766131.09,3.47,10/09/2020
PLW,,912810SA7,United States Treasury Note/Bond,3.00,02/15/2048,02/15/2018,N/A,AA+u/Aaa,"4,321,000",5746086.07,3.46,10/09/2020
PLW,,912810QZ4,United States Treasury Note/Bond,3.12,02/15/2043,02/15/2013,N/A,AA+u/Aaa,"4,315,800",5744565.83,3.46,10/09/2020
PLW,,912810SF6,United States Treasury Note/Bond,3.00,02/15/2049,02/15/2019,N/A,AA+u/Aaa,"4,294,000",5742218.57,3.45,10/09/2020
PLW,,912810QU5,United States Treasury Note/Bond,3.12,02/15/2042,02/15/2012,N/A,AA+u/Aaa,"4,312,400",5741724.75,3.45,10/09/2020
PLW,,912810RV2,United States Treasury Note/Bond,3.00,02/15/2047,02/15/2017,N/A,AA+u/Aaa,"4,331,700",5740179.33,3.45,10/09/2020
PLW,,912810RE0,United States Treasury Note/Bond,3.62,02/15/2044,02/18/2014,N/A,AA+u/Aaa,"3,980,000",5712854.67,3.44,10/09/2020
PLW,,912810QA9,United States Treasury Note/Bond,3.50,02/15/2039,02/17/2009,N/A,AA+u/Aaa,"4,106,400",5679985.29,3.42,10/09/2020
PLW,,912828Z94,United States Treasury Note/Bond,1.50,02/15/2030,02/18/2020,N/A,AA+u/Aaa,"5,294,000",5667061.56,3.41,10/09/2020
PLW,,912810QN1,United States Treasury Note/Bond,4.75,02/15/2041,02/15/2011,N/A,AA+u/Aaa,"3,482,600",5655824.03,3.40,10/09/2020
PLW,,912810QE1,United States Treasury Note/Bond,4.62,02/15/2040,02/16/2010,N/A,AA+u/Aaa,"3,555,800",5639693.27,3.39,10/09/2020
PLW,,912810PW2,United States Treasury Note/Bond,4.38,02/15/2038,02/15/2008,N/A,AA+u/Aaa,"3,715,700",5638429.61,3.39,10/09/2020
PLW,,912810PT9,United States Treasury Note/Bond,4.75,02/15/2037,02/15/2007,N/A,AA+u/Aaa,"3,602,100",5602391.16,3.37,10/09/2020
PLW,,9128283W8,United States Treasury Note/Bond,2.75,02/15/2028,02/15/2018,N/A,AA+u/Aaa,"4,760,000",5506167.18,3.31,10/09/2020
PLW,,912810FG8,United States Treasury Note/Bond,5.25,02/15/2029,02/16/1999,N/A,AA+u/Aaa,"3,935,700",5414508.54,3.26,10/09/2020
PLW,,912828B66,United States Treasury Note/Bond,2.75,02/15/2024,02/18/2014,N/A,AA+u/Aaa,"4,937,000",5355873.59,3.22,10/09/2020
PLW,,912810EZ7,United States Treasury Note/Bond,6.62,02/15/2027,02/18/1997,N/A,AA+u/Aaa,"3,828,800",5306926.2,3.19,10/09/2020
PLW,,912810EW4,United States Treasury Note/Bond,6.00,02/15/2026,02/15/1996,N/A,AA+u/Aaa,"4,077,700",5292090.03,3.18,10/09/2020
PLW,,912828SF8,United States Treasury Note/Bond,2.00,02/15/2022,02/15/2012,N/A,AA+u/Aaa,"5,146,200",5274452.98,3.17,10/09/2020
PLW,,912810ET1,United States Treasury Note/Bond,7.62,02/15/2025,02/15/1995,N/A,AA+u/Aaa,"3,928,300",5175842.13,3.11,10/09/2020
PLW,,912810EP9,United States Treasury Note/Bond,7.12,02/15/2023,02/16/1993,N/A,AA+u/Aaa,"4,366,300",5076505.98,3.05,10/09/2020
PLW,,912810EH7,United States Treasury Note/Bond,7.88,02/15/2021,02/15/1991,N/A,AA+u/Aaa,"4,771,200",4896612.28,2.95,10/09/2020
PLW,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"12,042",12042.44,0.01,10/09/2020
PLW,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,-0,-0.02,0.00,10/09/2020
