Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PNQI,01609W102,BABA ,"250,046","74,948,788.04",8.271,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PNQI,79466L302,CRM ,"263,234","70,014,979.32",7.726,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
PNQI,023135106,AMZN ,"20,797","68,352,460.05",7.543,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PNQI,02079K107,GOOG ,"43,919","66,546,947.18",7.343,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PNQI,30303M102,FB ,"244,784","64,733,128.80",7.143,Facebook Inc,Common Stock,Communication Services,10/09/2020
PNQI,82509L107,SHOP ,"33,650","36,880,400.00",4.070,Shopify Inc,Common Stock,Information Technology,10/09/2020
PNQI,64110L106,NFLX ,"67,765","36,555,151.60",4.034,Netflix Inc,Common Stock,Communication Services,10/09/2020
PNQI,00724F101,ADBE ,"69,900","35,100,984.00",3.873,Adobe Inc,Common Stock,Information Technology,10/09/2020
PNQI,98980L101,ZM ,"70,571","34,749,866.11",3.835,Zoom Video Communications Inc,Common Stock,Information Technology,10/09/2020
PNQI,09857L108,BKNG ,"15,869","28,848,096.41",3.183,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PNQI,47215P106,JD ,"355,697","28,381,063.63",3.132,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PNQI,90353T100,UBER ,"679,188","25,313,336.76",2.793,Uber Technologies Inc,Common Stock,Industrials,10/09/2020
PNQI,58733R102,MELI ,"19,264","23,113,717.76",2.551,MercadoLibre Inc,Common Stock,Consumer Discretionary,10/09/2020
PNQI,L8681T102,SPOT ,"71,431","17,857,750.00",1.971,Spotify Technology SA,Common Stock,Communication Services,10/09/2020
PNQI,81141R100,SE ,"100,737","17,338,852.44",1.913,Sea Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
PNQI,256163106,DOCU ,"71,700","16,175,520.00",1.785,DocuSign Inc,Common Stock,Information Technology,10/09/2020
PNQI,278642103,EBAY ,"271,222","15,039,259.90",1.660,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
PNQI,90184L102,TWTR ,"306,514","14,068,992.60",1.553,Twitter Inc,Common Stock,Communication Services,10/09/2020
PNQI,056752108,BIDU ,"108,969","13,783,488.81",1.521,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PNQI,22160N109,CSGP ,"15,256","13,339,388.72",1.472,CoStar Group Inc,Common Stock,Industrials,10/09/2020
PNQI,83304A106,SNAP ,"469,326","12,671,802.00",1.398,Snap Inc,Common Stock,Communication Services,10/09/2020
PNQI,64110W102,NTES ,"138,980","12,591,588.00",1.389,NetEase Inc ADR,American Depository Receipt,Communication Services,10/09/2020
PNQI,679295105,OKTA ,"46,488","10,992,087.60",1.213,Okta Inc,Common Stock,Information Technology,10/09/2020
