Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PRF,037833100,AAPL ,"1,334,949","156,148,984.53",3.930,Apple Inc,Common Stock,Information Technology,10/09/2020
PRF,594918104,MSFT ,"368,347","79,492,966.07",2.001,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PRF,084670702,BRK/B ,"365,168","78,759,434.24",1.982,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
PRF,00206R102,T ,"2,284,300","64,691,376.00",1.628,AT&T Inc,Common Stock,Communication Services,10/09/2020
PRF,92343V104,VZ ,"1,079,307","64,035,284.31",1.612,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PRF,46625H100,JPM ,"575,945","58,285,634.00",1.467,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
PRF,30231G102,XOM ,"1,670,965","58,049,324.10",1.461,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
PRF,931142103,WMT ,"346,996","49,544,088.88",1.247,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
PRF,478160104,JNJ ,"327,236","49,402,818.92",1.243,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PRF,166764100,CVX ,"617,513","45,695,962.00",1.150,Chevron Corp,Common Stock,Energy,10/09/2020
PRF,023135106,AMZN ,"13,555","44,550,540.75",1.121,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PRF,742718109,PG ,"306,469","43,800,549.48",1.102,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
PRF,717081103,PFE ,"1,153,569","42,439,803.51",1.068,Pfizer Inc,Common Stock,Health Care,10/09/2020
PRF,060505104,BAC ,"1,606,731","40,746,698.16",1.026,Bank of America Corp,Common Stock,Financials,10/09/2020
PRF,91324P102,UNH ,"123,881","40,613,147.04",1.022,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PRF,20030N101,CMCSA ,"786,919","35,293,317.15",0.888,Comcast Corp,Common Stock,Communication Services,10/09/2020
PRF,458140100,INTC ,"631,616","33,361,957.12",0.840,Intel Corp,Common Stock,Information Technology,10/09/2020
PRF,949746101,WFC ,"1,282,546","32,448,413.80",0.817,Wells Fargo & Co,Common Stock,Financials,10/09/2020
PRF,437076102,HD ,"103,846","29,691,648.32",0.747,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PRF,172967424,C ,"660,696","29,685,071.28",0.747,Citigroup Inc,Common Stock,Financials,10/09/2020
PRF,30303M102,FB ,"110,246","29,154,554.70",0.734,Facebook Inc,Common Stock,Communication Services,10/09/2020
PRF,345370860,F ,"3,947,306","28,617,968.50",0.720,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
PRF,459200101,IBM ,"213,254","27,251,728.66",0.686,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
PRF,126650100,CVS ,"452,613","26,885,212.20",0.677,CVS Health Corp,Common Stock,Health Care,10/09/2020
PRF,02079K107,GOOG ,"17,310","26,228,458.20",0.660,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PRF,02079K305,GOOGL ,"17,289","26,114,170.05",0.657,Alphabet Inc,Common Stock,Communication Services,10/09/2020
