Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PRFZ,690370101,OSTK ,"92,558","7,703,602.34",0.501,Overstock.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,94419L101,W ,"21,848","6,471,159.12",0.421,Wayfair Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,955306105,WST ,"18,429","5,497,002.12",0.358,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
PRFZ,368736104,GNRC ,"25,204","5,180,178.12",0.337,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
PRFZ,928377100,VSTO ,"220,498","4,729,682.10",0.308,Vista Outdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,G46188101,HZNP ,"53,934","4,551,490.26",0.296,Horizon Therapeutics Plc,Common Stock,Health Care,10/09/2020
PRFZ,73278L105,POOL ,"13,065","4,527,675.75",0.295,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,75972A301,REGI ,"70,649","4,469,962.23",0.291,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
PRFZ,05591B109,BMCH ,"100,113","4,444,016.07",0.289,BMC Stock Holdings Inc,Common Stock,Industrials,10/09/2020
PRFZ,45168D104,IDXX ,"10,768","4,314,199.20",0.281,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
PRFZ,984249607,YRCW ,"850,663","4,244,808.37",0.276,YRC Worldwide Inc,Common Stock,Industrials,10/09/2020
PRFZ,G4412G101,HLF ,"81,097","4,164,330.95",0.271,Herbalife Nutrition Ltd,Common Stock,Consumer Staples,10/09/2020
PRFZ,852234103,SQ ,"22,119","4,142,446.32",0.270,Square Inc,Common Stock,Information Technology,10/09/2020
PRFZ,44980X109,IPGP ,"22,796","4,126,759.88",0.269,IPG Photonics Corp,Common Stock,Information Technology,10/09/2020
PRFZ,89055F103,BLD ,"21,985","4,109,216.35",0.267,TopBuild Corp,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,92336X109,VNE ,"227,116","4,001,783.92",0.260,Veoneer Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,86771W105,RUN ,"55,002","3,928,792.86",0.256,Sunrun Inc,Common Stock,Industrials,10/09/2020
PRFZ,63910B102,NLS ,"177,270","3,917,667.00",0.255,Nautilus Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,34988V106,FOSL ,"567,784","3,821,186.32",0.249,Fossil Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,80874P109,SGMS ,"112,711","3,783,708.27",0.246,Scientific Games Corp,Common Stock,Consumer Discretionary,10/09/2020
PRFZ,393222104,GPRE ,"230,128","3,747,634.48",0.244,Green Plains Inc,Common Stock,Energy,10/09/2020
PRFZ,98954M200,Z ,"35,771","3,729,484.46",0.243,Zillow Group Inc,Common Stock,Communication Services,10/09/2020
