Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PSCC,WDFC ,929236107,WD-40 Co,,,03/17/1980,N/A,NR/NR,"20,561",4075601.42,10.50,10/09/2020
PSCC,JJSF ,466032109,J & J Snack Foods Corp,,,02/04/1986,N/A,NR/NR,"22,459",2994233.88,7.71,10/09/2020
PSCC,MED ,58470H101,Medifast Inc,,,12/20/2002,N/A,NR/NR,"17,702",2920652.98,7.52,10/09/2020
PSCC,BGS ,05508R106,B&G Foods Inc,,,05/23/2007,N/A,NR/NR,"96,543",2773680.39,7.14,10/09/2020
PSCC,CENTA ,153527205,Central Garden & Pet Co,,,02/06/2007,N/A,NR/NR,"58,419",2256141.78,5.81,10/09/2020
PSCC,CVGW ,128246105,Calavo Growers Inc,,,07/22/2002,N/A,NR/NR,"27,005",1853083.1,4.77,10/09/2020
PSCC,VGR ,92240M108,Vector Group Ltd,,,10/08/1987,N/A,NR/NR,"169,495",1845800.55,4.75,10/09/2020
PSCC,UVV ,913456109,Universal Corp/VA,,,05/22/1981,N/A,NR/NR,"39,995",1732583.4,4.46,10/09/2020
PSCC,CALM ,128030202,Cal-Maine Foods Inc,,,06/08/1995,N/A,NR/NR,"44,161",1678559.61,4.32,10/09/2020
PSCC,PSMT ,741511109,PriceSmart Inc,,,08/19/1997,N/A,NR/NR,"23,771",1647092.59,4.24,10/09/2020
PSCC,USNA ,90328M107,USANA Health Sciences Inc,,,10/28/1993,N/A,NR/NR,"20,300",1582588.0,4.08,10/09/2020
PSCC,UNFI ,911163103,United Natural Foods Inc,,,11/01/1996,N/A,NR/NR,"92,683",1581171.98,4.07,10/09/2020
PSCC,FIZZ ,635017106,National Beverage Corp,,,01/15/1996,N/A,NR/NR,"19,757",1566927.67,4.04,10/09/2020
PSCC,COKE ,191098102,Coca-Cola Consolidated Inc,,,03/17/1980,N/A,NR/NR,"6,380",1545810.2,3.98,10/09/2020
PSCC,SPTN ,847215100,SpartanNash Co,,,08/02/2000,N/A,NR/NR,"60,730",1305087.7,3.36,10/09/2020
PSCC,IPAR ,458334109,Inter Parfums Inc,,,02/04/1988,N/A,NR/NR,"29,927",1230598.24,3.17,10/09/2020
PSCC,FDP ,G36738105,Fresh Del Monte Produce Inc,,,10/24/1997,N/A,NR/NR,"51,349",1207728.48,3.11,10/09/2020
PSCC,JBSS ,800422107,John B Sanfilippo & Son Inc,,,12/04/1991,N/A,NR/NR,"14,951",1149582.39,2.96,10/09/2020
PSCC,ANDE ,034164103,Andersons Inc/The,,,02/20/1996,N/A,NR/NR,"52,013",1019974.93,2.63,10/09/2020
PSCC,MGPI ,55303J106,MGP Ingredients Inc,,,10/21/1988,N/A,NR/NR,"22,358",897897.28,2.31,10/09/2020
PSCC,CHEF ,163086101,Chefs' Warehouse Inc/The,,,07/05/2011,N/A,NR/NR,"55,091",867683.25,2.23,10/09/2020
PSCC,CENT ,153527106,Central Garden & Pet Co,,,07/16/1993,N/A,NR/NR,"14,623",624402.1,1.61,10/09/2020
PSCC,SENEA ,817070501,Seneca Foods Corp,,,09/20/1995,N/A,NR/NR,"11,388",459164.16,1.18,10/09/2020
PSCC,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"16,950",16950.23,0.04,10/09/2020
