Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCD,852857200,STMP ,"2,797","737,093.41",4.200,Stamps.com Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,59001A102,MTH ,"5,981","674,178.32",3.842,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
PSCD,98585X104,YETI ,"11,904","602,461.44",3.433,YETI Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,G1890L107,CPRI ,"23,900","517,674.00",2.950,Capri Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
PSCD,227046109,CROX ,"10,725","510,939.00",2.911,Crocs Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,50189K103,LCII ,"3,998","471,604.08",2.687,LCI Industries,Common Stock,Consumer Discretionary,10/09/2020
PSCD,50187T106,LGIH ,"3,508","442,920.08",2.524,LGI Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,075896100,BBBY ,"20,037","429,994.02",2.450,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,45780R101,IBP ,"3,599","427,237.29",2.435,Installed Building Products Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,258278100,DORM ,"4,588","426,500.48",2.430,Dorman Products Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,819047101,SHAK ,"5,649","407,744.82",2.323,Shake Shack Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,552676108,MDC ,"7,955","402,920.75",2.296,MDC Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,462726100,IRBT ,"4,428","397,767.24",2.267,iRobot Corp,Common Stock,Consumer Discretionary,10/09/2020
PSCD,978097103,WWW ,"13,011","354,419.64",2.020,Wolverine World Wide Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,043436104,ABG ,"3,064","351,440.80",2.003,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,398905109,GPI ,"2,724","339,464.88",1.934,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,109641100,EAT ,"7,156","338,550.36",1.929,Brinker International Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,55616P104,M ,"49,265","306,920.95",1.749,Macy's Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,216831107,CTB ,"7,985","299,836.75",1.709,Cooper Tire & Rubber Co,Common Stock,Consumer Discretionary,10/09/2020
PSCD,131193104,ELY ,"14,957","297,793.87",1.697,Callaway Golf Co,Common Stock,Consumer Discretionary,10/09/2020
PSCD,974637100,WGO ,"5,350","286,813.50",1.634,Winnebago Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,089302103,BIG ,"5,664","285,578.88",1.627,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,76009N100,RCII ,"7,690","263,382.50",1.501,Rent-A-Center Inc/TX,Common Stock,Consumer Discretionary,10/09/2020
PSCD,556269108,SHOO ,"12,273","257,733.00",1.469,Steven Madden Ltd,Common Stock,Consumer Discretionary,10/09/2020
PSCD,149568107,CVCO ,"1,355","252,179.05",1.437,Cavco Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,505336107,LZB ,"7,300","249,660.00",1.423,La-Z-Boy Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,83125X103,SNBR ,"4,397","244,033.50",1.391,Sleep Number Corp,Common Stock,Consumer Discretionary,10/09/2020
PSCD,37253A103,THRM ,"5,181","242,678.04",1.383,Gentherm Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,610236101,MNRO ,"5,278","233,498.72",1.331,Monro Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,094235108,BLMN ,"12,632","218,912.56",1.247,Bloomin' Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,55305B101,MHO ,"4,525","214,982.75",1.225,M/I Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,156504300,CCS ,"4,602","214,867.38",1.224,Century Communities Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,218681104,CORE ,"7,152","212,199.84",1.209,Core-Mark Holding Co Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,163072101,CAKE ,"6,632","210,035.44",1.197,Cheesecake Factory Inc/The,Common Stock,Consumer Discretionary,10/09/2020
PSCD,825690100,SSTK ,"3,502","204,026.52",1.163,Shutterstock Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,50050N103,KTB ,"7,420","203,975.80",1.162,Kontoor Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,928377100,VSTO ,"9,203","197,404.35",1.125,Vista Outdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,88337F105,ODP ,"8,346","188,869.98",1.076,ODP Corp/The,Common Stock,Consumer Discretionary,10/09/2020
PSCD,864159108,RGR ,"2,773","181,881.07",1.036,Sturm Ruger & Co Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,G81276100,SIG ,"8,288","172,639.04",0.984,Signet Jewelers Ltd,Common Stock,Consumer Discretionary,10/09/2020
PSCD,899896104,TUP ,"7,782","172,526.94",0.983,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
PSCD,79546E104,SBH ,"17,958","170,960.16",0.974,Sally Beauty Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PSCD,002896207,ANF ,"9,870","161,571.90",0.921,Abercrombie & Fitch Co,Common Stock,Consumer Discretionary,10/09/2020
PSCD,83545G102,SAH ,"3,826","158,779.00",0.905,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
