Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PSCE,REGI ,75972A301,Renewable Energy Group Inc,,,07/20/2011,N/A,NR/NR,"27,226",1722589.02,11.93,10/09/2020
PSCE,RRC ,75281A109,Range Resources Corp,,,11/05/1984,N/A,NR/NR,"177,445",1430206.7,9.90,10/09/2020
PSCE,SWN ,845467109,Southwestern Energy Co,,,11/05/1984,N/A,NR/NR,"419,599",1225229.08,8.48,10/09/2020
PSCE,HP ,423452101,Helmerich & Payne Inc,,,11/05/1984,N/A,NR/NR,"74,487",1118794.74,7.75,10/09/2020
PSCE,PDCE ,69327R101,PDC Energy Inc,,,03/17/1980,N/A,NR/NR,"69,022",862775.0,5.97,10/09/2020
PSCE,MTDR ,576485205,Matador Resources Co,,,08/16/2011,N/A,NR/NR,"76,128",695809.92,4.82,10/09/2020
PSCE,DRQ ,262037104,Dril-Quip Inc,,,10/23/1997,N/A,NR/NR,"24,303",600041.07,4.15,10/09/2020
PSCE,AROC ,03957W106,Archrock Inc,,,08/21/2007,N/A,NR/NR,"89,062",518340.84,3.59,10/09/2020
PSCE,CLB ,N22717107,Core Laboratories NV,,,09/21/1995,N/A,NR/NR,"30,839",502984.09,3.48,10/09/2020
PSCE,CKH ,811904101,SEACOR Holdings Inc,,,10/23/1996,N/A,NR/NR,"13,220",424494.2,2.94,10/09/2020
PSCE,PBF ,69318G106,PBF Energy Inc,,,12/13/2012,N/A,NR/NR,"66,474",410144.58,2.84,10/09/2020
PSCE,VTOL ,11040G103,Bristow Group Inc,,,01/22/2013,N/A,NR/NR,"16,330",393553.0,2.73,10/09/2020
PSCE,PTEN ,703481101,Patterson-UTI Energy Inc,,,11/02/1993,N/A,NR/NR,"130,013",384838.48,2.66,10/09/2020
PSCE,GPRE ,393222104,Green Plains Inc,,,03/15/2006,N/A,NR/NR,"23,174",377388.59,2.61,10/09/2020
PSCE,BOOM ,23291C103,DMC Global Inc,,,03/17/1980,N/A,NR/NR,"10,244",348808.2,2.42,10/09/2020
PSCE,OII ,675232102,Oceaneering International Inc,,,11/05/1984,N/A,NR/NR,"68,873",277558.19,1.92,10/09/2020
PSCE,REX ,761624105,REX American Resources Corp,,,03/21/1986,N/A,NR/NR,"3,784",275058.96,1.90,10/09/2020
PSCE,HLX ,42330P107,Helix Energy Solutions Group Inc,,,07/01/1997,N/A,NR/NR,"97,872",269148.0,1.86,10/09/2020
PSCE,BCEI ,097793400,Bonanza Creek Energy Inc,,,06/16/2011,N/A,NR/NR,"12,866",263753.0,1.83,10/09/2020
PSCE,PUMP ,74347M108,ProPetro Holding Corp,,,03/17/2017,N/A,NR/NR,"56,013",252058.5,1.75,10/09/2020
PSCE,PARR ,69888T207,Par Pacific Holdings Inc,,,07/22/2014,N/A,NR/NR,"27,721",207630.29,1.44,10/09/2020
PSCE,LPG ,Y2106R110,Dorian LPG Ltd,,,,N/A,NR/NR,"23,380",205042.6,1.42,10/09/2020
PSCE,QEP ,74733V100,QEP Resources Inc,,,06/16/2010,N/A,NR/NR,"168,277",166324.99,1.15,10/09/2020
PSCE,MTRX ,576853105,Matrix Service Co,,,09/26/1990,N/A,NR/NR,"18,375",159311.25,1.10,10/09/2020
PSCE,SLCA ,90346E103,US Silica Holdings Inc,,,01/28/2012,N/A,NR/NR,"51,349",156614.45,1.08,10/09/2020
PSCE,CPE ,13123X508,Callon Petroleum Co,,,,N/A,NR/NR,"27,613",144968.25,1.00,10/09/2020
PSCE,SM ,78454L100,SM Energy Co,,,12/16/1992,N/A,NR/NR,"73,216",125199.36,0.87,10/09/2020
PSCE,NBR ,G6359F137,Nabors Industries Ltd,,,11/05/1984,N/A,NR/NR,"4,416",124928.64,0.87,10/09/2020
PSCE,OIS ,678026105,Oil States International Inc,,,02/09/2001,N/A,NR/NR,"42,436",121366.96,0.84,10/09/2020
PSCE,RES ,749660106,RPC Inc,,,07/02/1984,N/A,NR/NR,"39,951",112661.82,0.78,10/09/2020
PSCE,TALO ,87484T108,Talos Energy Inc,,,,N/A,NR/NR,"16,071",111532.74,0.77,10/09/2020
PSCE,PVAC ,70788V102,Penn Virginia Corp,,,12/28/2016,N/A,NR/NR,"10,438",104797.52,0.73,10/09/2020
PSCE,EXTN ,30227H106,Exterran Corp,,,10/23/2015,N/A,NR/NR,"17,098",85319.02,0.59,10/09/2020
PSCE,CEIX ,20854L108,CONSOL Energy Inc,,,11/14/2017,N/A,NR/NR,"17,907",77000.1,0.53,10/09/2020
PSCE,GPOR ,402635304,Gulfport Energy Corp,,,02/28/2006,N/A,NR/NR,"100,219",66054.34,0.46,10/09/2020
PSCE,LPI ,516806205,Laredo Petroleum Inc,,,01/01/2005,N/A,NR/NR,"6,188",58724.12,0.41,10/09/2020
PSCE,GEOS ,37364X109,Geospace Technologies Corp,,,11/21/1997,N/A,NR/NR,"9,398",57421.78,0.40,10/09/2020
PSCE,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"3,303",3302.73,0.02,10/09/2020
