Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCF,49714P108,KNSL ,"3,134","652,498.80",2.464,Kinsale Capital Group Inc,Common Stock,Financials,10/09/2020
PSCF,008492100,ADC ,"7,954","532,918.00",2.013,Agree Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,39304D102,GDOT ,"7,883","499,309.22",1.886,Green Dot Corp,Common Stock,Financials,10/09/2020
PSCF,203607106,CBU ,"7,906","461,552.28",1.743,Community Bank System Inc,Common Stock,Financials,10/09/2020
PSCF,529043101,LXP ,"40,880","447,636.00",1.691,Lexington Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,898202106,TRUP ,"4,792","431,184.16",1.628,Trupanion Inc,Common Stock,Financials,10/09/2020
PSCF,025676206,AEL ,"13,581","423,319.77",1.599,American Equity Investment Life Holding Co,Common Stock,Financials,10/09/2020
PSCF,45781V101,IIPR ,"3,205","420,560.10",1.588,Innovative Industrial Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,G0585R106,AGO ,"12,338","346,080.90",1.307,Assured Guaranty Ltd,Common Stock,Financials,10/09/2020
PSCF,126600105,CVBF ,"18,815","336,788.50",1.272,CVB Financial Corp,Common Stock,Financials,10/09/2020
PSCF,69478X105,PPBI ,"13,936","335,857.60",1.268,Pacific Premier Bancorp Inc,Common Stock,Financials,10/09/2020
PSCF,680033107,ONB ,"24,384","334,304.64",1.263,Old National Bancorp/IN,Common Stock,Financials,10/09/2020
PSCF,06652K103,BKU ,"13,648","332,328.80",1.255,BankUnited Inc,Common Stock,Financials,10/09/2020
PSCF,28238P109,EHTH ,"3,803","327,210.12",1.236,eHealth Inc,Common Stock,Financials,10/09/2020
PSCF,637870106,NSA ,"9,144","313,090.56",1.182,National Storage Affiliates Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,32051X108,FHB ,"19,184","309,054.24",1.167,First Hawaiian Inc,Common Stock,Financials,10/09/2020
PSCF,91325V108,UNIT ,"28,675","300,800.75",1.136,Uniti Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,35086T109,FCPT ,"10,389","291,203.67",1.100,Four Corners Property Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,29670E107,EPRT ,"15,040","290,422.40",1.097,Essential Properties Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,629209305,NMIH ,"12,525","284,943.75",1.076,NMI Holdings Inc,Common Stock,Financials,10/09/2020
PSCF,828730200,SFNC ,"16,101","278,869.32",1.053,Simmons First National Corp,Common Stock,Financials,10/09/2020
PSCF,197236102,COLB ,"10,578","275,980.02",1.042,Columbia Banking System Inc,Common Stock,Financials,10/09/2020
PSCF,105368203,BDN ,"25,193","268,809.31",1.015,Brandywine Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,69753M105,PLMR ,"3,197","268,739.82",1.015,Palomar Holdings Inc,Common Stock,Financials,10/09/2020
PSCF,453836108,INDB ,"4,867","267,879.68",1.012,Independent Bank Corp,Common Stock,Financials,10/09/2020
PSCF,27616P103,DEA ,"11,770","266,472.80",1.006,Easterly Government Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,69354N106,PRAA ,"6,732","265,779.36",1.004,PRA Group Inc,Common Stock,Financials,10/09/2020
PSCF,03076K108,ABCB ,"10,263","265,606.44",1.003,Ameris Bancorp,Common Stock,Financials,10/09/2020
PSCF,81768T108,SFBS ,"6,924","263,596.68",0.995,ServisFirst Bancshares Inc,Common Stock,Financials,10/09/2020
PSCF,14174T107,CTRE ,"14,140","262,438.40",0.991,CareTrust REIT Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSCF,62482R107,COOP ,"10,737","259,835.40",0.981,Mr Cooper Group Inc,Common Stock,Financials,10/09/2020
PSCF,939653101,WRE ,"12,162","259,172.22",0.979,Washington Real Estate Investment Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
