Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCH,64049M209,NEO ,"514,720","20,804,982.40",5.245,NeoGenomics Inc,Common Stock,Health Care,10/09/2020
PSCH,68213N109,OMCL ,"199,319","15,853,833.26",3.996,Omnicell Inc,Common Stock,Health Care,10/09/2020
PSCH,001744101,AMN ,"219,012","14,067,140.76",3.546,AMN Healthcare Services Inc,Common Stock,Health Care,10/09/2020
PSCH,29358P101,ENSG ,"235,590","14,017,605.00",3.534,Ensign Group Inc/The,Common Stock,Health Care,10/09/2020
PSCH,40425J101,HMSY ,"412,584","11,890,670.88",2.997,HMS Holdings Corp,Common Stock,Health Care,10/09/2020
PSCH,22304C100,CVET ,"457,518","11,771,938.14",2.968,Covetrus Inc,Common Stock,Health Care,10/09/2020
PSCH,695127100,PCRX ,"199,221","11,548,841.37",2.911,Pacira BioSciences Inc,Common Stock,Health Care,10/09/2020
PSCH,207410101,CNMD ,"133,170","11,445,961.50",2.885,CONMED Corp,Common Stock,Health Care,10/09/2020
PSCH,377322102,GKOS ,"208,231","11,367,330.29",2.866,Glaukos Corp,Common Stock,Health Care,10/09/2020
PSCH,81619Q105,SEM ,"499,575","11,215,458.75",2.827,Select Medical Holdings Corp,Common Stock,Health Care,10/09/2020
PSCH,98401F105,XNCR ,"266,810","11,192,679.50",2.821,Xencor Inc,Common Stock,Health Care,10/09/2020
PSCH,589889104,MMSI ,"227,578","10,880,504.18",2.743,Merit Medical Systems Inc,Common Stock,Health Care,10/09/2020
PSCH,45826H109,ITGR ,"153,110","9,916,934.70",2.500,Integer Holdings Corp,Common Stock,Health Care,10/09/2020
PSCH,749397105,RCM ,"538,715","9,546,029.80",2.406,R1 RCM Inc,Common Stock,Health Care,10/09/2020
PSCH,218352102,CORT ,"484,756","8,895,272.60",2.242,Corcept Therapeutics Inc,Common Stock,Health Care,10/09/2020
PSCH,690732102,OMI ,"336,785","8,877,652.60",2.238,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
PSCH,559079207,MGLN ,"104,993","8,161,105.89",2.057,Magellan Health Inc,Common Stock,Health Care,10/09/2020
PSCH,090672106,BEAT ,"159,337","7,190,878.81",1.813,BioTelemetry Inc,Common Stock,Health Care,10/09/2020
PSCH,141619106,CSII ,"184,897","7,029,783.94",1.772,Cardiovascular Systems Inc,Common Stock,Health Care,10/09/2020
PSCH,006739106,ADUS ,"69,364","6,697,094.20",1.688,Addus HomeCare Corp,Common Stock,Health Care,10/09/2020
PSCH,59064R109,MLAB ,"22,596","6,393,990.12",1.612,Mesa Laboratories Inc,Common Stock,Health Care,10/09/2020
PSCH,01988P108,MDRX ,"759,601","6,373,052.39",1.607,Allscripts Healthcare Solutions Inc,Common Stock,Health Care,10/09/2020
PSCH,743815102,PRSC ,"56,973","5,497,894.50",1.386,Providence Service Corp/The,Common Stock,Health Care,10/09/2020
PSCH,19249H103,CHRS ,"293,148","5,455,484.28",1.375,Coherus Biosciences Inc,Common Stock,Health Care,10/09/2020
PSCH,G30401106,ENDP ,"1,071,174","5,334,446.52",1.345,Endo International PLC,Common Stock,Health Care,10/09/2020
PSCH,90337L108,USPH ,"59,862","5,266,658.76",1.328,US Physical Therapy Inc,Common Stock,Health Care,10/09/2020
PSCH,829214105,SLP ,"70,532","5,260,981.88",1.326,Simulations Plus Inc,Common Stock,Health Care,10/09/2020
PSCH,868459108,SUPN ,"245,468","5,260,379.24",1.326,Supernus Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PSCH,68554V108,OSUR ,"333,533","5,129,737.54",1.293,OraSure Technologies Inc,Common Stock,Health Care,10/09/2020
