Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCI,743713109,PRLB ,"10,542","1,589,417.34",3.140,Proto Labs Inc,Common Stock,Industrials,10/09/2020
PSCI,30214U102,EXPO ,"20,377","1,507,694.23",2.978,Exponent Inc,Common Stock,Industrials,10/09/2020
PSCI,78709Y105,SAIA ,"10,322","1,484,097.16",2.932,Saia Inc,Common Stock,Industrials,10/09/2020
PSCI,90278Q108,UFPI ,"24,146","1,430,409.04",2.826,UFP Industries Inc,Common Stock,Industrials,10/09/2020
PSCI,904708104,UNF ,"6,019","1,185,141.10",2.341,UniFirst Corp/MA,Common Stock,Industrials,10/09/2020
PSCI,007800105,AJRD ,"28,863","1,178,187.66",2.328,Aerojet Rocketdyne Holdings Inc,Common Stock,Industrials,10/09/2020
PSCI,942749102,WTS ,"10,834","1,164,113.30",2.300,Watts Water Technologies Inc,Common Stock,Industrials,10/09/2020
PSCI,477839104,JBT ,"12,524","1,130,040.52",2.232,John Bean Technologies Corp,Common Stock,Industrials,10/09/2020
PSCI,000360206,AAON ,"16,091","1,022,743.96",2.020,AAON Inc,Common Stock,Industrials,10/09/2020
PSCI,16115Q308,GTLS ,"13,908","1,016,674.80",2.008,Chart Industries Inc,Common Stock,Industrials,10/09/2020
PSCI,000957100,ABM ,"26,316","973,955.16",1.924,ABM Industries Inc,Common Stock,Industrials,10/09/2020
PSCI,353514102,FELE ,"15,134","947,993.76",1.873,Franklin Electric Co Inc,Common Stock,Industrials,10/09/2020
PSCI,374689107,ROCK ,"12,799","930,487.30",1.838,Gibraltar Industries Inc,Common Stock,Industrials,10/09/2020
PSCI,03820C105,AIT ,"15,281","916,860.00",1.811,Applied Industrial Technologies Inc,Common Stock,Industrials,10/09/2020
PSCI,431571108,HI ,"29,499","910,929.12",1.800,Hillenbrand Inc,Common Stock,Industrials,10/09/2020
PSCI,039653100,ACA ,"19,082","892,465.14",1.763,Arcosa Inc,Common Stock,Industrials,10/09/2020
PSCI,784635104,SPXC ,"17,641","887,342.30",1.753,SPX Corp,Common Stock,Industrials,10/09/2020
PSCI,296315104,ESE ,"10,278","882,160.74",1.743,ESCO Technologies Inc,Common Stock,Industrials,10/09/2020
PSCI,57686G105,MATX ,"17,004","873,495.48",1.726,Matson Inc,Common Stock,Industrials,10/09/2020
PSCI,199908104,FIX ,"14,400","830,016.00",1.640,Comfort Systems USA Inc,Common Stock,Industrials,10/09/2020
PSCI,104674106,BRC ,"19,114","801,258.88",1.583,Brady Corp,Common Stock,Industrials,10/09/2020
PSCI,615394202,MOG/A ,"11,843","785,901.48",1.553,Moog Inc,Common Stock,Industrials,10/09/2020
PSCI,78469X107,FLOW ,"16,747","763,830.67",1.509,SPX FLOW Inc,Common Stock,Industrials,10/09/2020
PSCI,313855108,FSS ,"23,851","744,151.20",1.470,Federal Signal Corp,Common Stock,Industrials,10/09/2020
PSCI,229669106,CUB ,"12,367","742,885.69",1.468,Cubic Corp,Common Stock,Industrials,10/09/2020
