Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCM,057665200,BCPC ,"7,291","754,035.22",8.672,Balchem Corp,Common Stock,Materials,10/09/2020
PSCM,185899101,CLF ,"89,973","679,296.15",7.812,Cleveland-Cliffs Inc,Common Stock,Materials,10/09/2020
PSCM,747316107,KWR ,"2,969","577,381.43",6.640,Quaker Chemical Corp,Common Stock,Materials,10/09/2020
PSCM,359694106,FUL ,"11,622","574,359.24",6.605,HB Fuller Co,Common Stock,Materials,10/09/2020
PSCM,858586100,SCL ,"4,799","554,044.55",6.372,Stepan Co,Common Stock,Materials,10/09/2020
PSCM,03966V107,ARNC ,"21,878","495,974.26",5.704,Arconic Corp,Common Stock,Materials,10/09/2020
PSCM,09739D100,BCC ,"8,855","386,166.55",4.441,Boise Cascade Co,Common Stock,Materials,10/09/2020
PSCM,53814L108,LTHM ,"33,038","377,624.34",4.343,Livent Corp,Common Stock,Materials,10/09/2020
PSCM,45768S105,IOSP ,"5,389","361,440.23",4.157,Innospec Inc,Common Stock,Materials,10/09/2020
PSCM,01741R102,ATI ,"28,605","268,887.00",3.092,Allegheny Technologies Inc,Common Stock,Materials,10/09/2020
PSCM,576690101,MTRN ,"4,591","263,982.50",3.036,Materion Corp,Common Stock,Materials,10/09/2020
PSCM,L9340P101,TSE ,"8,645","254,422.35",2.926,Trinseo SA,Common Stock,Materials,10/09/2020
PSCM,315405100,FOE ,"18,580","243,955.40",2.806,Ferro Corp,Common Stock,Materials,10/09/2020
PSCM,36164Y101,GCP ,"10,880","242,080.00",2.784,GCP Applied Technologies Inc,Common Stock,Materials,10/09/2020
PSCM,808541106,SWM ,"7,081","228,433.06",2.627,Schweitzer-Mauduit International Inc,Common Stock,Materials,10/09/2020
PSCM,483007704,KALU ,"3,572","224,214.44",2.579,Kaiser Aluminum Corp,Common Stock,Materials,10/09/2020
PSCM,144285103,CRS ,"10,831","204,489.28",2.352,Carpenter Technology Corp,Common Stock,Materials,10/09/2020
PSCM,93627C101,HCC ,"11,563","191,598.91",2.203,Warrior Met Coal Inc,Common Stock,Materials,10/09/2020
PSCM,50077C106,KRA ,"7,198","182,325.34",2.097,Kraton Corp,Common Stock,Materials,10/09/2020
PSCM,18538R103,CLW ,"3,744","151,557.12",1.743,Clearwater Paper Corp,Common Stock,Materials,10/09/2020
PSCM,640079109,NP ,"3,796","150,777.12",1.734,Neenah Inc,Common Stock,Materials,10/09/2020
PSCM,377320106,GLT ,"10,023","144,030.51",1.656,Glatfelter Corp,Common Stock,Materials,10/09/2020
PSCM,90333L201,USCR ,"3,578","119,755.66",1.377,US Concrete Inc,Common Stock,Materials,10/09/2020
PSCM,628464109,MYE ,"8,086","118,540.76",1.363,Myers Industries Inc,Common Stock,Materials,10/09/2020
PSCM,50060P106,KOP ,"4,754","113,145.20",1.301,Koppers Holdings Inc,Common Stock,Materials,10/09/2020
PSCM,420261109,HWKN ,"2,144","102,933.44",1.184,Hawkins Inc,Common Stock,Materials,10/09/2020
PSCM,894650100,TG ,"5,830","92,172.30",1.060,Tredegar Corp,Common Stock,Materials,10/09/2020
PSCM,00773T101,ASIX ,"6,332","90,737.56",1.043,AdvanSix Inc,Common Stock,Materials,10/09/2020
PSCM,156431108,CENX ,"11,320","90,220.40",1.038,Century Aluminum Co,Common Stock,Materials,10/09/2020
PSCM,030371108,AVD ,"5,999","89,025.16",1.024,American Vanguard Corp,Common Stock,Materials,10/09/2020
PSCM,36116M106,FF ,"5,830","68,794.00",0.791,FutureFuel Corp,Common Stock,Materials,10/09/2020
PSCM,86722A103,SXC ,"18,697","67,309.20",0.774,SunCoke Energy Inc,Common Stock,Materials,10/09/2020
PSCM,588056101,MERC ,"8,928","58,389.12",0.671,Mercer International Inc,Common Stock,Materials,10/09/2020
PSCM,75508B104,RYAM ,"14,311","58,102.66",0.668,Rayonier Advanced Materials Inc,Common Stock,Materials,10/09/2020
PSCM,420877201,HAYN ,"2,837","51,264.59",0.590,Haynes International Inc,Common Stock,Materials,10/09/2020
PSCM,887399103,TMST ,"8,546","33,243.94",0.382,TimkenSteel Corp,Common Stock,Materials,10/09/2020
PSCM,68162K106,ZEUS ,"2,051","25,186.28",0.290,Olympic Steel Inc,Common Stock,Materials,10/09/2020
PSCM,825252885,AGPXX ,"5,630","5,629.91",0.065,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
