Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCT,114340102,BRKS ,"181,784","9,552,749.20",3.905,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
PSCT,739276103,POWI ,"147,315","8,922,869.55",3.647,Power Integrations Inc,Common Stock,Information Technology,10/09/2020
PSCT,538146101,LPSN ,"151,671","8,718,049.08",3.563,LivePerson Inc,Common Stock,Information Technology,10/09/2020
PSCT,78463M107,SPSC ,"86,574","7,434,975.12",3.039,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
PSCT,925550105,VIAV ,"562,697","7,134,997.96",2.916,Viavi Solutions Inc,Common Stock,Information Technology,10/09/2020
PSCT,465741106,ITRI ,"99,399","6,711,420.48",2.743,Itron Inc,Common Stock,Information Technology,10/09/2020
PSCT,007973100,AEIS ,"94,468","6,650,547.20",2.718,Advanced Energy Industries Inc,Common Stock,Information Technology,10/09/2020
PSCT,011642105,ALRM ,"109,817","6,648,321.18",2.717,Alarm.com Holdings Inc,Common Stock,Information Technology,10/09/2020
PSCT,254543101,DIOD ,"103,468","6,567,113.96",2.684,Diodes Inc,Common Stock,Information Technology,10/09/2020
PSCT,302081104,EXLS ,"84,228","5,902,698.24",2.413,ExlService Holdings Inc,Common Stock,Information Technology,10/09/2020
PSCT,G3323L100,FN ,"90,557","5,856,321.19",2.394,Fabrinet,Common Stock,Information Technology,10/09/2020
PSCT,346375108,FORM ,"189,914","5,522,699.12",2.257,FormFactor Inc,Common Stock,Information Technology,10/09/2020
PSCT,30040P103,EVTC ,"147,000","5,393,430.00",2.205,EVERTEC Inc,Common Stock,Information Technology,10/09/2020
PSCT,45765U103,NSIT ,"86,434","5,288,032.12",2.161,Insight Enterprises Inc,Common Stock,Information Technology,10/09/2020
PSCT,729132100,PLXS ,"72,078","5,278,271.94",2.157,Plexus Corp,Common Stock,Information Technology,10/09/2020
PSCT,775133101,ROG ,"46,177","5,094,246.64",2.082,Rogers Corp,Common Stock,Information Technology,10/09/2020
PSCT,056525108,BMI ,"71,762","5,058,503.38",2.068,Badger Meter Inc,Common Stock,Information Technology,10/09/2020
PSCT,564563104,MANT ,"66,902","4,756,063.18",1.944,ManTech International Corp/VA,Common Stock,Information Technology,10/09/2020
PSCT,801056102,SANM ,"167,006","4,637,756.62",1.896,Sanmina Corp,Common Stock,Information Technology,10/09/2020
PSCT,743312100,PRGS ,"110,993","4,464,138.46",1.825,Progress Software Corp,Common Stock,Information Technology,10/09/2020
PSCT,101388106,EPAY ,"95,393","4,279,329.98",1.749,Bottomline Technologies DE Inc,Common Stock,Information Technology,10/09/2020
PSCT,57776J100,MXL ,"163,979","4,240,496.94",1.733,MaxLinear Inc,Common Stock,Information Technology,10/09/2020
PSCT,282914100,EGHT ,"256,888","4,236,083.12",1.731,8x8 Inc,Common Stock,Information Technology,10/09/2020
PSCT,683344105,ONTO ,"120,306","4,145,744.76",1.695,Onto Innovation Inc,Common Stock,Information Technology,10/09/2020
PSCT,750917106,RMBS ,"280,325","4,050,696.25",1.656,Rambus Inc,Common Stock,Information Technology,10/09/2020
PSCT,501242101,KLIC ,"152,406","3,822,342.48",1.562,Kulicke & Soffa Industries Inc,Common Stock,Information Technology,10/09/2020
PSCT,71375U101,PRFT ,"81,943","3,695,629.30",1.511,Perficient Inc,Common Stock,Information Technology,10/09/2020
PSCT,49926D109,KN ,"225,852","3,591,046.80",1.468,Knowles Corp,Common Stock,Information Technology,10/09/2020
PSCT,871237103,SYKE ,"98,717","3,545,914.64",1.449,Sykes Enterprises Inc,Common Stock,Information Technology,10/09/2020
PSCT,92827P102,VRTU ,"70,072","3,526,023.04",1.441,Virtusa Corp,Common Stock,Information Technology,10/09/2020
PSCT,62914B100,EGOV ,"165,176","3,493,472.40",1.428,NIC Inc,Common Stock,Information Technology,10/09/2020
PSCT,126349109,CSGS ,"81,537","3,395,200.68",1.388,CSG Systems International Inc,Common Stock,Information Technology,10/09/2020
PSCT,671044105,OSIS ,"41,603","3,349,041.50",1.369,OSI Systems Inc,Common Stock,Information Technology,10/09/2020
PSCT,98390M103,XPER ,"267,330","3,306,872.10",1.352,Xperi Holding Corp,Common Stock,Information Technology,10/09/2020
PSCT,87305R109,TTMI ,"244,615","3,060,133.65",1.251,TTM Technologies Inc,Common Stock,Information Technology,10/09/2020
PSCT,594972408,MSTR ,"17,854","2,941,089.42",1.202,MicroStrategy Inc,Common Stock,Information Technology,10/09/2020
PSCT,311642102,FARO ,"44,018","2,806,147.50",1.147,FARO Technologies Inc,Common Stock,Information Technology,10/09/2020
PSCT,591520200,MEI ,"92,494","2,760,020.96",1.128,Methode Electronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,89854H102,TTEC ,"45,164","2,650,675.16",1.083,TTEC Holdings Inc,Common Stock,Information Technology,10/09/2020
PSCT,294268107,PLUS ,"33,569","2,582,127.48",1.055,ePlus Inc,Common Stock,Information Technology,10/09/2020
PSCT,64111Q104,NTGR ,"73,700","2,521,277.00",1.031,NETGEAR Inc,Common Stock,Information Technology,10/09/2020
PSCT,157210105,CEVA ,"54,936","2,461,682.16",1.006,CEVA Inc,Common Stock,Information Technology,10/09/2020
PSCT,90385V107,UCTT ,"98,335","2,393,473.90",0.978,Ultra Clean Holdings Inc,Common Stock,Information Technology,10/09/2020
PSCT,68287N100,OSPN ,"83,523","2,076,381.78",0.849,OneSpan Inc,Common Stock,Information Technology,10/09/2020
PSCT,192576106,COHU ,"103,173","2,031,476.37",0.830,Cohu Inc,Common Stock,Information Technology,10/09/2020
PSCT,88554D205,DDD ,"298,541","1,997,239.29",0.816,3D Systems Corp,Common Stock,Information Technology,10/09/2020
PSCT,126501105,CTS ,"79,526","1,977,016.36",0.808,CTS Corp,Common Stock,Information Technology,10/09/2020
PSCT,08160H101,BHE ,"89,859","1,965,216.33",0.803,Benchmark Electronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,054540208,ACLS ,"82,476","1,961,279.28",0.802,Axcelis Technologies Inc,Common Stock,Information Technology,10/09/2020
PSCT,G1991C105,CATM ,"87,692","1,844,162.76",0.754,Cardtronics PLC,Common Stock,Information Technology,10/09/2020
PSCT,719405102,PLAB ,"161,728","1,743,427.84",0.713,Photronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,909214306,UIS ,"155,307","1,660,231.83",0.679,Unisys Corp,Common Stock,Information Technology,10/09/2020
PSCT,253651103,DBD ,"191,433","1,655,895.45",0.677,Diebold Nixdorf Inc,Common Stock,Information Technology,10/09/2020
PSCT,922417100,VECO ,"122,287","1,549,376.29",0.633,Veeco Instruments Inc,Common Stock,Information Technology,10/09/2020
PSCT,413160102,HLIT ,"240,116","1,548,748.20",0.633,Harmonic Inc,Common Stock,Information Technology,10/09/2020
PSCT,693282105,PDFS ,"72,005","1,491,223.55",0.610,PDF Solutions Inc,Common Stock,Information Technology,10/09/2020
PSCT,G4740B105,ICHR ,"56,825","1,487,678.50",0.608,Ichor Holdings Ltd,Common Stock,Information Technology,10/09/2020
PSCT,30226D106,EXTR ,"302,013","1,392,279.93",0.569,Extreme Networks Inc,Common Stock,Information Technology,10/09/2020
PSCT,00847J105,AGYS ,"50,392","1,384,772.16",0.566,Agilysys Inc,Common Stock,Information Technology,10/09/2020
PSCT,806037107,SCSC ,"62,503","1,335,064.08",0.546,ScanSource Inc,Common Stock,Information Technology,10/09/2020
PSCT,727493108,PLT ,"91,378","1,330,463.68",0.544,Plantronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,00738A106,ADTN ,"118,194","1,287,132.66",0.526,ADTRAN Inc,Common Stock,Information Technology,10/09/2020
PSCT,278715206,EBIX ,"57,902","1,236,786.72",0.506,Ebix Inc,Common Stock,Information Technology,10/09/2020
PSCT,69318J100,CNXN ,"27,387","1,199,824.47",0.490,PC Connection Inc,Common Stock,Information Technology,10/09/2020
PSCT,253798102,DGII ,"71,560","1,193,620.80",0.488,Digi International Inc,Common Stock,Information Technology,10/09/2020
PSCT,553777103,MTSC ,"48,113","1,111,410.30",0.454,MTS Systems Corp,Common Stock,Information Technology,10/09/2020
PSCT,04206A101,ARLO ,"192,571","1,105,357.54",0.452,Arlo Technologies Inc,Common Stock,Information Technology,10/09/2020
PSCT,205826209,CMTL ,"60,953","1,001,457.79",0.409,Comtech Telecommunications Corp,Common Stock,Information Technology,10/09/2020
PSCT,G8232Y101,SGH ,"34,352","864,296.32",0.353,SMART Global Holdings Inc,Common Stock,Information Technology,10/09/2020
PSCT,23332B106,DSPG ,"54,860","789,435.40",0.323,DSP Group Inc,Common Stock,Information Technology,10/09/2020
PSCT,128126109,CAMP ,"84,693","671,615.49",0.275,CalAmp Corp,Common Stock,Information Technology,10/09/2020
PSCT,03823U102,AAOI ,"52,988","626,848.04",0.256,Applied Optoelectronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,234264109,DAKT ,"90,163","381,389.49",0.156,Daktronics Inc,Common Stock,Information Technology,10/09/2020
PSCT,077347300,BELFB ,"26,286","276,003.00",0.113,Bel Fuse Inc,Common Stock,Information Technology,10/09/2020
PSCT,825252885,AGPXX ,"26,762","26,761.75",0.011,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
