Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSCU,46269C102,IRDM ,"78,971","2,283,051.61",10.801,Iridium Communications Inc,Common Stock,Communication Services,10/09/2020
PSCU,029899101,AWR ,"24,976","1,914,909.92",9.059,American States Water Co,Common Stock,Utilities,10/09/2020
PSCU,19239V302,CCOI ,"28,500","1,787,805.00",8.458,Cogent Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
PSCU,165303108,CPK ,"18,172","1,614,037.04",7.636,Chesapeake Utilities Corp,Common Stock,Utilities,10/09/2020
PSCU,82312B106,SHEN ,"33,757","1,586,241.43",7.504,Shenandoah Telecommunications Co,Common Stock,Communication Services,10/09/2020
PSCU,87874R100,TTGT ,"22,011","1,088,223.84",5.148,TechTarget Inc,Common Stock,Communication Services,10/09/2020
PSCU,379890106,GLUU ,"125,395","984,350.75",4.657,Glu Mobile Inc,Common Stock,Communication Services,10/09/2020
PSCU,74874Q100,QNST ,"53,376","917,533.44",4.341,QuinStreet Inc,Common Stock,Communication Services,10/09/2020
PSCU,92886T201,VG ,"85,605","910,837.20",4.309,Vonage Holdings Corp,Common Stock,Communication Services,10/09/2020
PSCU,130788102,CWT ,"19,967","897,117.31",4.244,California Water Service Group,Common Stock,Utilities,10/09/2020
PSCU,05379B107,AVA ,"25,341","888,962.28",4.206,Avista Corp,Common Stock,Utilities,10/09/2020
PSCU,66765N105,NWN ,"18,878","885,566.98",4.190,Northwest Natural Holding Co,Common Stock,Utilities,10/09/2020
PSCU,838518108,SJI ,"43,377","881,854.41",4.172,South Jersey Industries Inc,Common Stock,Utilities,10/09/2020
PSCU,171871502,CBB ,"55,838","841,478.66",3.981,Cincinnati Bell Inc,Common Stock,Communication Services,10/09/2020
PSCU,807066105,SCHL ,"32,968","714,086.88",3.378,Scholastic Corp,Common Stock,Communication Services,10/09/2020
PSCU,811054402,SSP ,"62,865","691,515.00",3.271,EW Scripps Co/The,Common Stock,Communication Services,10/09/2020
PSCU,00215F107,ATNI ,"12,139","611,441.43",2.893,ATN International Inc,Common Stock,Communication Services,10/09/2020
PSCU,589433101,MDP ,"44,444","571,549.84",2.704,Meredith Corp,Common Stock,Communication Services,10/09/2020
PSCU,209034107,CNSL ,"80,492","473,292.96",2.239,Consolidated Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
PSCU,36472T109,GCI ,"142,666","205,439.04",0.972,Gannett Co Inc,Common Stock,Communication Services,10/09/2020
PSCU,566330106,MCS ,"25,489","194,735.96",0.921,Marcus Corp/The,Common Stock,Communication Services,10/09/2020
PSCU,84863T106,SPOK ,"19,283","185,695.29",0.879,Spok Holdings Inc,Common Stock,Communication Services,10/09/2020
PSCU,825252885,AGPXX ,"7,941","7,940.92",0.038,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
