Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSI,83088M102,SWKS ,"97,903","15,104,474.84",5.198,Skyworks Solutions Inc,Common Stock,Information Technology,10/09/2020
PSI,67066G104,NVDA ,"27,153","14,947,998.03",5.144,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PSI,882508104,TXN ,"96,941","14,629,366.31",5.034,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
PSI,512807108,LRCX ,"40,171","14,570,423.41",5.014,Lam Research Corp,Common Stock,Information Technology,10/09/2020
PSI,595017104,MCHP ,"127,700","14,555,246.00",5.009,Microchip Technology Inc,Common Stock,Information Technology,10/09/2020
PSI,482480100,KLAC ,"67,088","14,158,251.52",4.872,KLA Corp,Common Stock,Information Technology,10/09/2020
PSI,038222105,AMAT ,"221,122","13,994,811.38",4.816,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
PSI,007903107,AMD ,"163,678","13,601,641.80",4.681,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
PSI,682189105,ON ,"350,754","9,242,367.90",3.180,ON Semiconductor Corp,Common Stock,Information Technology,10/09/2020
PSI,29362U104,ENTG ,"110,283","9,125,366.84",3.140,Entegris Inc,Common Stock,Information Technology,10/09/2020
PSI,609839105,MPWR ,"28,338","8,939,505.48",3.076,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
PSI,192576106,COHU ,"443,484","8,732,199.96",3.005,Cohu Inc,Common Stock,Information Technology,10/09/2020
PSI,518415104,LSCC ,"259,237","8,536,674.41",2.938,Lattice Semiconductor Corp,Common Stock,Information Technology,10/09/2020
PSI,346375108,FORM ,"282,964","8,228,593.12",2.832,FormFactor Inc,Common Stock,Information Technology,10/09/2020
PSI,45772F107,IPHI ,"66,991","8,178,931.19",2.815,Inphi Corp,Common Stock,Information Technology,10/09/2020
PSI,739276103,POWI ,"134,561","8,150,359.77",2.805,Power Integrations Inc,Common Stock,Information Technology,10/09/2020
PSI,157210105,CEVA ,"180,323","8,080,273.63",2.781,CEVA Inc,Common Stock,Information Technology,10/09/2020
PSI,65487K100,LASR ,"337,768","7,937,548.00",2.731,nLight Inc,Common Stock,Information Technology,10/09/2020
PSI,M7516K103,NVMI ,"141,348","7,922,555.40",2.726,Nova Measuring Instruments Ltd,Common Stock,Information Technology,10/09/2020
PSI,57772K101,MXIM ,"106,819","7,797,787.00",2.683,Maxim Integrated Products Inc,Common Stock,Information Technology,10/09/2020
PSI,114340102,BRKS ,"146,239","7,684,859.45",2.644,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
PSI,55405Y100,MTSI ,"209,568","7,617,796.80",2.621,MACOM Technology Solutions Holdings Inc,Common Stock,Information Technology,10/09/2020
PSI,880770102,TER ,"88,247","7,598,066.70",2.615,Teradyne Inc,Common Stock,Information Technology,10/09/2020
PSI,90385V107,UCTT ,"311,603","7,584,417.02",2.610,Ultra Clean Holdings Inc,Common Stock,Information Technology,10/09/2020
PSI,031652100,AMKR ,"596,616","7,571,057.04",2.605,Amkor Technology Inc,Common Stock,Information Technology,10/09/2020
PSI,054540208,ACLS ,"317,824","7,557,854.72",2.601,Axcelis Technologies Inc,Common Stock,Information Technology,10/09/2020
PSI,55306N104,MKSI ,"63,088","7,499,901.44",2.581,MKS Instruments Inc,Common Stock,Information Technology,10/09/2020
PSI,87157D109,SYNA ,"86,995","7,345,857.80",2.528,Synaptics Inc,Common Stock,Information Technology,10/09/2020
PSI,816850101,SMTC ,"125,593","7,276,858.42",2.504,Semtech Corp,Common Stock,Information Technology,10/09/2020
PSI,00108J109,ACMR ,"82,359","6,213,986.55",2.138,ACM Research Inc,Common Stock,Information Technology,10/09/2020
PSI,825252885,AGPXX ,"214,330","214,330.40",0.074,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
