Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSL,518439104,EL ,"19,502","4,380,149.20",3.898,Estee Lauder Cos Inc/The,Common Stock,Consumer Staples,10/09/2020
PSL,358039105,FRPT ,"35,944","4,374,744.24",3.893,Freshpet Inc,Common Stock,Consumer Staples,10/09/2020
PSL,171340102,CHD ,"47,071","4,366,305.96",3.885,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
PSL,775711104,ROL ,"74,716","4,293,928.52",3.821,Rollins Inc,Common Stock,Industrials,10/09/2020
PSL,08862E109,BYND ,"21,606","4,211,981.67",3.748,Beyond Meat Inc,Common Stock,Consumer Staples,10/09/2020
PSL,61174X109,MNST ,"51,622","4,178,800.90",3.718,Monster Beverage Corp,Common Stock,Consumer Staples,10/09/2020
PSL,49271V100,KDP ,"134,211","3,925,671.75",3.493,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,10/09/2020
PSL,189054109,CLX ,"17,749","3,812,307.71",3.392,Clorox Co/The,Common Stock,Consumer Staples,10/09/2020
PSL,579780206,MKC ,"18,996","3,725,305.56",3.315,McCormick & Co Inc/MD,Common Stock,Consumer Staples,10/09/2020
PSL,899896104,TUP ,"166,718","3,696,138.06",3.289,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
PSL,100557107,SAM ,"3,963","3,638,786.97",3.238,Boston Beer Co Inc/The,Common Stock,Consumer Staples,10/09/2020
PSL,109194100,BFAM ,"23,181","3,583,782.60",3.189,Bright Horizons Family Solutions Inc,Common Stock,Consumer Discretionary,10/09/2020
PSL,440452100,HRL ,"67,728","3,315,962.88",2.951,Hormel Foods Corp,Common Stock,Consumer Staples,10/09/2020
PSL,16359R103,CHE ,"6,726","3,221,552.22",2.867,Chemed Corp,Common Stock,Health Care,10/09/2020
PSL,742718109,PG ,"22,368","3,196,834.56",2.845,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
PSL,871829107,SYY ,"45,654","3,103,558.92",2.762,Sysco Corp,Common Stock,Consumer Staples,10/09/2020
PSL,115637209,BF/B ,"39,080","3,064,653.60",2.727,Brown-Forman Corp,Common Stock,Consumer Staples,10/09/2020
PSL,237266101,DAR ,"71,671","3,035,266.85",2.701,Darling Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
PSL,71377A103,PFGC ,"75,089","2,947,243.25",2.623,Performance Food Group Co,Common Stock,Consumer Staples,10/09/2020
PSL,88023U101,TPX ,"32,004","2,884,840.56",2.567,Tempur Sealy International Inc,Common Stock,Consumer Discretionary,10/09/2020
PSL,713448108,PEP ,"20,466","2,833,313.04",2.521,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
PSL,147528103,CASY ,"15,415","2,825,723.65",2.514,Casey's General Stores Inc,Common Stock,Consumer Staples,10/09/2020
PSL,205887102,CAG ,"75,363","2,812,547.16",2.503,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
PSL,810186106,SMG ,"16,546","2,714,371.30",2.415,Scotts Miracle-Gro Co/The,Common Stock,Materials,10/09/2020
PSL,929236107,WDFC ,"13,639","2,703,522.58",2.406,WD-40 Co,Common Stock,Consumer Staples,10/09/2020
PSL,76009N100,RCII ,"78,152","2,676,706.00",2.382,Rent-A-Center Inc/TX,Common Stock,Consumer Discretionary,10/09/2020
PSL,609207105,MDLZ ,"45,171","2,588,298.30",2.303,Mondelez International Inc,Common Stock,Consumer Staples,10/09/2020
PSL,58470H101,MED ,"15,679","2,586,878.21",2.302,Medifast Inc,Common Stock,Consumer Staples,10/09/2020
PSL,513847103,LANC ,"14,595","2,581,709.55",2.297,Lancaster Colony Corp,Common Stock,Consumer Staples,10/09/2020
PSL,88087E100,TMX ,"58,984","2,577,010.96",2.293,Terminix Global Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
PSL,05508R106,BGS ,"89,434","2,569,438.82",2.286,B&G Foods Inc,Common Stock,Consumer Staples,10/09/2020
PSL,635017106,FIZZ ,"32,183","2,552,433.73",2.271,National Beverage Corp,Common Stock,Consumer Staples,10/09/2020
PSL,G4412G101,HLF ,"48,588","2,494,993.80",2.220,Herbalife Nutrition Ltd,Common Stock,Consumer Staples,10/09/2020
PSL,405217100,HAIN ,"68,574","2,457,692.16",2.187,Hain Celestial Group Inc/The,Common Stock,Consumer Staples,10/09/2020
PSL,G4388N106,HELE ,"11,945","2,366,423.95",2.106,Helen of Troy Ltd,Common Stock,Consumer Discretionary,10/09/2020
PSL,825252885,AGPXX ,"83,953","83,953.31",0.075,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
