Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSMB,46137V266,RPG ,"5,504","814,698.78",9.644,Invesco S&P 500 Pure Growth ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138J619,OMFL ,"24,594","812,339.82",9.616,Invesco Russell 1000 Dynamic Multifactor ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46090A879,VRIG ,"31,640","786,886.80",9.315,Invesco Variable Rate Investment Grade ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138J742,IUS ,"27,422","766,247.46",9.071,Invesco RAFI Strategic US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138J734,IUSS ,"28,913","697,673.58",8.259,Invesco RAFI Strategic US Small Co ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46139W502,IIGD ,"23,324","638,028.02",7.553,Invesco Investment Grade Defensive ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E354,SPLV ,"9,354","516,902.04",6.119,Invesco S&P 500 Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E107,PLW ,"12,668","492,151.80",5.826,Invesco 1-30 Laddered Treasury ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138G805,BAB ,"12,650","417,450.00",4.942,Invesco Taxable Municipal Bond,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E230,IDLV ,"13,470","386,589.00",4.576,Invesco S&P International Developed Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46139W601,IIGV ,"12,272","347,113.53",4.109,Invesco Investment Grade Value ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E198,XMLV ,"7,918","345,145.62",4.086,Invesco S&P MidCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138J726,ISDX ,"14,591","340,553.94",4.031,Invesco RAFI Strategic Developed ex-US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138G102,XSLV ,"8,539","301,085.14",3.564,Invesco S&P SmallCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E511,PGX ,"15,660","234,117.00",2.771,Invesco Preferred ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E495,PBTP ,"8,013","207,085.58",2.451,Invesco PureBeta 0-5 Yr US TIPS ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138E719,PHB ,"9,718","182,989.94",2.166,Invesco Fundamental High Yield Corporate Bond ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,46138J692,ISEM ,"6,934","163,087.68",1.931,Invesco RAFI Strategic Emerging Market ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMB,CASHUSD00,-CASH-,"-2,724","-2,723.56",-0.032,Cash/Receivables/Payables,Currency,Cash,10/09/2020
